Timer,X,Y,Z
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"9","3542","4365","3998"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"71","3561","4649","1109"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"128","3613","4663","1081"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"189","3666","4663","1277"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"247","3574","4644","1457"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"308","3600","4397","3802"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"370","3502","4329","4015"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"431","3669","4686","1201"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"489","3640","4699","1050"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"550","3616","4692","1198"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"611","3693","4700","1131"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"669","3653","4697","1167"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"730","3692","4703","1270"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"792","3628","4695","1239"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"849","3661","4722","1201"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"910","3673","4730","1214"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"972","3656","4689","1230"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1029","3629","4695","1146"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1091","3608","4677","1135"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1152","3620","4690","1120"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1209","3638","4703","1156"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1271","3636","4677","1226"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1332","3636","4686","1184"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1390","3677","4708","1198"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1451","3648","4686","1135"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1512","3673","4698","1161"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1570","3682","4701","1330"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1631","3654","4695","1276"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1693","3648","4702","1093"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1750","3631","4690","1114"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1811","3676","4706","1236"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1873","3624","4715","1123"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1930","3597","4667","1057"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"1992","3557","4688","1072"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2053","3645","4707","1157"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2110","3661","4720","1260"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2172","3623","4681","1079"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2229","3601","4668","1172"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2291","3574","4668","1037"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2352","3576","4672","977"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2409","3578","4707","1035"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2471","3587","4686","971"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2532","3615","4693","1042"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2594","3646","4711","1034"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2655","3610","4690","1083"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2716","3655","4695","1088"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2774","3663","4696","1147"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2835","3678","4720","1205"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2897","3668","4701","1259"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"2954","3652","4710","1151"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3016","3656","4742","1200"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3077","3677","4738","1169"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3134","3660","4744","1157"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3196","3644","4752","1147"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3257","3637","4777","1225"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3315","3595","4798","1212"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3376","3644","4810","1218"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3437","3625","4793","1221"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3495","3601","4827","1006"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3556","3596","4834","1176"
"3618","3632","4854","1045"
"3618","3632","4854","1045"
"3618","3632","4854","1045"
"3618","3632","4854","1045"
"3618","3632","4854","1045"
"3618","3632","4854","1045"
"3618","3632","4854","1045"
"3618","3632","4854","1045"
