Timer,AX,AY,AZ,GX,GY,GZ,A
"1","0","0","-27","-1","0","0","0"
"5","0","0","-27","3","0","0","0"
"13","-1","-1","-26","3","0","0","0"
"13","-1","-1","-26","-1","1","0","0"
"21","-1","-2","-26","-1","1","0","0"
"25","-1","-2","-26","3","-1","0","0"
"34","-2","0","-25","3","-1","0","0"
"34","-2","0","-25","2","-1","0","0"
"42","-2","1","-25","2","-1","0","0"
"42","-2","1","-25","-4","1","0","0"
"54","-1","-3","-25","-4","1","0","0"
"54","-1","-3","-25","-1","-3","0","0"
"62","-2","0","-25","-1","-3","0","0"
"63","-2","0","-25","0","3","0","0"
"70","-2","0","-28","0","3","0","0"
"75","-2","0","-28","0","0","0","0"
"83","-3","0","-27","0","0","0","0"
"83","-3","0","-27","0","0","0","0"
"91","-2","0","-26","0","0","0","0"
"95","-2","0","-26","-3","-1","0","0"
"103","0","-3","-25","-3","-1","0","0"
"104","0","-3","-25","0","0","0","0"
"112","-2","4","-28","0","0","0","0"
"115","-2","4","-28","4","1","0","0"
"124","0","3","-31","4","1","0","0"
"124","0","3","-31","2","-2","0","0"
"132","-1","-2","-26","2","-2","0","0"
"136","-1","-2","-26","0","-5","0","0"
"144","-3","-1","-26","0","-5","0","0"
"144","-3","-1","-26","2","0","0","0"
"152","-2","4","-26","2","0","0","0"
"153","-2","4","-26","5","0","0","0"
"161","0","1","-24","5","0","0","0"
"165","0","1","-24","0","-1","0","0"
"173","0","-3","-26","0","-1","0","0"
"173","0","-3","-26","-4","-2","0","0"
"181","-2","2","-27","-4","-2","0","0"
"185","-2","2","-27","2","-2","0","0"
"194","-2","2","-25","2","-2","0","0"
"194","-2","2","-25","1","-1","0","0"
"201","0","0","-25","1","-1","0","0"
"206","0","0","-25","0","0","0","0"
"214","-2","-3","-24","0","0","0","0"
"214","-2","-3","-24","-1","-1","0","0"
"222","-3","3","-26","-1","-1","0","0"
"226","-3","3","-26","5","-1","0","0"
"234","-1","3","-27","5","-1","0","0"
"235","-1","3","-27","0","-2","0","0"
"243","-2","-5","-23","0","-2","0","0"
"246","-2","-5","-23","-3","0","0","0"
"255","-4","-3","-27","-3","0","0","0"
"255","-4","-3","-27","1","1","0","0"
"263","-4","2","-27","1","1","0","0"
"263","-4","2","-27","1","0","0","0"
"271","-2","-1","-29","1","0","0","0"
"275","-2","-1","-29","-1","-1","0","0"
"284","-2","-1","-26","-1","-1","0","0"
"284","-2","-1","-26","2","-2","0","0"
"292","-3","0","-28","2","-2","0","0"
"296","-3","0","-28","0","2","0","0"
"304","-6","1","-25","0","2","0","0"
"304","-6","1","-25","0","-1","0","0"
"312","0","-2","-25","0","-1","0","0"
"316","0","-2","-25","-2","0","0","0"
"325","0","-3","-27","-2","0","0","0"
"325","0","-3","-27","0","-2","0","0"
"333","-1","-1","-28","0","-2","0","0"
"333","-1","-1","-28","2","0","0","0"
"345","1","0","-25","2","0","0","0"
"345","1","0","-25","2","-1","0","0"
"353","2","-5","-22","2","-1","0","0"
"354","2","-5","-22","0","-1","0","0"
"365","0","-5","-22","0","-1","0","0"
"366","0","-5","-22","-1","2","0","0"
"374","-3","1","-26","-1","2","0","0"
"374","-3","1","-26","0","0","0","0"
"382","0","0","-26","0","0","0","0"
"386","0","0","-26","-1","-3","0","0"
"394","-2","-4","-24","-1","-3","0","0"
"394","-2","-4","-24","1","0","0","0"
"402","-3","0","-26","1","0","0","0"
"406","-3","0","-26","2","0","0","0"
"415","-3","2","-28","2","0","0","0"
"415","-3","2","-28","1","1","0","0"
