Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z
0.000;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;1000;0;0;0
0.006;-0.01107;0.05760;-0.27594;;-0.00003;0.00017;-0.00083;;0.00000;0.00000;0.00000;;1006;-1.128127722;5.871863416;-28.12809409
0.007;-0.01107;0.05760;-0.27594;;-0.00004;0.00023;-0.00110;;0.00000;0.00000;0.00000;;1007;-1.12812806;5.871870202;-28.12811986
0.015;0.00687;0.02240;-0.25885;;-0.00006;0.00055;-0.00324;;0.00000;0.00000;-0.00002;;1015;0.700443312;2.282973833;-26.38634174
0.015;0.00014;0.03477;-0.26424;;-0.00006;0.00055;-0.00324;;0.00000;0.00000;-0.00002;;1015;0.014028737;3.544732738;-26.93583028
0.027;-0.01895;0.01972;-0.24856;;-0.00017;0.00088;-0.00632;;0.00000;0.00001;-0.00008;;1027;-1.932165134;2.010417266;-25.33756913
0.027;-0.01242;0.02643;-0.25431;;-0.00017;0.00088;-0.00632;;0.00000;0.00001;-0.00008;;1027;-1.266079066;2.694493565;-25.92312879
0.035;0.00664;0.06301;-0.25580;;-0.00020;0.00124;-0.00836;;0.00000;0.00002;-0.00014;;1035;0.676630358;6.42353748;-26.07496982
0.035;0.00010;0.05093;-0.25618;;-0.00020;0.00124;-0.00836;;0.00000;0.00002;-0.00014;;1035;0.009946599;5.191368515;-26.11434366
0.043;-0.01896;0.10124;-0.27336;;-0.00027;0.00184;-0.01048;;-0.00001;0.00003;-0.00021;;1043;-1.932865375;10.31994121;-27.865244
0.047;-0.01242;0.08217;-0.26800;;-0.00034;0.00221;-0.01156;;-0.00001;0.00004;-0.00026;;1047;-1.266199211;8.375943066;-27.31926941
0.055;0.02457;0.00784;-0.28369;;-0.00029;0.00257;-0.01377;;-0.00001;0.00006;-0.00036;;1055;2.505036869;0.799285369;-28.91838323
0.056;0.01130;0.03178;-0.27795;;-0.00027;0.00259;-0.01405;;-0.00001;0.00006;-0.00037;;1056;1.152078686;3.239209094;-28.33304893
0.064;-0.02685;0.03671;-0.25938;;-0.00033;0.00286;-0.01620;;-0.00001;0.00008;-0.00049;;1064;-2.736906489;3.741603061;-26.44057576
0.068;-0.01377;0.03772;-0.26438;;-0.00041;0.00301;-0.01725;;-0.00001;0.00010;-0.00056;;1068;-1.404150857;3.845048794;-26.94983914
0.076;0.00641;0.03793;-0.24860;;-0.00044;0.00332;-0.01930;;-0.00002;0.00012;-0.00071;;1076;0.652940983;3.86634885;-25.34120575
0.076;0.00006;0.03797;-0.25432;;-0.00044;0.00332;-0.01930;;-0.00002;0.00012;-0.00071;;1076;0.005882145;3.870734651;-25.92407153
0.084;-0.03691;0.05558;-0.25580;;-0.00059;0.00369;-0.02134;;-0.00002;0.00015;-0.00087;;1084;-3.76198985;5.665732108;-26.07521428
0.084;-0.02363;0.04940;-0.25618;;-0.00059;0.00369;-0.02134;;-0.00002;0.00015;-0.00087;;1084;-2.408454481;5.035332143;-26.11440705
0.096;0.05040;0.01292;-0.29043;;-0.00043;0.00406;-0.02462;;-0.00003;0.00020;-0.00114;;1096;5.137483972;1.317340465;-29.60595075
0.097;0.02386;0.02503;-0.27970;;-0.00039;0.00408;-0.02490;;-0.00003;0.00020;-0.00117;;1097;2.432162329;2.551785144;-28.51134185
0.105;-0.03450;0.00993;-0.24276;;-0.00043;0.00422;-0.02699;;-0.00003;0.00023;-0.00138;;1105;-3.517278858;1.011869825;-24.74611853
0.105;-0.01509;0.01663;-0.25280;;-0.00043;0.00422;-0.02699;;-0.00003;0.00023;-0.00138;;1105;-1.538041588;1.694792631;-25.76975965
0.117;-0.01176;0.10601;-0.25541;;-0.00059;0.00496;-0.03004;;-0.00004;0.00029;-0.00172;;1117;-1.198458159;10.80588225;-26.03519971
0.117;-0.01119;0.07536;-0.25608;;-0.00059;0.00496;-0.03004;;-0.00004;0.00029;-0.00172;;1117;-1.140194854;7.681906652;-26.10403089
0.125;-0.01109;-0.01895;-0.29041;;-0.00068;0.00518;-0.03223;;-0.00004;0.00033;-0.00197;;1125;-1.130198451;-1.931809411;-29.60326011
0.125;-0.01107;0.01068;-0.27969;;-0.00068;0.00518;-0.03223;;-0.00004;0.00033;-0.00197;;1125;-1.128483339;1.088672582;-28.51064414
0.133;0.02481;0.03438;-0.24276;;-0.00063;0.00536;-0.03432;;-0.00005;0.00037;-0.00223;;1133;2.528665177;3.504701146;-24.7459376
0.137;0.01134;0.02945;-0.25280;;-0.00056;0.00549;-0.03531;;-0.00005;0.00039;-0.00237;;1137;1.156132663;3.002174965;-25.76971274
0.146;0.02697;0.04604;-0.23833;;-0.00038;0.00583;-0.03752;;-0.00005;0.00044;-0.00270;;1146;2.749070438;4.692796406;-24.29449723
0.146;0.01984;0.03964;-0.24439;;-0.00038;0.00583;-0.03752;;-0.00005;0.00044;-0.00270;;1146;2.022375352;4.040904833;-24.91195956
0.154;0.00068;0.09112;-0.29719;;-0.00030;0.00635;-0.03968;;-0.00006;0.00049;-0.00301;;1154;0.069267062;9.288959895;-30.29414447
0.158;0.00720;0.07230;-0.28145;;-0.00029;0.00668;-0.04084;;-0.00006;0.00052;-0.00317;;1158;0.734166657;7.36956384;-28.68979714
0.166;-0.00962;-0.00198;-0.24321;;-0.00030;0.00696;-0.04294;;-0.00006;0.00057;-0.00351;;1166;-0.980181733;-0.202028149;-24.79239371
0.166;-0.00269;0.02196;-0.25292;;-0.00030;0.00696;-0.04294;;-0.00006;0.00057;-0.00351;;1166;-0.274317415;2.238938633;-25.78175926
0.174;0.01643;0.02689;-0.23836;;-0.00024;0.00716;-0.04491;;-0.00006;0.00063;-0.00386;;1174;1.67521688;2.741547371;-24.29762101
0.175;0.00991;0.02791;-0.24439;;-0.00023;0.00719;-0.04515;;-0.00006;0.00064;-0.00390;;1175;1.009704085;2.845037327;-24.91276959
0.187;-0.02709;0.15132;-0.26304;;-0.00033;0.00826;-0.04819;;-0.00007;0.00073;-0.00446;;1187;-2.761334109;15.42500726;-26.81297389
0.187;-0.01382;0.10806;-0.25806;;-0.00033;0.00826;-0.04819;;-0.00007;0.00073;-0.00446;;1187;-1.408341974;11.01529357;-26.30571527
0.195;0.02434;0.04635;-0.29092;;-0.00029;0.00888;-0.05039;;-0.00007;0.00080;-0.00486;;1195;2.480649026;4.725025616;-29.65555882
0.195;0.01126;0.06308;-0.27982;;-0.00029;0.00888;-0.05039;;-0.00007;0.00080;-0.00486;;1195;1.147894394;6.429824198;-28.5242057
0.207;0.00902;-0.02148;-0.25987;;-0.00017;0.00913;-0.05363;;-0.00007;0.00091;-0.00548;;1207;0.91922985;-2.189620204;-26.49014456
0.207;0.00863;0.01016;-0.26450;;-0.00017;0.00913;-0.05363;;-0.00007;0.00091;-0.00548;;1207;0.879997216;1.035587895;-26.96269281
0.215;0.00857;0.05187;-0.26571;;-0.00010;0.00938;-0.05575;;-0.00007;0.00098;-0.00592;;1215;0.873265961;5.287865108;-27.08522915
0.215;0.00856;0.04084;-0.26602;;-0.00010;0.00938;-0.05575;;-0.00007;0.00098;-0.00592;;1215;0.87211106;4.163432814;-27.11700401
0.223;-0.02732;0.10897;-0.24902;;-0.00017;0.00998;-0.05781;;-0.00007;0.00106;-0.00637;;1223;-2.784941339;11.10828349;-25.38455322
0.228;-0.01386;0.08376;-0.25443;;-0.00028;0.01046;-0.05907;;-0.00007;0.00111;-0.00666;;1228;-1.412392335;8.538267159;-25.93531195
0.236;0.02433;0.02577;-0.27290;;-0.00023;0.01090;-0.06117;;-0.00008;0.00119;-0.00715;;1236;2.479954094;2.626803206;-27.81881934
0.236;0.01126;0.04326;-0.26788;;-0.00023;0.01090;-0.06117;;-0.00008;0.00119;-0.00715;;1236;1.147775162;4.409599653;-27.30723105
0.244;-0.02686;0.01166;-0.26658;;-0.00030;0.01112;-0.06331;;-0.00008;0.00128;-0.00764;;1244;-2.737644857;1.188498639;-27.17457125
0.248;-0.01378;0.02477;-0.26625;;-0.00038;0.01119;-0.06438;;-0.00008;0.00133;-0.00790;;1248;-1.404277541;2.52525589;-27.14017128
