Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z
0.000;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;1000;0;0;0
0.005;0.02673;0.06597;-0.26757;;0.00007;0.00016;-0.00067;;0.00000;0.00000;0.00000;;1005;2.725074528;6.725074528;-27.27492547
0.006;0.02673;0.06597;-0.26757;;0.00009;0.00023;-0.00094;;0.00000;0.00000;0.00000;;1006;2.725074528;6.725074528;-27.27492547
0.013;-0.00270;0.04635;-0.25776;;0.00018;0.00062;-0.00278;;0.00000;0.00000;-0.00002;;1013;-0.274925472;4.725074528;-26.27492547
0.017;-0.00270;0.04635;-0.25776;;0.00017;0.00081;-0.00381;;0.00000;0.00001;-0.00003;;1017;-0.274925472;4.725074528;-26.27492547
0.025;0.01692;0.04635;-0.25776;;0.00022;0.00118;-0.00587;;0.00000;0.00001;-0.00007;;1025;1.725074528;4.725074528;-26.27492547
0.025;0.01692;0.04635;-0.25776;;0.00022;0.00118;-0.00587;;0.00000;0.00001;-0.00007;;1025;1.725074528;4.725074528;-26.27492547
0.033;0.00711;0.07578;-0.24795;;0.00032;0.00167;-0.00789;;0.00001;0.00003;-0.00012;;1033;0.725074528;7.725074528;-25.27492547
0.037;0.00711;0.07578;-0.24795;;0.00035;0.00197;-0.00888;;0.00001;0.00003;-0.00016;;1037;0.725074528;7.725074528;-25.27492547
0.045;0.02673;0.05616;-0.23814;;0.00048;0.00250;-0.01083;;0.00001;0.00005;-0.00023;;1045;2.725074528;5.725074528;-24.27492547
0.045;0.02673;0.05616;-0.23814;;0.00048;0.00250;-0.01083;;0.00001;0.00005;-0.00023;;1045;2.725074528;5.725074528;-24.27492547
0.054;0.01692;0.04635;-0.21852;;0.00068;0.00296;-0.01288;;0.00002;0.00008;-0.00034;;1054;1.725074528;4.725074528;-22.27492547
0.058;0.01692;0.04635;-0.21852;;0.00075;0.00315;-0.01376;;0.00002;0.00009;-0.00039;;1058;1.725074528;4.725074528;-22.27492547
0.066;-0.00270;0.07578;-0.28719;;0.00080;0.00364;-0.01578;;0.00002;0.00011;-0.00051;;1066;-0.274925472;7.725074528;-29.27492547
0.066;-0.00270;0.07578;-0.28719;;0.00080;0.00364;-0.01578;;0.00002;0.00011;-0.00051;;1066;-0.274925472;7.725074528;-29.27492547
0.074;-0.00270;0.03654;-0.25776;;0.00078;0.00408;-0.01796;;0.00003;0.00015;-0.00065;;1074;-0.274925472;3.725074528;-26.27492547
0.074;-0.00270;0.03654;-0.25776;;0.00078;0.00408;-0.01796;;0.00003;0.00015;-0.00065;;1074;-0.274925472;3.725074528;-26.27492547
0.086;-0.01251;0.04635;-0.25776;;0.00069;0.00458;-0.02105;;0.00004;0.00020;-0.00088;;1086;-1.274925472;4.725074528;-26.27492547
0.086;-0.01251;0.04635;-0.25776;;0.00069;0.00458;-0.02105;;0.00004;0.00020;-0.00088;;1086;-1.274925472;4.725074528;-26.27492547
0.095;0.00711;0.05616;-0.25776;;0.00067;0.00504;-0.02337;;0.00005;0.00024;-0.00108;;1095;0.725074528;5.725074528;-26.27492547
0.095;0.00711;0.05616;-0.25776;;0.00067;0.00504;-0.02337;;0.00005;0.00024;-0.00108;;1095;0.725074528;5.725074528;-26.27492547
0.103;-0.00270;0.05616;-0.23814;;0.00069;0.00549;-0.02536;;0.00005;0.00028;-0.00128;;1103;-0.274925472;5.725074528;-24.27492547
0.107;-0.00270;0.05616;-0.23814;;0.00067;0.00572;-0.02631;;0.00005;0.00031;-0.00138;;1107;-0.274925472;5.725074528;-24.27492547
0.115;-0.00270;0.05616;-0.25776;;0.00065;0.00617;-0.02829;;0.00006;0.00035;-0.00160;;1115;-0.274925472;5.725074528;-26.27492547
0.115;-0.00270;0.05616;-0.25776;;0.00065;0.00617;-0.02829;;0.00006;0.00035;-0.00160;;1115;-0.274925472;5.725074528;-26.27492547
0.123;-0.02232;0.05616;-0.22833;;0.00055;0.00662;-0.03024;;0.00006;0.00040;-0.00183;;1123;-2.274925472;5.725074528;-23.27492547
0.127;-0.02232;0.05616;-0.22833;;0.00046;0.00684;-0.03115;;0.00007;0.00043;-0.00196;;1127;-2.274925472;5.725074528;-23.27492547
0.136;0.00711;0.05616;-0.25776;;0.00040;0.00735;-0.03334;;0.00007;0.00050;-0.00225;;1136;0.725074528;5.725074528;-26.27492547
0.136;0.00711;0.05616;-0.25776;;0.00040;0.00735;-0.03334;;0.00007;0.00050;-0.00225;;1136;0.725074528;5.725074528;-26.27492547
0.144;0.01692;0.03654;-0.24795;;0.00049;0.00772;-0.03536;;0.00007;0.00056;-0.00252;;1144;1.725074528;3.725074528;-25.27492547
0.144;0.01692;0.03654;-0.24795;;0.00049;0.00772;-0.03536;;0.00007;0.00056;-0.00252;;1144;1.725074528;3.725074528;-25.27492547
0.156;-0.01251;0.04635;-0.24795;;0.00052;0.00821;-0.03833;;0.00008;0.00065;-0.00296;;1156;-1.274925472;4.725074528;-25.27492547
0.156;-0.01251;0.04635;-0.24795;;0.00052;0.00821;-0.03833;;0.00008;0.00065;-0.00296;;1156;-1.274925472;4.725074528;-25.27492547
0.164;-0.00270;0.07578;-0.28719;;0.00046;0.00870;-0.04048;;0.00008;0.00072;-0.00328;;1164;-0.274925472;7.725074528;-29.27492547
0.164;-0.00270;0.07578;-0.28719;;0.00046;0.00870;-0.04048;;0.00008;0.00072;-0.00328;;1164;-0.274925472;7.725074528;-29.27492547
0.176;0.00711;0.04635;-0.26757;;0.00048;0.00944;-0.04380;;0.00009;0.00083;-0.00378;;1176;0.725074528;4.725074528;-27.27492547
0.177;0.00711;0.04635;-0.26757;;0.00049;0.00948;-0.04407;;0.00009;0.00084;-0.00383;;1177;0.725074528;4.725074528;-27.27492547
0.185;0.00711;0.04635;-0.24795;;0.00055;0.00985;-0.04613;;0.00009;0.00091;-0.00419;;1185;0.725074528;4.725074528;-25.27492547
