Timer,X,Y,Z
"977","2878","8968","1865"
"977","2878","8968","1865"
"977","2878","8968","1865"
"977","2878","8968","1865"
"977","2878","8968","1865"
"977","2878","8968","1865"
"977","2878","8968","1865"
"977","2878","8968","1865"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1038","3283","8987","4703"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1100","3289","8989","4692"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1157","3280","8975","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1219","3322","9006","4666"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1280","3331","9003","4745"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1341","2889","8970","1863"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1399","2852","8961","1861"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1460","2920","8989","1875"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1522","3339","9002","4695"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1579","3343","9032","4659"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
"1640","2883","8982","1877"
