Timer,AX,AY,AZ,GX,GY,GZ
"1007","-3","1","-1","0","-1","0"
"1015","-3","1","-1","-1","0","1"
"1027","-4","1","-1","-1","-2","0"
"1036","-5","0","-1","2","-2","2"
"1048","-2","0","-1","2","-1","2"
"1056","-4","1","-1","-2","-1","1"
"1068","-3","1","-1","-1","1","2"
"1076","-5","1","-1","3","1","2"
"1085","-3","2","-1","1","-1","1"
"1097","-4","1","-1","3","-1","2"
"1105","-2","0","-1","-1","0","1"
"1117","-4","2","-1","-2","0","2"
"1126","-3","1","-1","-1","1","-2"
"1138","-4","2","-1","-4","-1","0"
"1146","-7","0","-1","-4","2","-2"
"1158","-4","2","-1","1","1","0"
"1167","-1","2","-1","0","0","0"
"1175","-1","2","-1","0","-1","0"
"1187","-4","2","-1","2","-1","1"
"1195","-3","0","-1","1","0","2"
"1207","-2","0","-1","0","-2","1"
"1216","0","3","-1","-1","0","-1"
"1228","-5","2","-1","0","-5","-1"
"1236","-2","1","-1","-2","-1","0"
"1248","-4","0","-1","-1","0","1"
"1257","-3","1","-1","1","-1","1"
"1265","-4","3","-1","-1","-1","2"
"1277","-3","1","-1","0","1","1"
"1285","-4","1","-1","1","2","2"
"1297","-4","-1","-1","0","0","4"
"1306","-3","2","-1","-3","-1","-1"
"1318","-6","2","-1","1","-2","2"
"1326","-3","2","-1","0","3","2"
"1338","-4","0","-1","-1","0","2"
"1347","-4","0","-1","2","-3","-1"
"1355","-6","2","-1","3","-2","1"
"1367","-4","0","-1","2","0","-1"
"1376","-4","0","-1","0","1","-1"
"1387","-4","0","-1","-4","0","1"
"1396","-2","1","-1","0","1","0"
"1408","-4","0","-1","1","0","1"
"1416","-4","1","-1","-2","0","1"
"1429","-2","1","-1","-4","0","-1"
"1437","-3","0","-1","0","0","-1"
"1445","-4","0","-1","1","1","0"
"1457","-3","0","-1","1","1","0"
"1466","-4","1","-1","0","2","2"
"1478","-3","0","-1","1","-2","1"
"1486","-4","2","-1","0","-1","0"
"1498","-2","2","-1","1","-2","-1"
"1507","-4","0","-1","-2","-1","2"
"1515","-4","2","-1","2","1","1"
"1527","0","0","-1","-2","-2","0"
"1535","-4","0","-1","-1","2","1"
"1548","-3","1","-1","2","0","2"
"1556","-4","1","-1","0","-1","1"
"1568","-4","1","-1","0","-2","-2"
"1576","-3","1","-1","-1","3","-1"
"1588","-4","0","-1","-3","0","2"
"1597","-3","1","-1","-2","0","0"
"1609","-4","1","-1","-3","-2","0"
"1617","-4","0","-1","-3","0","0"
"1625","-4","0","-1","-1","1","1"
"1638","-4","0","-1","-1","-1","0"
"1646","-4","1","-1","1","-1","-1"
"1658","-4","1","-1","1","2","1"
"1667","-4","1","-1","-3","-2","-1"
"1678","-4","2","-1","-2","-1","0"
"1687","-4","1","-1","-2","-2","2"
"1695","-5","0","-1","-1","0","0"
"1707","-4","0","-1","1","1","-2"
"1716","-4","0","-1","-1","0","-3"
"1728","-4","1","-1","0","-3","2"
"1736","-4","0","-1","0","2","0"
"1748","-4","1","-1","-1","-2","0"
"1757","-4","2","-1","1","-2","2"
"1768","-5","0","-1","-3","0","2"
"1777","-4","2","-1","-2","2","1"
"1785","-2","1","-1","0","-1","2"
"1797","-2","2","-1","3","0","2"
"1806","-3","1","-1","-1","1","1"
"1818","-2","0","-1","-1","0","1"
"1826","-4","2","-1","0","2","0"
"1838","-4","1","-1","2","2","1"
"1847","-5","2","-1","-2","-2","2"
"1859","-4","3","-1","1","-2","0"
"1867","-3","2","-1","1","0","-1"
"1875","-2","1","-1","0","-2","0"
"1888","-3","1","-1","1","-2","0"
"1896","-3","1","-1","0","0","2"
"1908","-3","0","-1","-1","0","1"
"1916","-3","2","-1","-3","-2","1"
"1928","-3","2","-1","-2","-1","1"
"1937","-3","0","-1","3","-1","0"
"1945","-5","2","-1","0","0","0"
"1957","-3","1","-1","0","-1","0"
"1965","-4","2","-1","2","1","0"
"1978","-5","0","-1","1","-2","2"
"1986","-4","2","-1","-2","-2","2"
"1998","-5","1","-1","1","-3","2"
"2006","-4","0","-1","-1","0","1"
"2019","-5","1","-1","-2","2","3"
"2027","-4","2","-1","-2","0","-1"
"2039","-5","1","-1","-1","-1","0"
"2047","-3","3","-1","2","3","-1"
"2056","-1","1","-1","-3","-1","0"
"2068","-4","0","-1","-2","0","0"
"2076","-5","1","-1","0","-2","0"
"2088","-4","1","-1","-1","0","2"
"2096","-3","1","-1","0","1","-1"
"2109","-6","0","-1","0","4","1"
"2117","-1","1","-1","-1","2","0"
"2129","-3","1","-1","-3","1","-1"
"2137","-3","1","-1","0","-1","0"
"2146","-5","1","-1","-2","0","1"
"2158","-4","0","-1","-3","1","-2"
"2166","-4","0","-1","-1","1","-2"
"2179","-6","1","-1","-2","2","-2"
"2187","-3","1","-1","2","1","2"
"2199","-3","1","-1","3","1","1"
"2207","-4","2","-1","3","1","-3"
"2219","-4","2","-1","2","1","0"
"2228","-4","1","-1","0","0","0"
"2236","-3","0","-1","0","2","1"
"2248","-3","1","-1","-3","2","-1"
"2256","-4","1","-1","-3","0","-4"
"2268","-4","3","-1","-1","0","-1"
"2277","-3","0","-1","0","3","1"
"2289","-3","2","-1","-2","1","0"
"2297","-4","1","-1","2","1","-1"
"2309","-1","0","-1","0","0","1"
"2318","-4","0","-1","-2","2","-2"
"2330","-3","0","-1","-2","0","-3"
"2338","-2","1","-1","0","0","0"
"2346","-3","2","-1","1","2","1"
"2358","-4","1","-1","-2","4","-2"
"2367","-4","2","-1","-1","1","-2"
"2379","-3","2","-1","1","1","-2"
"2387","-3","0","-1","-1","0","0"
"2399","-4","0","-1","-1","2","-1"
"2408","-4","1","-1","-2","2","1"
"2420","-1","1","-1","-1","0","0"
"2428","-2","0","-1","1","1","0"
"2437","-3","0","-1","-1","0","-1"
"2449","-2","2","-1","0","-3","0"
"2457","-4","2","-1","-3","1","-2"
"2469","-3","1","-1","-1","1","0"
"2478","-5","1","-1","-1","3","0"
"2490","-1","0","-1","0","2","-1"
"2498","-2","2","-1","0","1","0"
"2510","-4","1","-1","0","-1","-2"
"2518","-1","2","-1","-1","1","-3"
"2530","-4","3","-1","-1","-2","0"
"2539","-2","1","-1","-1","0","2"
"2547","-4","1","-1","0","1","0"
"2560","-4","2","-1","-1","2","-1"
"2568","-4","3","-1","2","2","-1"
"2580","-3","1","-1","0","-1","-3"
"2588","-4","0","-1","1","-1","-1"
"2600","-2","3","-1","-1","-1","0"
"2608","-3","1","-1","-1","1","0"
"2617","-4","0","-1","0","1","1"
"2629","-3","1","-1","1","2","1"
"2638","-5","0","-1","0","1","1"
"2649","-4","1","-1","0","-1","-2"
"2658","-4","2","-1","-2","2","-1"
"2670","-4","0","-1","-3","2","1"
"2678","-2","2","-1","0","0","2"
"2690","-3","0","-1","3","-2","2"
"2699","-5","2","-1","1","1","1"
"2711","-3","1","-1","-2","1","2"
"2719","-4","2","-1","-1","1","0"
"2727","-5","0","-1","0","0","0"
"2739","-3","2","-1","-5","-1","4"
"2748","-3","0","-1","-2","1","0"
"2760","-3","1","-1","-1","2","0"
"2768","-3","2","-1","-1","0","2"
"2780","-5","1","-1","-2","2","-1"
"2789","-3","1","-1","-2","0","1"
"2801","-4","1","-1","0","-1","-2"
"2809","-4","1","-1","-1","-3","1"
"2821","-3","1","-1","-3","-1","-1"
"2830","-4","2","-1","-2","-2","1"
"2838","-4","2","-1","0","0","0"
"2850","-4","0","-1","1","2","-1"
"2858","-4","0","-1","3","3","1"
"2870","-4","2","-1","-2","2","1"
"2879","-4","1","-1","0","0","1"
"2891","-2","0","-1","-2","2","1"
"2900","-4","1","-1","1","-3","1"
"2907","-3","1","-1","0","1","1"
"2920","-3","1","-1","0","-1","1"
"2928","-3","1","-1","0","0","1"
"2940","-3","3","-1","-2","0","2"
"2948","-4","2","-1","1","-1","0"
"2961","-4","0","-1","-1","-2","0"
"2969","-3","3","-1","-1","0","0"
"2981","-2","3","-1","-3","2","-1"
"2989","-4","2","-1","-3","2","-1"
"3001","-3","1","-1","-2","1","-2"
"3010","-4","1","-1","-3","0","0"
"3014","-3","2","-1","2","1","-1"
