Timer,X,Y,Z
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
"996","3511","8995","4822"
