Timer,X,Y,Z
"8","3376","2298","1174"
"3.80769","3376","2298","1174"
"7.61538","3376","2298","1174"
"11.42308","3376","2298","1174"
"15.23077","3376","2298","1174"
"19.03846","3376","2298","1174"
"22.84615","3376","2298","1174"
"26.65385","3376","2298","1174"
"30.46154","3376","2298","1174"
"34.26923","3376","2298","1174"
"38.07692","3376","2298","1174"
"41.88462","3376","2298","1174"
"45.69231","3376","2298","1174"
"49.5","3376","2298","1174"
"53.30769","3376","2298","1174"
"57.11538","3376","2298","1174"
"60.92308","3311","2288","1064"
"64.73077","3311","2288","1064"
"68.53846","3311","2288","1064"
"72.34615","3311","2288","1064"
"76.15385","3311","2288","1064"
"79.96154","3311","2288","1064"
"83.76923","3311","2288","1064"
"87.57692","3311","2288","1064"
"91.38462","3311","2288","1064"
"95.19231","3311","2288","1064"
"99","3311","2288","1064"
"100","3311","2288","1064"
"103.09375","3311","2288","1064"
"106.1875","3311","2288","1064"
"109.28125","3311","2288","1064"
"112.375","3509","2151","2629"
"115.46875","3509","2151","2629"
"118.5625","3509","2151","2629"
"121.65625","3509","2151","2629"
"124.75","3509","2151","2629"
"127.84375","3509","2151","2629"
"130.9375","3509","2151","2629"
"134.03125","3509","2151","2629"
"137.125","3509","2151","2629"
"140.21875","3509","2151","2629"
"143.3125","3509","2151","2629"
"146.40625","3509","2151","2629"
"149.5","3509","2151","2629"
"152.59375","3509","2151","2629"
"155.6875","3509","2151","2629"
"158.78125","3509","2151","2629"
"161.875","3509","2151","2629"
"164.96875","3509","2151","2629"
"168.0625","3509","2151","2629"
"171.15625","3352","2274","1122"
"174.25","3352","2274","1122"
"177.34375","3352","2274","1122"
"180.4375","3352","2274","1122"
"183.53125","3352","2274","1122"
"186.625","3352","2274","1122"
"189.71875","3352","2274","1122"
"192.8125","3352","2274","1122"
"195.90625","3352","2274","1122"
"199","3352","2274","1122"
"203.39286","3352","2274","1122"
"206.78571","3352","2274","1122"
"210.17857","3352","2274","1122"
"213.57143","3352","2274","1122"
"216.96429","3352","2274","1122"
"220.35714","3352","2274","1122"
