Timer,AX,AY,AZ,GX,GY,GZ,A
"5.38889","1","0","0","1","0","0","360"
"10.77778","1","0","0","1","0","0","360"
"16.16667","0","1","0","0","1","0","360"
"21.55556","0","1","0","0","1","0","360"
"26.94444","0","-2","0","0","-2","0","360"
"32.33333","0","-2","0","0","-2","0","360"
"37.72222","0","-1","0","0","-1","0","360"
"43.11111","0","-1","0","0","-1","0","360"
"48.5","0","-3","0","0","-3","0","360"
"53.88889","0","-3","0","0","-3","0","360"
"59.27778","-2","-2","0","-2","-2","0","360"
"64.66667","-2","-2","0","-2","-2","0","360"
"70.05556","-2","1","0","-2","1","0","360"
"75.44444","-2","1","0","-2","1","0","360"
"80.83333","-1","2","0","-1","2","0","360"
"86.22222","-1","2","0","-1","2","0","360"
"91.61111","-3","0","0","-3","0","0","360"
"97","-3","0","0","-3","0","0","360"
"103.13333","-4","1","0","-4","1","0","360"
"106.26667","-4","1","0","-4","1","0","360"
"109.4","0","1","0","0","1","0","360"
"112.53333","0","1","0","0","1","0","360"
"115.66667","0","1","0","0","1","0","360"
"118.8","0","1","0","0","1","0","360"
"121.93333","-2","0","0","-2","0","0","360"
"125.06667","-2","0","0","-2","0","0","360"
"128.2","-2","0","0","-2","0","0","360"
"131.33333","-2","0","0","-2","0","0","360"
"134.46667","0","1","0","0","1","0","360"
"137.6","0","1","0","0","1","0","360"
"140.73333","0","1","0","0","1","0","360"
"143.86667","0","1","0","0","1","0","360"
"147","-3","2","0","-3","2","0","360"
"150.13333","-3","2","0","-3","2","0","360"
"153.26667","-1","-2","0","-1","-2","0","360"
"156.4","-1","-2","0","-1","-2","0","360"
"159.53333","1","-1","0","1","-1","0","360"
"162.66667","1","-1","0","1","-1","0","360"
"165.8","-1","-1","0","-1","-1","0","360"
"168.93333","-1","-1","0","-1","-1","0","360"
"172.06667","-2","2","0","-2","2","0","360"
"175.2","-2","2","0","-2","2","0","360"
"178.33333","0","-2","0","0","-2","0","360"
"181.46667","0","-2","0","0","-2","0","360"
"184.6","3","0","0","3","0","0","360"
"187.73333","3","0","0","3","0","0","360"
"190.86667","-1","-1","0","-1","-1","0","360"
"194","-1","-1","0","-1","-1","0","360"
"200","-2","1","0","-2","1","0","360"
"200","-2","1","0","-2","1","0","360"
"202.85294","0","0","0","0","0","0","360"
"205.70588","0","0","0","0","0","0","360"
"208.55882","0","-1","0","0","-1","0","360"
"211.41176","0","-1","0","0","-1","0","360"
"214.26471","2","2","0","2","2","0","360"
"217.11765","2","2","0","2","2","0","360"
"219.97059","3","0","0","3","0","0","360"
"222.82353","3","0","0","3","0","0","360"
"225.67647","0","1","0","0","1","0","360"
"228.52941","0","1","0","0","1","0","360"
"231.38235","-1","1","0","-1","1","0","360"
"234.23529","-1","1","0","-1","1","0","360"
"237.08824","1","1","0","1","1","0","360"
"239.94118","1","1","0","1","1","0","360"
"242.79412","-1","1","0","-1","1","0","360"
"245.64706","-1","1","0","-1","1","0","360"
"248.5","-1","1","0","-1","1","0","360"
"251.35294","-1","1","0","-1","1","0","360"
"254.20588","-1","0","0","-1","0","0","360"
"257.05882","-1","0","0","-1","0","0","360"
"259.91176","2","0","0","2","0","0","360"
"262.76471","2","0","0","2","0","0","360"
"265.61765","0","1","0","0","1","0","360"
"268.47059","0","1","0","0","1","0","360"
"271.32353","-1","-1","0","-1","-1","0","360"
"274.17647","-1","-1","0","-1","-1","0","360"
"277.02941","2","-1","0","2","-1","0","360"
"279.88235","2","-1","0","2","-1","0","360"
"282.73529","1","0","0","1","0","0","360"
"285.58824","1","0","0","1","0","0","360"
"288.44118","-2","0","0","-2","0","0","360"
"291.29412","-2","0","0","-2","0","0","360"
"294.14706","-1","2","0","-1","2","0","360"
"297","-1","2","0","-1","2","0","360"
"303.0625","-1","2","0","-1","2","0","360"
"306.125","-1","2","0","-1","2","0","360"
"309.1875","0","1","0","0","1","0","360"
"312.25","0","1","0","0","1","0","360"
"315.3125","-1","-2","0","-1","-2","0","360"
"318.375","-1","-2","0","-1","-2","0","360"
"321.4375","2","-1","0","2","-1","0","360"
"324.5","2","-1","0","2","-1","0","360"
"327.5625","0","0","0","0","0","0","360"
"330.625","0","0","0","0","0","0","360"
"333.6875","1","0","0","1","0","0","360"
"336.75","1","0","0","1","0","0","360"
"339.8125","-2","1","0","-2","1","0","360"
"342.875","-2","1","0","-2","1","0","360"
"345.9375","-2","1","0","-2","1","0","360"
"349","-2","1","0","-2","1","0","360"
"352.0625","-3","2","0","-3","2","0","360"
"355.125","-3","2","0","-3","2","0","360"
"358.1875","-3","0","0","-3","0","0","360"
"361.25","-3","0","0","-3","0","0","360"
"364.3125","0","0","0","0","0","0","360"
"367.375","0","0","0","0","0","0","360"
"370.4375","-1","-1","0","-1","-1","0","360"
"373.5","-1","-1","0","-1","-1","0","360"
"376.5625","-2","-1","0","-2","-1","0","360"
"379.625","-2","-1","0","-2","-1","0","360"
"382.6875","3","3","0","3","3","0","360"
"385.75","3","3","0","3","3","0","360"
"388.8125","2","3","0","2","3","0","360"
"391.875","2","3","0","2","3","0","360"
"394.9375","-1","0","0","-1","0","0","360"
"398","-1","0","0","-1","0","0","360"
"402.79412","0","2","0","0","2","0","360"
"405.58824","0","2","0","0","2","0","360"
"408.38235","0","-1","0","0","-1","0","360"
"411.17647","0","-1","0","0","-1","0","360"
"413.97059","-3","3","0","-3","3","0","360"
"416.76471","-3","3","0","-3","3","0","360"
"419.55882","-2","0","0","-2","0","0","360"
