Timer,AX,AY,AZ,GX,GY,GZ
"1001","0","0","-1","2","-1","-1"
"1010","0","0","-1","0","-1","-1"
"1018","2","-1","-1","0","-1","-1"
"1030","-1","0","-1","0","-1","-2"
"1038","-1","0","-1","3","0","-1"
"1050","-1","0","-1","3","-2","-1"
"1059","1","0","-1","0","1","-1"
"1071","2","0","-1","0","0","1"
"1079","2","0","-1","0","2","1"
"1087","2","0","-1","-2","4","0"
"1100","3","0","-1","1","0","1"
"1108","4","0","-1","1","1","2"
"1120","4","0","-1","-3","5","1"
"1128","3","-3","-1","0","4","0"
"1137","3","-3","-1","1","1","2"
"1149","1","0","-1","3","-1","0"
"1161","1","0","-1","2","1","-1"
"1169","0","0","-1","2","4","2"
"1182","1","2","-1","1","4","3"
"1186","1","2","-1","0","3","3"
"1198","2","0","-1","-6","5","-1"
"1210","0","0","-1","0","2","0"
"1219","2","-1","-1","0","1","0"
"1231","3","0","-1","1","1","2"
"1239","3","0","-1","-2","0","0"
"1251","2","0","-1","-4","1","0"
"1260","2","0","-1","0","0","-1"
"1272","4","0","-1","-2","0","0"
"1280","1","-2","-1","0","3","-1"
"1288","1","-2","-1","-1","-1","-2"
"1296","0","-2","-1","0","2","-2"
"1309","1","-2","-1","-2","1","1"
"1321","3","0","-1","1","4","-2"
"1329","-1","0","-1","1","0","-1"
"1338","-1","0","-1","-1","0","-1"
"1350","0","4","-1","0","0","0"
"1362","0","0","-1","-3","2","1"
"1370","0","0","-1","0","3","4"
"1378","1","0","-1","0","2","1"
"1387","1","0","-1","-2","-1","-1"
"1395","3","-1","-1","-1","2","-1"
"1411","5","0","-1","-1","1","0"
"1420","4","-3","-1","0","-2","-2"
"1428","4","0","-1","0","0","-1"
"1436","4","-2","-1","1","0","0"
"1448","3","0","-1","0","1","1"
"1460","0","1","-1","0","2","1"
"1469","1","1","-1","-1","1","-1"
"1477","-2","4","-1","-1","-1","2"
"1485","2","3","-1","-1","0","2"
"1497","-1","1","-1","1","2","-2"
"1509","0","0","-1","-4","1","-1"
"1518","1","0","-1","-3","1","0"
"1526","0","-1","-1","-2","1","1"
"1534","1","-1","-1","-2","2","1"
"1547","-1","0","-1","-4","2","0"
"1555","2","-2","-1","1","0","-2"
"1567","1","0","-1","0","1","-1"
"1575","3","3","-1","0","0","-2"
"1583","2","1","-1","2","1","-1"
"1596","2","0","-1","2","2","-1"
"1604","4","0","-1","1","1","2"
"1616","2","1","-1","-1","-2","0"
"1624","0","0","-1","1","0","-2"
"1636","0","-1","-1","3","3","0"
"1645","3","-1","-1","2","1","0"
"1657","0","0","-1","-2","-1","-1"
"1665","1","0","-1","0","1","1"
"1673","0","-1","-1","1","3","2"
"1686","0","0","-1","1","2","1"
"1694","1","0","-1","3","1","0"
"1706","2","1","-1","3","1","1"
"1714","4","2","-1","-1","-1","1"
"1726","2","0","-1","-2","1","0"
"1735","1","0","-1","0","1","0"
"1747","3","0","-1","2","-1","1"
"1756","2","0","-1","3","0","0"
"1764","1","2","-1","2","1","1"
"1776","1","1","-1","-1","1","3"
"1784","0","0","-1","3","-1","0"
"1796","1","0","-1","4","1","1"
"1804","0","0","-1","1","0","0"
"1816","2","-1","-1","1","0","1"
"1825","2","0","-1","4","1","2"
"1837","0","0","-1","-3","-1","1"
"1845","2","0","-1","-1","2","2"
"1853","1","0","-1","1","2","-4"
"1866","1","1","-1","-2","1","1"
"1874","0","0","-1","2","-2","-1"
"1886","0","0","-1","1","-2","0"
"1895","3","0","-1","1","-1","0"
"1907","0","0","-1","2","-1","0"
"1915","3","1","-1","-1","2","-1"
"1923","1","0","-1","1","1","0"
"1935","0","0","-1","1","0","1"
"1944","3","0","-1","0","2","2"
"1956","3","-1","-1","1","4","2"
"1964","2","0","-1","2","0","-1"
"1976","3","0","-1","3","-1","1"
"1985","1","0","-1","4","1","0"
"1997","0","0","-1","4","0","1"
"2005","0","0","-1","3","0","1"
"2013","-1","0","-1","3","-1","0"
"2025","-1","0","-1","2","-1","-1"
"2034","2","0","-1","1","-1","0"
"2046","0","0","-1","3","2","1"
"2054","2","0","-1","-1","0","1"
"2066","0","0","-1","-1","-1","0"
"2075","0","0","-1","0","-1","0"
"2087","2","-1","-1","2","1","2"
"2095","1","0","-1","0","2","0"
"2104","2","1","-1","1","-1","1"
"2116","1","0","-1","-2","0","-2"
"2124","0","0","-1","-1","1","-1"
"2136","2","-2","-1","-1","0","2"
"2145","1","0","-1","2","0","0"
"2156","3","1","-1","0","3","0"
"2165","0","0","-1","-1","0","1"
"2177","1","0","-1","-1","0","-2"
"2185","0","0","-1","-1","1","1"
"2194","0","1","-1","-2","0","2"
"2206","0","-1","-1","-1","-2","0"
"2214","2","0","-1","1","-1","-1"
"2226","0","0","-1","-3","0","-2"
"2235","2","0","-1","1","0","0"
"2247","2","0","-1","2","1","4"
"2255","2","0","-1","2","1","2"
"2263","2","1","-1","-1","0","5"
"2275","2","0","-1","0","-1","1"
"2284","3","0","-1","3","1","1"
"2296","1","1","-1","1","-1","0"
"2304","1","0","-1","-1","-2","-1"
"2316","0","0","-1","0","1","2"
"2325","1","0","-1","-2","1","0"
"2337","1","1","-1","1","0","0"
"2345","1","0","-1","0","-1","2"
"2353","2","0","-1","2","1","0"
"2366","2","0","-1","-1","1","2"
"2374","2","0","-1","0","-1","1"
"2386","1","1","-1","1","-1","2"
"2394","2","0","-1","3","0","1"
"2406","2","0","-1","3","0","0"
"2415","3","0","-1","0","0","0"
"2427","1","0","-1","0","-3","1"
"2435","2","0","-1","0","-1","1"
"2444","0","0","-1","1","1","-1"
"2456","0","0","-1","2","1","1"
"2464","1","0","-1","0","0","-1"
"2476","0","1","-1","1","-1","0"
"2484","1","0","-1","2","1","2"
"2496","0","0","-1","3","-2","1"
"2505","2","0","-1","-3","-1","0"
"2517","3","0","-1","-3","2","1"
"2526","0","0","-1","-1","0","1"
"2533","1","0","-1","-1","0","1"
