Timer,AX,AY,AZ,GX,GY,GZ
"1002","-2","-2","-1","2","-2","3"
"1008","-2","-2","-1","1","-1","1"
"1021","-1","-2","-1","5","1","2"
"1029","0","-2","-1","2","-2","0"
"1041","0","-3","-1","4","0","3"
"1049","3","-3","-1","2","-1","3"
"1057","3","-3","-1","0","0","3"
"1070","3","-2","-1","0","-2","1"
"1078","2","-2","-1","3","0","1"
"1090","1","-3","-1","3","2","0"
"1099","0","-2","-1","2","1","1"
"1107","0","-2","-1","2","-2","0"
"1119","0","-2","-1","1","0","-1"
"1131","1","-1","-1","1","0","-3"
"1140","0","-1","-1","2","-4","-4"
"1152","1","-2","-1","0","-1","-1"
"1156","1","-2","-1","0","0","-2"
"1168","0","-2","-1","0","0","2"
"1180","1","-5","-1","-4","0","1"
"1189","0","-2","-1","-3","1","-3"
"1201","0","-1","-1","1","0","-1"
"1209","0","-1","-1","2","-1","-1"
"1221","2","1","-1","-1","-1","0"
"1230","2","1","-1","3","0","-1"
"1242","0","-1","-1","1","-1","-1"
"1250","-1","-1","-1","-2","0","0"
"1259","-1","-1","-1","-1","0","2"
"1271","2","-2","-1","-1","2","-2"
"1279","0","0","-1","-2","2","-2"
"1291","-1","-1","-1","0","-1","-3"
"1299","0","-1","-1","1","0","-1"
"1307","0","-1","-1","1","0","-1"
"1320","0","0","-1","0","-1","-1"
"1332","-1","-3","-1","1","-2","0"
"1341","-1","-4","-1","-2","-1","-3"
"1352","1","-4","-1","-2","-1","-2"
"1357","1","-4","-1","0","0","0"
"1369","0","-2","-1","-3","3","1"
"1381","2","-1","-1","0","0","1"
"1389","0","-3","-1","-3","-1","-1"
"1402","0","0","-1","5","-1","0"
"1410","0","0","-1","5","-2","-1"
"1422","3","-2","-1","0","1","0"
"1431","-1","-1","-1","-2","1","-3"
"1442","0","-2","-1","1","1","3"
"1451","0","-1","-1","3","1","0"
"1459","0","-1","-1","-1","0","0"
"1471","0","-2","-1","-1","0","2"
"1480","2","-3","-1","-1","1","1"
"1492","2","-3","-1","3","1","1"
"1500","1","-2","-1","2","2","-2"
"1508","1","-2","-1","2","0","-1"
"1520","0","-2","-1","3","-2","0"
"1532","0","-2","-1","0","-1","0"
"1541","0","1","-1","0","-1","0"
"1553","2","-2","-1","-1","-1","-1"
"1557","2","-2","-1","-3","-4","-2"
"1565","0","1","-2","-1","-1","-1"
"1582","1","3","3","-1","3","-1"
"1590","16","-26","1","-3","-4","-1"
"1602","-14","-10","1","6","2","1"
"1607","-14","-10","1","0","1","-2"
"1622","7","-21","1","-4","2","3"
"1631","0","-2","-2","10","0","1"
"1639","0","-2","-2","3","-2","-1"
"1651","-2","3","-1","-3","4","1"
"1655","5","4","1","0","-2","0"
"1668","7","-11","1","-5","-1","0"
"1680","-2","0","1","2","-2","0"
"1688","4","-8","1","1","-2","-1"
"1701","2","-2","1","-2","1","0"
"1705","0","0","1","0","-1","-1"
"1717","2","-1","1","-2","0","0"
"1729","6","-5","1","2","1","-3"
"1738","7","-3","1","1","0","0"
"1746","-7","-4","1","1","1","0"
"1754","3","-4","1","-1","0","1"
"1766","1","0","1","2","-1","2"
"1778","-2","-5","1","-1","-2","-2"
"1787","-1","0","1","-1","-2","0"
"1795","0","-3","-1","0","-2","1"
"1807","2","-5","-1","-1","0","-1"
"1816","0","0","-1","1","0","0"
"1827","4","-7","-1","1","1","-1"
"1836","3","-1","-1","-1","-2","1"
"1844","2","-2","-1","-1","1","-3"
"1856","4","-2","-1","-1","-1","-1"
"1865","1","0","-1","-1","-2","-1"
"1877","0","0","-1","0","1","-1"
"1885","2","-2","-1","-2","1","0"
"1897","0","-3","-1","-2","1","0"
"1906","-1","-2","-1","-3","1","0"
"1918","0","-4","-1","0","-2","-3"
"1926","0","-1","-1","0","0","0"
"1934","-1","-1","-1","0","-3","0"
"1947","0","-2","-1","2","-1","-2"
"1955","0","-2","-1","3","3","2"
"1967","-1","0","-1","2","-1","2"
"1975","3","0","-1","0","-2","0"
"1987","1","-1","-1","-3","0","-2"
"1996","3","-1","-1","1","-1","-1"
"2008","1","-2","-1","2","0","-1"
"2016","4","-4","-1","-2","0","1"
"2024","1","-2","-1","-1","1","-1"
"2037","1","-1","-1","1","-1","3"
"2045","2","-4","-1","1","-3","-2"
"2057","2","-1","-1","4","-1","-1"
"2066","0","-3","-1","-1","1","-1"
"2077","1","-5","-1","-2","1","-2"
"2086","-1","-1","-1","4","1","-2"
"2098","1","-3","-1","0","-1","-2"
"2106","0","-4","-1","-2","0","-3"
"2114","0","-2","-1","0","2","1"
"2127","0","-4","-1","1","3","-1"
"2135","0","-3","-1","3","0","0"
"2147","1","0","-1","3","2","-2"
"2155","4","0","-1","2","-1","1"
"2168","3","-2","-1","3","-1","-1"
"2176","3","0","-1","-2","-1","1"
"2188","6","-4","-1","-3","-3","0"
"2196","0","-3","-1","-1","1","2"
"2204","2","-2","-1","-2","-1","0"
"2217","-2","-3","-1","0","-1","1"
"2225","2","0","-1","0","-1","1"
"2237","-1","0","-1","0","-2","2"
"2245","1","2","-1","2","-1","1"
"2257","1","0","-1","2","1","2"
"2266","1","-4","-1","0","1","0"
"2274","3","-3","-1","0","0","2"
"2287","-2","-5","-1","2","-1","-1"
"2295","0","-7","-1","1","0","-1"
"2307","0","-1","-1","2","1","3"
"2315","3","-3","-1","2","1","0"
"2327","0","-2","-1","0","0","0"
"2336","3","0","-1","1","0","0"
"2348","4","-3","-1","-1","0","4"
"2356","2","0","-1","-4","2","-1"
"2364","1","-1","-1","0","1","2"
"2377","2","1","-1","-3","0","1"
"2385","3","0","-1","1","-1","3"
"2397","3","0","-1","2","0","1"
"2405","2","-4","-1","-4","0","2"
