Timer,X,Y,Z
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"998","3291","6887","4821"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1059","3250","6914","4676"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1121","3295","6919","4778"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1178","3311","6915","4769"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1240","3308","6926","4746"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1301","3424","7038","-321"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1363","3267","6896","4758"
"1424","3315","6903","4719"
