Timer,AX,AY,AZ,GX,GY,GZ
"1001","4,598","8,598","-24,402","5,044","-1,003","-0,172"
"1001","3,598","2,598","-23,402","5,044","-1,003","-0,172"
"1001","3,598","2,598","-23,402","-2,956","-3,003","-2,172"
"1001","2,598","5,598","-23,402","-2,956","-3,003","-2,172"
"1001","2,598","5,598","-23,402","-4,956","0,997","-1,172"
"1001","2,598","5,598","-23,402","-4,956","0,997","-1,172"
"1001","2,598","5,598","-23,402","-0,956","-0,003","1,828"
"1001","1,598","7,598","-22,402","-0,956","-0,003","1,828"
"1001","1,598","7,598","-22,402","4,044","0,997","-0,172"
"1001","4,598","4,598","-22,402","4,044","0,997","-0,172"
"1001","4,598","4,598","-22,402","-1,956","-0,003","-0,172"
"1001","3,598","6,598","-23,402","-1,956","-0,003","-0,172"
"1001","3,598","6,598","-23,402","0,044","-0,003","-1,172"
"1001","4,598","6,598","-25,402","0,044","-0,003","-1,172"
"1001","4,598","6,598","-25,402","2,044","-0,003","-0,172"
"1001","4,598","6,598","-25,402","2,044","-0,003","-0,172"
"1001","4,598","6,598","-25,402","1,044","0,997","-0,172"
"1001","3,598","5,598","-22,402","1,044","0,997","-0,172"
"1001","3,598","5,598","-22,402","-0,956","-1,003","-0,172"
"1001","2,598","8,598","-27,402","-0,956","-1,003","-0,172"
"1001","2,598","8,598","-27,402","2,044","0,997","1,828"
"1001","3,598","6,598","-23,402","2,044","0,997","1,828"
"1002","3,598","6,598","-23,402","3,044","-2,003","-1,172"
"1002","4,598","5,598","-19,402","3,044","-2,003","-1,172"
"1002","4,598","5,598","-19,402","0,044","-3,003","-2,172"
"1002","4,598","5,598","-19,402","0,044","-3,003","-2,172"
"1002","4,598","5,598","-19,402","-0,956","-0,003","-0,172"
"1002","5,598","7,598","-22,402","-0,956","-0,003","-0,172"
"1002","5,598","7,598","-22,402","3,044","-0,003","0,828"
"1002","2,598","3,598","-21,402","3,044","-0,003","0,828"
"1002","2,598","3,598","-21,402","-1,956","-2,003","-0,172"
"1002","3,598","5,598","-20,402","-1,956","-2,003","-0,172"
"1002","3,598","5,598","-20,402","-1,956","-1,003","-0,172"
"1002","4,598","5,598","-21,402","-1,956","-1,003","-0,172"
"1002","4,598","5,598","-21,402","0,044","-0,003","-0,172"
"1002","4,598","5,598","-21,402","0,044","-0,003","-0,172"
"1002","4,598","5,598","-21,402","1,044","-1,003","-1,172"
"1002","2,598","6,598","-23,402","1,044","-1,003","-1,172"
"1002","2,598","6,598","-23,402","-2,956","-1,003","-1,172"
"1002","2,598","10,598","-23,402","-2,956","-1,003","-1,172"
