Timer,X,Y,Z
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1004","8672","8036","5411"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1057","8685","7581","259"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1123","8661","7560","213"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1180","8671","7647","96"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1234","8691","7639","165"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1291","8702","7621","193"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1348","8707","7595","237"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1402","8700","7534","286"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1463","8713","7631","187"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1516","8703","7522","258"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1573","8666","7639","164"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1627","8678","7589","219"
"1680","8823","7969","-73"
"1680","8823","7969","-73"
"1680","8823","7969","-73"
"1680","8823","7969","-73"
"1680","8823","7969","-73"
"1680","8823","7969","-73"
"1680","8823","7969","-73"
"1680","8823","7969","-73"
