Timer,AX,AY,AZ,GX,GY,GZ,A
"5.44444","1","0","-24","-2","0","1","272.5"
"10.88889","1","0","-24","-2","0","1","272.5"
"16.33333","1","0","-24","1","1","1","272.5"
"21.77778","-1","-2","-26","1","1","1","272.5"
"27.22222","-1","-2","-26","3","2","1","272.5"
"32.66667","-2","-4","-30","3","2","1","272.5"
"38.11111","-2","-4","-30","1","1","1","272.5"
"43.55556","0","-1","-26","1","1","1","272.5"
"49","0","-1","-26","-1","3","1","272.5"
"54.44444","1","-1","-24","-1","3","1","272.5"
"59.88889","1","-1","-24","2","2","1","272.5"
"65.33333","1","-1","-24","2","2","1","272.5"
"70.77778","1","-1","-24","0","2","1","272.5"
"76.22222","3","-4","-27","0","2","1","272.5"
"81.66667","3","-4","-27","2","-1","1","272.5"
"87.11111","5","-1","-26","2","-1","1","272.5"
"92.55556","5","-1","-26","-1","-1","1","272.5"
"98","3","3","-22","-1","-1","1","272.5"
"104.89474","3","3","-22","3","0","1","272.5"
"109.78947","0","-1","-25","3","0","1","272.5"
"114.68421","0","-1","-25","4","1","1","272.5"
"119.57895","0","-1","-25","4","1","1","272.5"
"124.47368","0","-1","-25","-2","2","1","272.5"
"129.36842","0","3","-24","-2","2","1","272.5"
"134.26316","0","3","-24","-3","2","1","272.5"
"139.15789","5","0","-23","-3","2","1","272.5"
"144.05263","5","0","-23","-2","1","1","272.5"
"148.94737","3","-1","-27","-2","1","1","272.5"
"153.84211","3","-1","-27","-1","-1","1","272.5"
"158.73684","0","-1","-25","-1","-1","1","272.5"
"163.63158","0","-1","-25","0","-1","1","272.5"
"168.52632","0","-1","-25","0","-1","1","272.5"
"173.42105","0","-1","-25","-1","1","1","272.5"
"178.31579","0","-3","-26","-1","1","1","272.5"
"183.21053","0","-3","-26","1","0","1","272.5"
"188.10526","-2","0","-26","1","0","1","272.5"
"193","-2","0","-26","0","1","1","272.5"
"204.71429","0","0","-28","0","1","1","272.5"
"209.42857","0","0","-28","2","1","1","272.5"
"214.14286","1","-1","-27","2","1","1","272.5"
"218.85714","1","-1","-27","1","1","1","272.5"
"223.57143","1","-1","-27","1","1","1","272.5"
"228.28571","1","-1","-27","-1","2","1","272.5"
"233","-3","-3","-26","-1","2","1","272.5"
"237.71429","-3","-3","-26","-2","-1","1","272.5"
"242.42857","-2","0","-28","-2","-1","1","272.5"
