Timer,X,Y,Z
"4.9","3778","10521","-63"
"9.8","3778","10521","-63"
"14.7","3778","10521","-63"
"19.6","3778","10521","-63"
"24.5","3778","10521","-63"
"29.4","3778","10521","-63"
"34.3","3778","10521","-63"
"39.2","3778","10521","-63"
"44.1","3778","10521","-63"
"49","3778","10521","-63"
"53.9","3778","10521","-63"
"58.8","3778","10521","-63"
"63.7","3779","10517","-34"
"68.6","3779","10517","-34"
"73.5","3779","10517","-34"
"78.4","3779","10517","-34"
"83.3","3779","10517","-34"
"88.2","3779","10517","-34"
"93.1","3779","10517","-34"
"98","3779","10517","-34"
"104.85","3779","10517","-34"
"109.7","3779","10517","-34"
"114.55","3815","10572","-72"
"119.4","3815","10572","-72"
"124.25","3815","10572","-72"
"129.1","3815","10572","-72"
"133.95","3815","10572","-72"
"138.8","3815","10572","-72"
"143.65","3815","10572","-72"
"148.5","3815","10572","-72"
"153.35","3815","10572","-72"
"158.2","3815","10572","-72"
"163.05","3815","10572","-72"
"167.9","3815","10572","-72"
"172.75","3783","10552","-36"
"177.6","3783","10552","-36"
"182.45","3783","10552","-36"
"187.3","3783","10552","-36"
"192.15","3783","10552","-36"
"197","3783","10552","-36"
"204.95","3783","10552","-36"
"209.9","3783","10552","-36"
"214.85","3783","10552","-36"
"219.8","3783","10552","-36"
"224.75","3783","10552","-36"
"229.7","3795","10569","-44"
"234.65","3795","10569","-44"
"239.6","3795","10569","-44"
"244.55","3795","10569","-44"
"249.5","3795","10569","-44"
"254.45","3795","10569","-44"
"259.4","3795","10569","-44"
"264.35","3795","10569","-44"
"269.3","3795","10569","-44"
"274.25","3795","10569","-44"
"279.2","3795","10569","-44"
"284.15","3802","10580","-62"
"289.1","3802","10580","-62"
"294.05","3802","10580","-62"
"299","3802","10580","-62"
"304.85","3802","10580","-62"
"309.7","3802","10580","-62"
"314.55","3802","10580","-62"
"319.4","3802","10580","-62"
"324.25","3802","10580","-62"
"329.1","3802","10580","-62"
"333.95","3802","10580","-62"
"338.8","3783","10533","-17"
"343.65","3783","10533","-17"
"348.5","3783","10533","-17"
"353.35","3783","10533","-17"
"358.2","3783","10533","-17"
"363.05","3783","10533","-17"
"367.9","3783","10533","-17"
"372.75","3783","10533","-17"
"377.6","3783","10533","-17"
"382.45","3783","10533","-17"
"387.3","3783","10533","-17"
"392.15","3766","10553","28"
"397","3766","10553","28"
"405.05263","3766","10553","28"
"410.10526","3766","10553","28"
"415.15789","3766","10553","28"
"420.21053","3766","10553","28"
"425.26316","3766","10553","28"
"430.31579","3766","10553","28"
"435.36842","3766","10553","28"
"440.42105","3766","10553","28"
"445.47368","3766","10553","28"
"450.52632","3766","10553","28"
"455.57895","3850","10580","-72"
"460.63158","3850","10580","-72"
"465.68421","3850","10580","-72"
"470.73684","3850","10580","-72"
"475.78947","3850","10580","-72"
"480.84211","3850","10580","-72"
"485.89474","3850","10580","-72"
"490.94737","3850","10580","-72"
"496","3850","10580","-72"
"500","3850","10580","-72"
"504.9","3770","10520","-9"
"509.8","3770","10520","-9"
"514.7","3770","10520","-9"
"519.6","3770","10520","-9"
"524.5","3770","10520","-9"
"529.4","3770","10520","-9"
"534.3","3770","10520","-9"
"539.2","3770","10520","-9"
"544.1","3770","10520","-9"
"549","3770","10520","-9"
"553.9","3770","10520","-9"
"558.8","3770","10520","-9"
"563.7","3837","10601","-70"
"568.6","3837","10601","-70"
"573.5","3837","10601","-70"
"578.4","3837","10601","-70"
"583.3","3837","10601","-70"
"588.2","3837","10601","-70"
"593.1","3837","10601","-70"
"598","3837","10601","-70"
"605.05263","3837","10601","-70"
"610.10526","3837","10601","-70"
"615.15789","3827","10604","-33"
"620.21053","3827","10604","-33"
"625.26316","3827","10604","-33"
"630.31579","3827","10604","-33"
"635.36842","3827","10604","-33"
"640.42105","3827","10604","-33"
"645.47368","3827","10604","-33"
"650.52632","3827","10604","-33"
"655.57895","3827","10604","-33"
"660.63158","3827","10604","-33"
"665.68421","3827","10604","-33"
"670.73684","3827","10604","-33"
"675.78947","3783","10574","-56"
"680.84211","3783","10574","-56"
"685.89474","3783","10574","-56"
"690.94737","3783","10574","-56"
"696","3783","10574","-56"
"700","3783","10574","-56"
"704.95","3783","10574","-56"
"709.9","3783","10574","-56"
"714.85","3783","10574","-56"
"719.8","3783","10574","-56"
"724.75","3783","10574","-56"
"729.7","3817","10594","-115"
"734.65","3817","10594","-115"
"739.6","3817","10594","-115"
"744.55","3817","10594","-115"
"749.5","3817","10594","-115"
"754.45","3817","10594","-115"
"759.4","3817","10594","-115"
"764.35","3817","10594","-115"
"769.3","3817","10594","-115"
"774.25","3817","10594","-115"
"779.2","3817","10594","-115"
"784.15","3767","10567","-75"
"789.1","3767","10567","-75"
"794.05","3767","10567","-75"
"799","3767","10567","-75"
"804.85","3767","10567","-75"
"809.7","3767","10567","-75"
"814.55","3767","10567","-75"
"819.4","3767","10567","-75"
"824.25","3767","10567","-75"
"829.1","3767","10567","-75"
"833.95","3767","10567","-75"
"838.8","3819","10585","-37"
"843.65","3819","10585","-37"
"848.5","3819","10585","-37"
"853.35","3819","10585","-37"
"858.2","3819","10585","-37"
"863.05","3819","10585","-37"
"867.9","3819","10585","-37"
"872.75","3819","10585","-37"
"877.6","3819","10585","-37"
"882.45","3819","10585","-37"
"887.3","3819","10585","-37"
"892.15","3738","10514","-32"
"897","3738","10514","-32"
"904.95","3738","10514","-32"
"909.9","3738","10514","-32"
"914.85","3738","10514","-32"
"919.8","3738","10514","-32"
"924.75","3738","10514","-32"
"929.7","3738","10514","-32"
"934.65","3738","10514","-32"
"939.6","3738","10514","-32"
"944.55","3738","10514","-32"
"949.5","3738","10514","-32"
"954.45","3769","10559","-113"
"959.4","3769","10559","-113"
"964.35","3769","10559","-113"
"969.3","3769","10559","-113"
"974.25","3769","10559","-113"
"979.2","3769","10559","-113"
"984.15","3769","10559","-113"
"989.1","3769","10559","-113"
"994.05","3769","10559","-113"
"999","3769","10559","-113"
"1004.9","3857","10669","-97"
"1009.8","3857","10669","-97"
"1014.7","3857","10669","-97"
"1019.6","3857","10669","-97"
"1024.5","3857","10669","-97"
"1029.4","3857","10669","-97"
"1034.3","3857","10669","-97"
"1039.2","3857","10669","-97"
"1044.1","3857","10669","-97"
"1049","3857","10669","-97"
"1053.9","3857","10669","-97"
"1058.8","3857","10669","-97"
"1063.7","3820","10559","22"
"1068.6","3820","10559","22"
"1073.5","3820","10559","22"
"1078.4","3820","10559","22"
"1083.3","3820","10559","22"
"1088.2","3820","10559","22"
