Timer,X,Y,Z
"0.22","3028","2684","665"
"0.44","3028","2684","665"
"0.66","3028","2684","665"
"0.88","3028","2684","665"
"1.1","3028","2684","665"
"1.32","3028","2684","665"
"1.54","3028","2684","665"
"1.76","3028","2684","665"
"1.98","3028","2684","665"
"2.2","3028","2684","665"
"2.42","3028","2684","665"
"2.64","3028","2684","665"
"2.86","3028","2684","665"
"3.08","3028","2684","665"
"3.3","3028","2684","665"
"3.52","3028","2684","665"
"3.74","3028","2684","665"
"3.96","3028","2684","665"
"4.18","3028","2684","665"
"4.4","3028","2684","665"
"4.62","3028","2684","665"
"4.84","3028","2684","665"
"5.06","3028","2684","665"
"5.28","3028","2684","665"
"5.5","3028","2684","665"
"5.72","3028","2684","665"
"5.94","3028","2684","665"
"6.16","3028","2684","665"
"6.38","3028","2684","665"
"6.6","3028","2684","665"
"6.82","3028","2684","665"
"7.04","3028","2684","665"
"7.26","3028","2684","665"
"7.48","3028","2684","665"
"7.7","3028","2684","665"
"7.92","3028","2684","665"
"8.14","3028","2684","665"
"8.36","3028","2684","665"
"8.58","3028","2684","665"
"8.8","3028","2684","665"
"9.02","3028","2684","665"
"9.24","3028","2684","665"
"9.46","3028","2684","665"
"9.68","3028","2684","665"
"9.9","3028","2684","665"
"10.12","3028","2684","665"
"10.34","3028","2684","665"
"10.56","3028","2684","665"
"10.78","3028","2684","665"
"11","3028","2684","665"
"11.22","3028","2684","665"
"11.44","3028","2684","665"
"11.66","3028","2684","665"
"11.88","3028","2684","665"
"12.1","3028","2684","665"
"12.32","3028","2684","665"
"12.54","3028","2684","665"
"12.76","3028","2684","665"
"12.98","3028","2684","665"
"13.2","3028","2684","665"
"13.42","3028","2684","665"
"13.64","3028","2684","665"
"13.86","3028","2684","665"
"14.08","3028","2684","665"
"14.3","3028","2684","665"
"14.52","3028","2684","665"
"14.74","3028","2684","665"
"14.96","3028","2684","665"
"15.18","3028","2684","665"
"15.4","3028","2684","665"
"15.62","3028","2684","665"
"15.84","3028","2684","665"
"16.06","3028","2684","665"
"16.28","3028","2684","665"
"16.5","3028","2684","665"
"16.72","3028","2684","665"
"16.94","3028","2684","665"
"17.16","3028","2684","665"
"17.38","3028","2684","665"
"17.6","3028","2684","665"
"17.82","3028","2684","665"
"18.04","3028","2684","665"
"18.26","3028","2684","665"
"18.48","3028","2684","665"
"18.7","3028","2684","665"
"18.92","3028","2684","665"
