Timer,AX,AY,AZ,GX,GY,GZ,A
"0.12437","73","33","-5","6","-5","9","178.25"
"0.24874","102","12","-25","6","-5","9","178.25"
"0.37312","102","12","-25","-5","-13","9","178.1875"
"0.49749","127","-70","-36","-5","-13","9","178.1875"
"0.62186","127","-70","-36","-21","-12","10","178.125"
"0.74623","115","-51","-2","-21","-12","10","178.125"
"0.8706","115","-51","-2","-35","4","9","178.0625"
"0.99497","62","1","-25","-35","4","9","178.0625"
"1.11935","62","1","-25","-6","15","10","178"
"1.24372","111","-3","-8","-6","15","10","178"
"1.36809","111","-3","-8","20","16","9","177.9375"
"1.49246","120","-73","-20","20","16","9","177.9375"
"1.61683","120","-73","-20","-18","16","9","177.875"
"1.74121","79","-86","-43","-18","16","9","177.875"
"1.86558","79","-86","-43","-38","27","9","177.8125"
"1.98995","57","-57","-43","-38","27","9","177.8125"
"2.11432","57","-57","-43","-14","38","10","177.75"
"2.23869","20","-36","-13","-14","38","10","177.75"
"2.36307","20","-36","-13","4","41","10","177.6875"
"2.48744","38","28","-37","4","41","10","177.6875"
"2.61181","38","28","-37","4","27","10","177.625"
"2.73618","51","82","-23","4","27","10","177.625"
"2.86055","51","82","-23","30","28","10","177.5625"
"2.98492","92","-22","-21","30","28","10","177.5625"
"3.1093","92","-22","-21","-3","26","10","177.5"
"3.23367","54","-54","-21","-3","26","10","177.5"
"3.35804","54","-54","-21","-47","23","10","177.4375"
"3.48241","21","-36","-23","-47","23","10","177.4375"
"3.60678","21","-36","-23","-23","36","10","177.375"
"3.73116","31","-35","-30","-23","36","10","177.375"
"3.85553","31","-35","-30","-5","30","10","177.3125"
"3.9799","26","17","-43","-5","30","10","177.3125"
"4.10427","26","17","-43","-7","33","10","177.25"
"4.22864","-20","30","-56","-7","33","10","177.25"
"4.35302","-20","30","-56","6","23","10","177.1875"
"4.47739","32","9","-19","6","23","10","177.1875"
"4.60176","32","9","-19","-11","14","10","177.125"
"4.72613","-35","-50","-51","-11","14","10","177.125"
"4.8505","-35","-50","-51","-17","14","9","177.0625"
"4.97487","-15","-9","-62","-17","14","9","177.0625"
