Timer,AX,AY,AZ,GX,GY,GZ,A
"0.09252","0","-2","-26","2","1","-1","272.9375"
"0.18505","0","0","-24","2","1","-1","272.9375"
"0.27757","0","0","-24","1","2","-1","272.9375"
"0.37009","0","0","-24","1","2","-1","272.9375"
"0.46262","0","0","-24","-1","2","-1","272.9375"
"0.55514","0","0","-24","-1","2","-1","272.9375"
"0.64766","0","0","-24","2","2","-1","272.9375"
"0.74019","0","0","-24","2","2","-1","272.9375"
"0.83271","0","0","-24","1","-1","-1","272.9375"
"0.92523","-2","1","-27","1","-1","-1","272.9375"
"1.01776","-2","1","-27","0","-2","-1","272.9375"
"1.11028","-2","0","-25","0","-2","-1","272.9375"
"1.2028","-2","0","-25","0","-1","-1","272.9375"
"1.29533","-2","0","-25","0","-1","-1","272.9375"
"1.38785","-2","0","-25","0","-1","-1","272.9375"
"1.48037","0","2","-26","0","-1","-1","272.9375"
"1.5729","0","2","-26","0","-1","-1","272.9375"
"1.66542","0","2","-26","0","-1","-1","272.9375"
"1.75794","0","2","-26","0","-3","-1","272.9375"
"1.85047","-1","1","-27","0","-3","-1","272.9375"
"1.94299","-1","1","-27","1","1","-1","272.9375"
"2.03551","-2","0","-26","1","1","-1","272.9375"
"2.12804","-2","0","-26","1","-1","-1","272.9375"
"2.22056","-2","0","-26","1","-1","-1","272.9375"
"2.31308","-2","0","-26","1","-1","-1","272.9375"
"2.40561","0","0","-27","1","-1","-1","272.9375"
"2.49813","0","0","-27","1","-2","-1","272.9375"
"2.59065","0","0","-27","1","-2","-1","272.9375"
"2.68318","0","0","-27","-1","1","-1","272.9375"
"2.7757","0","0","-26","-1","1","-1","272.9375"
"2.86822","0","0","-26","0","1","-1","272.9375"
"2.96075","1","0","-23","0","1","-1","272.9375"
"3.05327","1","0","-23","2","1","-1","272.9375"
"3.14579","1","0","-23","2","1","-1","272.9375"
"3.23832","1","0","-23","0","-1","-1","272.9375"
"3.33084","1","1","-23","0","-1","-1","272.9375"
"3.42336","1","1","-23","-1","0","-1","272.9375"
