Timer,X,Y,Z
"5.875","3542","4365","3998"
"11.75","3542","4365","3998"
"17.625","3542","4365","3998"
"23.5","3542","4365","3998"
"29.375","3542","4365","3998"
"35.25","3542","4365","3998"
"41.125","3542","4365","3998"
"47","3542","4365","3998"
"52.875","3542","4365","3998"
"58.75","3542","4365","3998"
"64.625","3542","4365","3998"
"70.5","3561","4649","1109"
"76.375","3561","4649","1109"
"82.25","3561","4649","1109"
"88.125","3561","4649","1109"
"94","3561","4649","1109"
"104.65","3561","4649","1109"
"109.3","3561","4649","1109"
"113.95","3561","4649","1109"
"118.6","3561","4649","1109"
"123.25","3561","4649","1109"
"127.9","3561","4649","1109"
"132.55","3613","4663","1081"
"137.2","3613","4663","1081"
"141.85","3613","4663","1081"
"146.5","3613","4663","1081"
"151.15","3613","4663","1081"
"155.8","3613","4663","1081"
"160.45","3613","4663","1081"
"165.1","3613","4663","1081"
"169.75","3613","4663","1081"
"174.4","3613","4663","1081"
"179.05","3613","4663","1081"
"183.7","3613","4663","1081"
"188.35","3666","4663","1277"
"193","3666","4663","1277"
"204.71429","3666","4663","1277"
"209.42857","3666","4663","1277"
"214.14286","3666","4663","1277"
"218.85714","3666","4663","1277"
"223.57143","3666","4663","1277"
"228.28571","3666","4663","1277"
"233","3666","4663","1277"
"237.71429","3666","4663","1277"
"242.42857","3666","4663","1277"
"247.14286","3666","4663","1277"
"251.85714","3574","4644","1457"
"256.57143","3574","4644","1457"
"261.28571","3574","4644","1457"
"266","3574","4644","1457"
"270.71429","3574","4644","1457"
"275.42857","3574","4644","1457"
"280.14286","3574","4644","1457"
"284.85714","3574","4644","1457"
"289.57143","3574","4644","1457"
"294.28571","3574","4644","1457"
"299","3574","4644","1457"
"304.85","3574","4644","1457"
"309.7","3574","4644","1457"
"314.55","3574","4644","1457"
"319.4","3600","4397","3802"
"324.25","3600","4397","3802"
"329.1","3600","4397","3802"
"333.95","3600","4397","3802"
"338.8","3600","4397","3802"
"343.65","3600","4397","3802"
"348.5","3600","4397","3802"
"353.35","3600","4397","3802"
"358.2","3600","4397","3802"
"363.05","3600","4397","3802"
"367.9","3600","4397","3802"
"372.75","3502","4329","4015"
"377.6","3502","4329","4015"
"382.45","3502","4329","4015"
"387.3","3502","4329","4015"
"392.15","3502","4329","4015"
"397","3502","4329","4015"
"404.63158","3502","4329","4015"
"409.26316","3502","4329","4015"
"413.89474","3502","4329","4015"
"418.52632","3502","4329","4015"
"423.15789","3502","4329","4015"
"427.78947","3502","4329","4015"
"432.42105","3502","4329","4015"
"437.05263","3669","4686","1201"
"441.68421","3669","4686","1201"
"446.31579","3669","4686","1201"
"450.94737","3669","4686","1201"
"455.57895","3669","4686","1201"
"460.21053","3669","4686","1201"
"464.84211","3669","4686","1201"
"469.47368","3669","4686","1201"
"474.10526","3669","4686","1201"
"478.73684","3669","4686","1201"
"483.36842","3669","4686","1201"
"488","3669","4686","1201"
"504.45455","3640","4699","1050"
"508.90909","3640","4699","1050"
"513.36364","3640","4699","1050"
"517.81818","3640","4699","1050"
"522.27273","3640","4699","1050"
"526.72727","3640","4699","1050"
"531.18182","3640","4699","1050"
"535.63636","3640","4699","1050"
"540.09091","3640","4699","1050"
"544.54545","3640","4699","1050"
"549","3640","4699","1050"
"553.45455","3640","4699","1050"
"557.90909","3616","4692","1198"
"562.36364","3616","4692","1198"
"566.81818","3616","4692","1198"
"571.27273","3616","4692","1198"
"575.72727","3616","4692","1198"
"580.18182","3616","4692","1198"
"584.63636","3616","4692","1198"
"589.09091","3616","4692","1198"
"593.54545","3616","4692","1198"
"598","3616","4692","1198"
"604.85","3616","4692","1198"
"609.7","3616","4692","1198"
"614.55","3693","4700","1131"
"619.4","3693","4700","1131"
"624.25","3693","4700","1131"
"629.1","3693","4700","1131"
"633.95","3693","4700","1131"
"638.8","3693","4700","1131"
"643.65","3693","4700","1131"
"648.5","3693","4700","1131"
"653.35","3693","4700","1131"
"658.2","3693","4700","1131"
"663.05","3693","4700","1131"
"667.9","3693","4700","1131"
"672.75","3653","4697","1167"
"677.6","3653","4697","1167"
"682.45","3653","4697","1167"
"687.3","3653","4697","1167"
"692.15","3653","4697","1167"
"697","3653","4697","1167"
"704.95","3653","4697","1167"
