Timer,AX,AY,AZ,GX,GY,GZ,A
"0","-8","-7","-26","0","-2","1","359.0625"
"0","-5","0","-26","0","-2","1","359.0625"
"0","-5","0","-26","3","-3","1","359.0625"
"0","-7","1","-25","3","-3","1","359.0625"
"0","-7","1","-25","-1","-3","1","359.0625"
"0.11176","-15","11","-39","-1","-3","1","359.0625"
"0.22353","-15","11","-39","3","-3","1","359.0625"
"0.33529","-10","8","-33","3","-3","1","359.0625"
"0.44706","-10","8","-33","4","-3","1","359.0625"
"0.55882","0","-2","-25","4","-3","1","359.0625"
"0.67059","0","-2","-25","-4","-5","1","359.0625"
"0.78235","-2","10","-24","-4","-5","1","359.0625"
"0.89412","-2","10","-24","-3","-4","1","359.0625"
"1.00588","0","16","-27","-3","-4","1","359.0625"
"1.11765","0","16","-27","2","-3","1","359.0625"
"1.22941","-3","-1","-35","2","-3","1","359.0625"
"1.34118","-3","-1","-35","-4","-4","1","359.0625"
"1.45294","1","-11","-24","-4","-4","1","359.0625"
"1.56471","1","-11","-24","-4","-4","1","359.0625"
"1.67647","4","6","-18","-4","-4","1","359.0625"
"1.78824","4","6","-18","6","-3","1","359.0625"
"1.9","-4","-1","-26","6","-3","1","359.0625"
"2.01176","-4","-1","-26","1","0","1","359.0625"
"2.12353","0","-25","-22","1","0","1","359.0625"
"2.23529","0","-25","-22","-7","1","1","359.0625"
"2.34706","0","-7","-28","-7","1","1","359.0625"
"2.45882","0","-7","-28","3","-1","1","359.0625"
"2.57059","-1","3","-26","3","-1","1","359.0625"
"2.68235","-1","3","-26","9","7","1","359.0625"
"2.79412","-10","-9","-28","9","7","1","359.0625"
"2.90588","-10","-9","-28","0","5","1","359.0625"
"3.01765","-11","-11","-30","0","5","1","359.0625"
"3.12941","-11","-11","-30","-6","3","1","359.0625"
"3.24118","-4","3","-30","-6","3","1","359.0625"
"3.35294","-4","3","-30","4","-2","1","359.0625"
"3.46471","-12","6","-32","4","-2","1","359.0625"
"3.57647","-12","6","-32","6","3","1","359.0625"
"3.68824","-10","1","-25","6","3","1","359.0625"
"3.8","-10","1","-25","-1","0","1","359.0625"
"3.91176","-6","14","-30","-1","0","1","359.0625"
"4.02353","-6","14","-30","6","-1","1","359.0625"
"4.13529","-1","11","-31","6","-1","1","359.0625"
"4.24706","-1","11","-31","1","-1","1","359.0625"
"4.35882","-2","-2","-29","1","-1","1","359.0625"
"4.47059","-2","-2","-29","-4","1","1","359.0625"
"4.58235","-1","4","-30","-4","1","1","359.0625"
"4.69412","-1","4","-30","-1","-1","1","359.0625"
"4.80588","-1","9","-26","-1","-1","1","359.0625"
"4.91765","-1","9","-26","4","-2","1","359.0625"
"5.02941","-2","0","-28","4","-2","1","359.0625"
"5.14118","-2","0","-28","-6","-3","1","359.0625"
"5.25294","-1","-12","-31","-6","-3","1","359.0625"
"5.36471","-1","-12","-31","-7","-2","1","359.0625"
"5.47647","-1","-9","-26","-7","-2","1","359.0625"
"5.58824","-1","-9","-26","-1","2","1","359.0625"
"5.7","-4","-13","-21","-1","2","1","359.0625"
"5.81176","-4","-13","-21","-2","1","1","359.0625"
"5.92353","-2","-17","-24","-2","1","1","359.0625"
"6.03529","-2","-17","-24","-2","2","1","359.0625"
"6.14706","-5","-5","-29","-2","2","1","359.0625"
"6.25882","-5","-5","-29","1","0","1","359.0625"
"6.37059","-3","-1","-27","1","0","1","359.0625"
"6.48235","-3","-1","-27","5","1","1","359.0625"
"6.59412","-3","-8","-24","5","1","1","359.0625"
"6.70588","-3","-8","-24","1","1","1","359.0625"
"6.81765","-4","-12","-24","1","1","1","359.0625"
"6.92941","-4","-12","-24","1","-2","1","359.0625"
"7.04118","-5","0","-28","1","-2","1","359.0625"
"7.15294","-5","0","-28","1","4","1","359.0625"
"7.26471","-10","15","-35","1","4","1","359.0625"
"7.37647","-10","15","-35","4","1","1","359.0625"
"7.48824","1","-4","-19","4","1","1","359.0625"
"7.6","1","-4","-19","-3","3","1","359.0625"
"7.71176","-11","-10","-25","-3","3","1","359.0625"
"7.82353","-11","-10","-25","-6","3","1","359.0625"
"7.93529","-12","1","-30","-6","3","1","359.0625"
"8.04706","-12","1","-30","-1","5","1","359.0625"
"8.15882","-7","9","-31","-1","5","1","359.0625"
"8.27059","-7","9","-31","4","2","1","359.0625"
"8.38235","-10","-5","-28","4","2","1","359.0625"
"8.49412","-10","-5","-28","1","2","1","359.0625"
"8.60588","0","-5","-19","1","2","1","359.0625"
"8.71765","0","-5","-19","-5","1","1","359.0625"
"8.82941","-4","5","-24","-5","1","1","359.0625"
"8.94118","-4","5","-24","2","1","1","359.0625"
"9.05294","-5","-23","-27","2","1","1","359.0625"
"9.16471","-5","-23","-27","-4","4","1","359.0625"
"9.27647","-1","-23","-24","-4","4","1","359.0625"
"9.38824","-1","-23","-24","-7","1","1","359.0625"
"9.5","0","10","-28","-7","1","1","359.0625"
"9.61176","0","10","-28","7","-1","1","359.0625"
"9.72353","2","13","-29","7","-1","1","359.0625"
"9.83529","2","13","-29","3","-1","1","359.0625"
"9.94706","0","-29","-26","3","-1","1","359.0625"
"10.05882","0","-29","-26","-11","1","1","359.0625"
"10.17059","-1","-1","-30","-11","1","1","359.0625"
"10.28235","-1","-1","-30","2","0","1","359.0625"
"10.39412","0","18","-30","2","0","1","359.0625"
"10.50588","0","18","-30","8","0","1","359.0625"
"10.61765","-3","-21","-23","8","0","1","359.0625"
"10.72941","-3","-21","-23","-1","-1","1","359.0625"
"10.84118","-7","-7","-30","-1","-1","1","359.0625"
"10.95294","-7","-7","-30","-1","1","1","359.0625"
"11.06471","-6","8","-28","-1","1","1","359.0625"
"11.17647","-6","8","-28","6","2","1","359.0625"
"11.28824","-12","-4","-31","6","2","1","359.0625"
"11.4","-12","-4","-31","1","2","1","359.0625"
"11.51176","-10","0","-26","1","2","1","359.0625"
"11.62353","-10","0","-26","1","1","1","359.0625"
"11.73529","-11","1","-29","1","1","1","359.0625"
