Timer,AX,AY,AZ,GX,GY,GZ,A
"0.12532","76","117","-46","-170","-42","3","170625"
"0.25063","76","117","-46","91","-13","4","1705625"
"0.37595","125","63","-36","91","-13","4","1705625"
"0.50127","125","63","-36","93","-4","4","1705625"
"0.62658","145","-72","35","93","-4","4","1705625"
"0.7519","145","-72","35","-42","-6","3","1705625"
"0.87722","145","-72","35","-42","-6","3","1705625"
"1.00253","145","-72","35","-42","-6","3","1705625"
"1.12785","209","-162","100","-42","-6","3","1705625"
"1.25316","209","-162","100","-53","4","4","1705"
"1.37848","-29","-180","-87","-53","4","4","1705"
"1.5038","-29","-180","-87","-30","43","5","1704375"
"1.62911","-64","200","-188","-30","43","5","1704375"
"1.75443","-64","200","-188","79","24","5","1704375"
"1.87975","-66","-91","-77","79","24","5","1704375"
"2.00506","-66","-91","-77","25","-5","4","170375"
"2.13038","-66","-91","-77","25","-5","4","170375"
"2.2557","-66","-91","-77","25","-5","4","170375"
"2.38101","209","-450","353","25","-5","4","170375"
"2.50633","209","-450","353","-151","-33","2","170375"
"2.63165","547","608","19","-151","-33","2","170375"
"2.75696","547","608","19","193","62","7","1703125"
"2.88228","-40","244","-380","193","62","7","1703125"
"3.00759","-40","244","-380","132","69","6","17025"
"3.13291","-126","-1288","204","132","69","6","17025"
"3.25823","-126","-1288","204","-413","172","5","17025"
"3.38354","-126","-1288","204","-413","172","5","17025"
"3.50886","-126","-1288","204","-413","172","5","17025"
"3.63418","-62","-168","35","-413","172","5","17025"
"3.75949","-62","-168","35","-286","76","4","1701875"
"3.88481","233","272","-45","-286","76","4","1701875"
"4.01013","233","272","-45","272","50","2","170125"
"4.13544","-48","-375","130","272","50","2","170125"
"4.26076","-48","-375","130","-181","29","2","170125"
"4.38608","-201","-157","-61","-181","29","2","170125"
"4.51139","-201","-157","-61","-59","96","2","170125"
"4.63671","-201","-157","-61","-59","96","2","170125"
"4.76203","-201","-157","-61","-59","96","2","170125"
"4.88734","-152","51","-139","-59","96","2","170125"
"5.01266","-152","51","-139","89","77","3","170125"
"5.13797","-11","-30","9","89","77","3","170125"
"5.26329","-11","-30","9","22","-9","3","1700625"
"5.38861","125","-101","101","22","-9","3","1700625"
"5.51392","125","-101","101","-43","-67","4","1700625"
"5.63924","429","-149","146","-43","-67","4","1700625"
"5.76456","429","-149","146","-47","-98","5","170"
"5.88987","429","-149","146","-47","-98","5","170"
"6.01519","429","-149","146","-47","-98","5","170"
"6.14051","222","54","88","-47","-98","5","170"
"6.26582","222","54","88","4","-18","4","170"
"6.39114","197","-380","105","4","-18","4","170"
"6.51646","197","-380","105","-114","-5","3","1699375"
"6.64177","153","53","-30","-114","-5","3","1699375"
"6.76709","153","53","-30","-39","-25","2","1699375"
"6.89241","-76","147","-169","-39","-25","2","1699375"
"7.01772","-76","147","-169","144","-5","2","1699375"
"7.14304","-76","147","-169","144","-5","2","1699375"
"7.26835","-76","147","-169","144","-5","2","1699375"
"7.39367","239","-63","23","144","-5","2","1699375"
"7.51899","239","-63","23","31","7","1","169875"
"7.6443","110","-105","-36","31","7","1","169875"
"7.76962","110","-105","-36","-46","6","2","169875"
"7.89494","126","68","30","-46","6","2","169875"
"8.02025","126","68","30","83","50","1","169875"
"8.14557","-63","7","-117","83","50","1","169875"
"8.27089","-63","7","-117","69","55","1","169875"
"8.3962","-63","7","-117","69","55","1","169875"
"8.52152","-63","7","-117","69","55","1","169875"
"8.64684","76","-204","-22","69","55","1","169875"
"8.77215","76","-204","-22","-61","40","1","169875"
"8.89747","1","-36","-84","-61","40","1","169875"
"9.02278","1","-36","-84","46","45","1","169875"
"9.1481","-71","-63","-60","46","45","1","169875"
"9.27342","-71","-63","-60","34","41","1","1698125"
"9.39873","70","-94","24","34","41","1","1698125"
"9.52405","70","-94","24","-2","36","1","1698125"
"9.64937","158","-65","21","-2","36","1","1698125"
"9.77468","158","-65","21","-4","0","1","1698125"
"9.9","69","-8","-47","-4","0","1","1698125"
"10.02532","69","-8","-47","23","17","1","1698125"
"10.15063","-1","-219","-44","23","17","1","1698125"
"10.27595","-1","-219","-44","-17","28","1","1698125"
"10.40127","7","-220","-44","-17","28","1","1698125"
"10.52658","7","-220","-44","-49","26","1","1698125"
"10.6519","31","-79","-39","-49","26","1","1698125"
"10.77722","31","-79","-39","28","15","1","1698125"
"10.90253","31","-79","-39","28","15","1","1698125"
"11.02785","31","-79","-39","28","15","1","1698125"
"11.15316","116","21","-29","28","15","1","1698125"
"11.27848","116","21","-29","32","-2","1","1698125"
"11.4038","145","-126","6","32","-2","1","1698125"
"11.52911","145","-126","6","-29","6","1","1698125"
"11.65443","0","-52","-16","-29","6","1","1698125"
"11.77975","0","-52","-16","-28","21","1","1698125"
"11.90506","-1","3","-41","-28","21","1","1698125"
"12.03038","-1","3","-41","25","29","2","1698125"
"12.1557","-1","3","-41","25","29","2","1698125"
"12.28101","-1","3","-41","25","29","2","1698125"
"12.40633","22","-64","-66","25","29","2","1698125"
"12.53165","22","-64","-66","-44","5","1","16975"
"12.65696","19","-96","4","-44","5","1","16975"
"12.78228","19","-96","4","-23","-1","1","16975"
"12.90759","49","-120","-4","-23","-1","1","16975"
"13.03291","49","-120","-4","13","7","1","16975"
"13.15823","49","-108","-36","13","7","1","16975"
"13.28354","49","-108","-36","-7","-3","1","16975"
"13.40886","-200","-137","-64","-7","-3","1","16975"
"13.53418","-200","-137","-64","-17","-11","1","16975"
