Timer,AX,AY,AZ,GX,GY,GZ,A
"6.125","-23","5","-20","4","-1","2","268125"
"12.25","-23","5","-20","-7","3","1","2680625"
"18.375","-38","-8","-33","-7","3","1","2680625"
"24.5","-38","-8","-33","6","2","1","2680625"
"30.625","-38","-8","-33","6","2","1","2680625"
"36.75","-38","-8","-33","1","1","1","2680625"
"42.875","-9","19","-18","1","1","1","2680625"
"49","-9","19","-18","6","-6","1","2680625"
"55.125","-10","-2","-22","6","-6","1","2680625"
"61.25","-10","-2","-22","11","-8","2","2680625"
"67.375","-15","16","-33","11","-8","2","2680625"
"73.5","-15","16","-33","-2","-7","2","268"
"79.625","2","13","-27","-2","-7","2","268"
"85.75","2","13","-27","0","-3","3","268"
"91.875","2","13","-27","0","-3","3","268"
"98","2","13","-27","5","-7","2","268"
"105.16667","11","-2","-19","5","-7","2","268"
"110.33333","11","-2","-19","-3","-3","3","268"
"115.5","19","24","-13","-3","-3","3","268"
"120.66667","19","24","-13","2","-5","3","2679375"
"125.83333","7","16","-25","2","-5","3","2679375"
"131","7","16","-25","-1","2","2","2679375"
"136.16667","13","27","-34","-1","2","2","2679375"
"141.33333","13","27","-34","-6","2","2","2679375"
"146.5","13","27","-34","-6","2","2","2679375"
"151.66667","13","27","-34","-2","2","2","2679375"
"156.83333","3","1","-31","-2","2","2","2679375"
"162","3","1","-31","-9","0","1","267875"
"167.16667","47","13","-12","-9","0","1","267875"
"172.33333","47","13","-12","-2","2","1","267875"
"177.5","41","1","-9","-2","2","1","267875"
"182.66667","41","1","-9","5","-5","1","267875"
"187.83333","16","15","-25","5","-5","1","267875"
"193","16","15","-25","1","1","1","267875"
"200","16","15","-25","1","1","1","267875"
"204.71429","16","15","-25","0","4","1","267875"
"209.42857","-1","15","-27","0","4","1","267875"
"214.14286","-1","15","-27","3","8","1","267875"
"218.85714","-15","23","-31","3","8","1","267875"
"223.57143","-15","23","-31","0","10","1","267875"
"228.28571","-17","9","-30","0","10","1","267875"
"233","-17","9","-30","1","8","-1","2679375"
"237.71429","-23","-2","-32","1","8","-1","2679375"
"242.42857","-23","-2","-32","-4","9","-1","2679375"
"247.14286","-23","-2","-32","-4","9","-1","2679375"
"251.85714","-23","-2","-32","-6","6","-1","2679375"
"256.57143","7","-3","-21","-6","6","-1","2679375"
"261.28571","7","-3","-21","1","2","-1","2679375"
"266","6","4","-28","1","2","-1","2679375"
"270.71429","6","4","-28","-2","-2","-1","2679375"
"275.42857","19","16","-24","-2","-2","-1","2679375"
"280.14286","19","16","-24","-3","-6","-1","2679375"
"284.85714","40","-8","-8","-3","-6","-1","2679375"
"289.57143","40","-8","-8","0","-5","-1","2679375"
"294.28571","40","-8","-8","0","-5","-1","2679375"
"299","40","-8","-8","-9","-5","-1","268"
"305.10526","32","-6","-15","-9","-5","-1","268"
"310.21053","32","-6","-15","-8","4","-1","268"
"315.31579","3","-5","-30","-8","4","-1","268"
"320.42105","3","-5","-30","-4","7","-1","268"
"325.52632","9","-8","-24","-4","7","-1","268"
"330.63158","9","-8","-24","-2","11","-1","268"
"335.73684","9","-8","-24","-2","11","-1","268"
"340.84211","9","-8","-24","-3","7","-1","268"
"345.94737","4","10","-20","-3","7","-1","268"
"351.05263","4","10","-20","1","11","-1","268"
"356.15789","3","1","-22","1","11","-1","268"
"361.26316","3","1","-22","-4","10","-2","2680625"
"366.36842","2","14","-32","-4","10","-2","2680625"
"371.47368","2","14","-32","-2","4","-2","2680625"
"376.57895","2","14","-32","-2","4","-2","2680625"
"381.68421","2","14","-32","4","3","-2","2680625"
"386.78947","-3","16","-29","4","3","-2","2680625"
"391.89474","-3","16","-29","-2","3","-2","2680625"
"397","-3","16","-29","-2","3","-2","2680625"
"405","-3","16","-29","2","5","-2","268125"
"410","13","5","-20","2","5","-2","268125"
"415","13","5","-20","-2","1","-3","268125"
"420","19","23","-15","-2","1","-3","268125"
"425","19","23","-15","1","2","-3","268125"
"430","-2","10","-25","1","2","-3","268125"
"435","-2","10","-25","-4","7","-3","2681875"
"440","11","8","-29","-4","7","-3","2681875"
"445","11","8","-29","-13","4","-3","2681875"
"450","25","18","-7","-13","4","-3","2681875"
"455","25","18","-7","-4","3","-3","2681875"
"460","-6","9","-25","-4","3","-3","2681875"
"465","-6","9","-25","-11","11","-3","26825"
"470","1","-8","-10","-11","11","-3","26825"
"475","1","-8","-10","-11","6","-3","26825"
"480","-21","-15","-29","-11","6","-3","26825"
"485","-21","-15","-29","-1","6","-3","26825"
"490","-27","14","-32","-1","6","-3","26825"
"495","-27","14","-32","-13","11","-4","2683125"
"500","-27","14","-32","-13","11","-4","2683125"
"500","-27","14","-32","-3","8","-4","2683125"
"504.9","-13","7","-21","-3","8","-4","2683125"
"509.8","-13","7","-21","0","5","-4","268375"
"514.7","-39","-25","-39","0","5","-4","268375"
"519.6","-39","-25","-39","-11","6","-4","268375"
"524.5","-22","-30","-31","-11","6","-4","268375"
"529.4","-22","-30","-31","0","-2","-4","268375"
"534.3","13","-14","-7","0","-2","-4","268375"
"539.2","13","-14","-7","6","-7","-4","2684375"
"544.1","-1","-19","-18","6","-7","-4","2684375"
"549","-1","-19","-18","-4","-4","-4","2684375"
"553.9","-12","3","-31","-4","-4","-4","2684375"
"558.8","-12","3","-31","7","-3","-4","2685"
"563.7","13","-21","-26","7","-3","-4","2685"
"568.6","13","-21","-26","4","-5","-3","2685"
"573.5","10","-20","-8","4","-5","-3","2685"
"578.4","10","-20","-8","-10","3","-3","2685"
"583.3","10","-20","-8","-10","3","-3","2685"
"588.2","10","-20","-8","-7","6","-3","2685625"
"593.1","2","19","-24","-7","6","-3","2685625"
"598","2","19","-24","3","14","-2","2685625"
"605.05263","17","-38","-8","3","14","-2","2685625"
"610.10526","17","-38","-8","-12","11","-2","2685625"
