Timer,X,Y,Z
"11","3304","9971","458"
"22","3304","9971","458"
"33","3304","9971","458"
"44","3304","9971","458"
"55","3304","9971","458"
"66","3304","9971","458"
"77","3304","9971","458"
"88","3304","9971","458"
"99","3304","9971","458"
"105.10526","3304","9971","458"
"110.21053","3304","9971","458"
"115.31579","3318","9961","444"
"120.42105","3318","9961","444"
"125.52632","3318","9961","444"
"130.63158","3318","9961","444"
"135.73684","3318","9961","444"
"140.84211","3318","9961","444"
"145.94737","3318","9961","444"
"151.05263","3318","9961","444"
"156.15789","3318","9961","444"
"161.26316","3318","9961","444"
"166.36842","3318","9961","444"
"171.47368","3318","9961","444"
"176.57895","3614","9660","4699"
"181.68421","3614","9660","4699"
"186.78947","3614","9660","4699"
"191.89474","3614","9660","4699"
"197","3614","9660","4699"
"204.84211","3614","9660","4699"
"209.68421","3614","9660","4699"
"214.52632","3614","9660","4699"
"219.36842","3614","9660","4699"
"224.21053","3614","9660","4699"
"229.05263","3614","9660","4699"
"233.89474","3614","9660","4699"
"238.73684","3614","9660","4699"
"243.57895","3595","9643","4939"
"248.42105","3595","9643","4939"
"253.26316","3595","9643","4939"
"258.10526","3595","9643","4939"
"262.94737","3595","9643","4939"
"267.78947","3595","9643","4939"
"272.63158","3595","9643","4939"
"277.47368","3595","9643","4939"
"282.31579","3595","9643","4939"
"287.15789","3595","9643","4939"
"292","3595","9643","4939"
"300","3623","9622","4984"
"300","3623","9622","4984"
"305.15789","3623","9622","4984"
"310.31579","3623","9622","4984"
"315.47368","3623","9622","4984"
"320.63158","3623","9622","4984"
"325.78947","3623","9622","4984"
"330.94737","3623","9622","4984"
"336.10526","3623","9622","4984"
"341.26316","3623","9622","4984"
"346.42105","3623","9622","4984"
"351.57895","3623","9622","4984"
"356.73684","3605","9669","4911"
"361.89474","3605","9669","4911"
"367.05263","3605","9669","4911"
"372.21053","3605","9669","4911"
"377.36842","3605","9669","4911"
"382.52632","3605","9669","4911"
"387.68421","3605","9669","4911"
"392.84211","3605","9669","4911"
"398","3605","9669","4911"
"404.89474","3605","9669","4911"
"409.78947","3605","9669","4911"
"414.68421","3605","9669","4911"
"419.57895","3605","9669","4911"
"424.47368","3326","9909","556"
"429.36842","3326","9909","556"
"434.26316","3326","9909","556"
"439.15789","3326","9909","556"
"444.05263","3326","9909","556"
"448.94737","3326","9909","556"
"453.84211","3326","9909","556"
"458.73684","3326","9909","556"
"463.63158","3326","9909","556"
"468.52632","3326","9909","556"
"473.42105","3326","9909","556"
"478.31579","3342","9942","534"
"483.21053","3342","9942","534"
"488.10526","3342","9942","534"
"493","3342","9942","534"
"504.71429","3342","9942","534"
"509.42857","3342","9942","534"
"514.14286","3342","9942","534"
"518.85714","3342","9942","534"
"523.57143","3342","9942","534"
"528.28571","3342","9942","534"
"533","3342","9942","534"
"537.71429","3342","9942","534"
"542.42857","3342","9942","534"
"547.14286","3342","9942","534"
"551.85714","2961","10087","2077"
"556.57143","2961","10087","2077"
"561.28571","2961","10087","2077"
"566","2961","10087","2077"
"570.71429","2961","10087","2077"
"575.42857","2961","10087","2077"
"580.14286","2961","10087","2077"
"584.85714","2961","10087","2077"
"589.57143","2961","10087","2077"
"594.28571","2961","10087","2077"
"599","2961","10087","2077"
"604.89474","2961","10087","2077"
"609.78947","3566","9599","4854"
"614.68421","3566","9599","4854"
"619.57895","3566","9599","4854"
"624.47368","3566","9599","4854"
"629.36842","3566","9599","4854"
"634.26316","3566","9599","4854"
"639.15789","3566","9599","4854"
"644.05263","3566","9599","4854"
"648.94737","3566","9599","4854"
"653.84211","3566","9599","4854"
"658.73684","3566","9599","4854"
"663.63158","3566","9599","4854"
"668.52632","3566","9600","4834"
"673.42105","3566","9600","4834"
"678.31579","3566","9600","4834"
"683.21053","3566","9600","4834"
"688.10526","3566","9600","4834"
"693","3566","9600","4834"
"704.71429","3566","9600","4834"
"709.42857","3566","9600","4834"
"714.14286","3566","9600","4834"
"718.85714","3566","9600","4834"
"723.57143","3566","9600","4834"
"728.28571","3566","9600","4834"
"733","3568","9619","4807"
"737.71429","3568","9619","4807"
"742.42857","3568","9619","4807"
"747.14286","3568","9619","4807"
"751.85714","3568","9619","4807"
"756.57143","3568","9619","4807"
"761.28571","3568","9619","4807"
"766","3568","9619","4807"
"770.71429","3568","9619","4807"
"775.42857","3568","9619","4807"
"780.14286","3568","9619","4807"
"784.85714","3568","9619","4807"
"789.57143","3570","9637","4807"
"794.28571","3570","9637","4807"
"799","3570","9637","4807"
"804.89474","3570","9637","4807"
"809.78947","3570","9637","4807"
"814.68421","3570","9637","4807"
"819.57895","3570","9637","4807"
"824.47368","3570","9637","4807"
"829.36842","3570","9637","4807"
"834.26316","3570","9637","4807"
"839.15789","3570","9637","4807"
"844.05263","3570","9637","4807"
"848.94737","3560","9627","4801"
"853.84211","3560","9627","4801"
"858.73684","3560","9627","4801"
"863.63158","3560","9627","4801"
"868.52632","3560","9627","4801"
"873.42105","3560","9627","4801"
"878.31579","3560","9627","4801"
"883.21053","3560","9627","4801"
"888.10526","3560","9627","4801"
"893","3560","9627","4801"
"904.6","3560","9627","4801"
"909.2","3560","9627","4801"
"913.8","3352","9922","571"
"918.4","3352","9922","571"
"923","3352","9922","571"
"927.6","3352","9922","571"
"932.2","3352","9922","571"
"936.8","3352","9922","571"
"941.4","3352","9922","571"
"946","3352","9922","571"
"950.6","3352","9922","571"
"955.2","3352","9922","571"
"959.8","3352","9922","571"
"964.4","3352","9922","571"
"969","3352","9922","571"
"973.6","3367","9916","501"
"978.2","3367","9916","501"
"982.8","3367","9916","501"
"987.4","3367","9916","501"
"992","3367","9916","501"
"1000","3367","9916","501"
"1004.94737","3367","9916","501"
"1009.89474","3367","9916","501"
"1014.84211","3367","9916","501"
"1019.78947","3367","9916","501"
"1024.73684","3367","9916","501"
"1029.68421","3317","9900","530"
"1034.63158","3317","9900","530"
"1039.57895","3317","9900","530"
"1044.52632","3317","9900","530"
"1049.47368","3317","9900","530"
"1054.42105","3317","9900","530"
"1059.36842","3317","9900","530"
"1064.31579","3317","9900","530"
"1069.26316","3317","9900","530"
"1074.21053","3317","9900","530"
"1079.15789","3317","9900","530"
"1084.10526","3317","9900","530"
"1089.05263","3343","9908","510"
"1094","3343","9908","510"
"1104.65","3343","9908","510"
"1109.3","3343","9908","510"
"1113.95","3343","9908","510"
"1118.6","3343","9908","510"
"1123.25","3343","9908","510"
"1127.9","3343","9908","510"
"1132.55","3343","9908","510"
"1137.2","3343","9908","510"
"1141.85","3343","9908","510"
"1146.5","3343","9908","510"
"1151.15","3585","9635","4909"
"1155.8","3585","9635","4909"
"1160.45","3585","9635","4909"
"1165.1","3585","9635","4909"
"1169.75","3585","9635","4909"
"1174.4","3585","9635","4909"
"1179.05","3585","9635","4909"
"1183.7","3585","9635","4909"
"1188.35","3585","9635","4909"
"1193","3585","9635","4909"
"1204.75","3585","9635","4909"
"1209.5","3585","9635","4909"
"1214.25","3583","9622","4886"
"1219","3583","9622","4886"
"1223.75","3583","9622","4886"
"1228.5","3583","9622","4886"
"1233.25","3583","9622","4886"
"1238","3583","9622","4886"
"1242.75","3583","9622","4886"
"1247.5","3583","9622","4886"
"1252.25","3583","9622","4886"
"1257","3583","9622","4886"
"1261.75","3583","9622","4886"
"1266.5","3583","9622","4886"
"1271.25","3551","9625","4764"
"1276","3551","9625","4764"
"1280.75","3551","9625","4764"
"1285.5","3551","9625","4764"
"1290.25","3551","9625","4764"
"1295","3551","9625","4764"
"1304.7","3551","9625","4764"
"1309.4","3551","9625","4764"
"1314.1","3551","9625","4764"
"1318.8","3551","9625","4764"
"1323.5","3551","9625","4764"
"1328.2","3551","9625","4764"
"1332.9","3523","9623","4721"
"1337.6","3523","9623","4721"
"1342.3","3523","9623","4721"
"1347","3523","9623","4721"
"1351.7","3523","9623","4721"
"1356.4","3523","9623","4721"
"1361.1","3523","9623","4721"
"1365.8","3523","9623","4721"
"1370.5","3523","9623","4721"
"1375.2","3523","9623","4721"
"1379.9","3523","9623","4721"
"1384.6","3523","9623","4721"
"1389.3","3351","9902","584"
"1394","3351","9902","584"
"1404.8","3351","9902","584"
"1409.6","3351","9902","584"
"1414.4","3351","9902","584"
"1419.2","3351","9902","584"
"1424","3351","9902","584"
"1428.8","3351","9902","584"
"1433.6","3351","9902","584"
"1438.4","3351","9902","584"
"1443.2","3351","9902","584"
"1448","3351","9902","584"
"1452.8","3351","9902","584"
"1457.6","3608","9654","4863"
"1462.4","3608","9654","4863"
"1467.2","3608","9654","4863"
"1472","3608","9654","4863"
"1476.8","3608","9654","4863"
"1481.6","3608","9654","4863"
"1486.4","3608","9654","4863"
"1491.2","3608","9654","4863"
"1496","3608","9654","4863"
"1504.75","3608","9654","4863"
"1509.5","3608","9654","4863"
"1514.25","3803","10560","-68"
"1519","3803","10560","-68"
"1523.75","3803","10560","-68"
"1528.5","3803","10560","-68"
"1533.25","3803","10560","-68"
"1538","3803","10560","-68"
"1542.75","3803","10560","-68"
"1547.5","3803","10560","-68"
"1552.25","3803","10560","-68"
"1557","3803","10560","-68"
"1561.75","3803","10560","-68"
"1566.5","3803","10560","-68"
"1571.25","3803","10560","-68"
"1576","3575","9643","4787"
"1580.75","3575","9643","4787"
"1585.5","3575","9643","4787"
"1590.25","3575","9643","4787"
"1595","3575","9643","4787"
"1604.65","3575","9643","4787"
"1609.3","3575","9643","4787"
"1613.95","3575","9643","4787"
"1618.6","3575","9643","4787"
"1623.25","3575","9643","4787"
"1627.9","3575","9643","4787"
"1632.55","3575","9643","4787"
"1637.2","3604","9633","4849"
"1641.85","3604","9633","4849"
"1646.5","3604","9633","4849"
"1651.15","3604","9633","4849"
"1655.8","3604","9633","4849"
"1660.45","3604","9633","4849"
"1665.1","3604","9633","4849"
"1669.75","3604","9633","4849"
"1674.4","3604","9633","4849"
"1679.05","3604","9633","4849"
"1683.7","3604","9633","4849"
"1688.35","3398","9962","501"
"1693","3398","9962","501"
"1704.75","3398","9962","501"
"1709.5","3398","9962","501"
"1714.25","3398","9962","501"
"1719","3398","9962","501"
"1723.75","3398","9962","501"
"1728.5","3398","9962","501"
"1733.25","3398","9962","501"
"1738","3398","9962","501"
"1742.75","3398","9962","501"
"1747.5","3398","9962","501"
"1752.25","3344","9931","546"
"1757","3344","9931","546"
"1761.75","3344","9931","546"
"1766.5","3344","9931","546"
"1771.25","3344","9931","546"
"1776","3344","9931","546"
"1780.75","3344","9931","546"
"1785.5","3344","9931","546"
"1790.25","3344","9931","546"
"1795","3344","9931","546"
"1804.7","3344","9931","546"
