Timer,AX,AY,AZ,GX,GY,GZ,A
"5.38889","-2","-9","-24","-2","1","1","26325"
"10.77778","-2","-9","-24","1","-1","1","26325"
"16.16667","0","-5","-24","1","-1","1","26325"
"21.55556","0","-5","-24","-1","-1","1","26325"
"26.94444","-2","-7","-23","-1","-1","1","26325"
"32.33333","-2","-7","-23","3","2","1","26325"
"37.72222","-1","-6","-28","3","2","1","26325"
"43.11111","-1","-6","-28","3","0","1","26325"
"48.5","0","1","-27","3","0","1","26325"
"53.88889","0","1","-27","5","-3","1","26325"
"59.27778","2","-2","-23","5","-3","1","26325"
"64.66667","2","-2","-23","0","-4","1","26325"
"70.05556","-2","3","-24","0","-4","1","26325"
"75.44444","-2","3","-24","0","-1","1","26325"
"80.83333","-6","7","-28","0","-1","1","26325"
"86.22222","-6","7","-28","-2","-1","1","26325"
"91.61111","-1","6","-28","-2","-1","1","26325"
"97","-1","6","-28","-3","-2","1","26325"
"104.8","5","-1","-22","-3","-2","1","26325"
"109.6","5","-1","-22","-1","-1","1","26325"
"114.4","2","7","-21","-1","-1","1","26325"
"119.2","2","7","-21","-2","0","1","26325"
"124","0","2","-25","-2","0","1","26325"
"128.8","0","2","-25","0","-1","1","26325"
"133.6","0","-4","-27","0","-1","1","26325"
"138.4","0","-4","-27","-2","0","1","26325"
"143.2","5","-6","-25","-2","0","1","26325"
"148","5","-6","-25","4","-2","1","26325"
"152.8","5","-5","-27","4","-2","1","26325"
"157.6","5","-5","-27","0","-2","1","26325"
"162.4","7","-3","-18","0","-2","1","26325"
"167.2","7","-3","-18","2","-2","1","26325"
"172","-2","-4","-27","2","-2","1","26325"
"176.8","-2","-4","-27","-4","1","1","26325"
"181.6","-2","-8","-26","-4","1","1","26325"
"186.4","-2","-8","-26","1","-1","1","26325"
"191.2","0","-9","-22","1","-1","1","26325"
"196","0","-9","-22","1","-1","1","26325"
"204.9","-5","1","-28","1","-1","1","26325"
"209.8","-5","1","-28","4","0","1","26325"
"214.7","-4","1","-29","4","0","1","26325"
"219.6","-4","1","-29","2","0","1","26325"
"224.5","1","2","-23","2","0","1","26325"
"229.4","1","2","-23","2","-3","1","26325"
"234.3","5","0","-21","2","-3","1","26325"
"239.2","5","0","-21","-4","-3","1","26325"
"244.1","1","6","-21","-4","-3","1","26325"
"249","1","6","-21","1","-2","1","26325"
"253.9","-1","10","-27","1","-2","1","26325"
"258.8","-1","10","-27","0","3","1","26325"
"263.7","-8","1","-28","0","3","1","26325"
"268.6","-8","1","-28","-1","1","1","26325"
"273.5","0","2","-28","-1","1","1","26325"
"278.4","0","2","-28","1","-2","1","26325"
"283.3","12","7","-15","1","-2","1","26325"
"288.2","12","7","-15","0","-6","1","26325"
"293.1","16","-3","-12","0","-6","1","26325"
"298","16","-3","-12","-4","-2","1","26325"
"304.8","3","-19","-30","-4","-2","1","26325"
"309.6","3","-19","-30","-5","2","1","26325"
"314.4","5","-14","-28","-5","2","1","26325"
"319.2","5","-14","-28","-1","2","1","26325"
"324","11","-9","-18","-1","2","1","26325"
"328.8","11","-9","-18","2","3","1","26325"
"333.6","2","-4","-22","2","3","1","26325"
"338.4","2","-4","-22","-1","5","1","26325"
"343.2","-5","-13","-27","-1","5","1","26325"
"348","-5","-13","-27","0","2","1","26325"
"352.8","4","-11","-26","0","2","1","26325"
"357.6","4","-11","-26","1","0","1","26325"
"362.4","0","-5","-26","1","0","1","26325"
"367.2","0","-5","-26","2","2","1","26325"
"372","-7","0","-23","2","2","1","26325"
"376.8","-7","0","-23","3","2","1","26325"
"381.6","-5","10","-23","3","2","1","26325"
"386.4","-5","10","-23","7","0","1","26325"
"391.2","-8","10","-26","7","0","1","26325"
"396","-8","10","-26","3","1","1","26325"
"404.75","-9","0","-30","3","1","1","26325"
"409.5","-9","0","-30","-1","2","1","26325"
"414.25","-11","5","-29","-1","2","1","26325"
"419","-11","5","-29","-1","-1","1","26325"
"423.75","-5","5","-27","-1","-1","1","26325"
"428.5","-5","5","-27","3","-1","1","26325"
"433.25","0","4","-21","3","-1","1","26325"
"438","0","4","-21","2","-4","1","26325"
"442.75","4","0","-27","2","-4","1","26325"
"447.5","4","0","-27","0","-5","1","26325"
"452.25","1","-6","-27","0","-5","1","26325"
"457","1","-6","-27","-2","0","1","26325"
"461.75","2","-4","-26","-2","0","1","26325"
"466.5","2","-4","-26","-2","-3","1","26325"
"471.25","6","-4","-23","-2","-3","1","26325"
"476","6","-4","-23","-2","-1","1","26325"
"480.75","11","-10","-21","-2","-1","1","26325"
"485.5","11","-10","-21","0","-1","1","26325"
"490.25","11","-8","-20","0","-1","1","26325"
