Timer,X,Y,Z
"0.17247","3465","2677","651"
"0.34495","3465","2677","651"
"0.51742","3465","2677","651"
"0.6899","3465","2677","651"
"0.86237","3465","2677","651"
"1.03484","3465","2677","651"
"1.20732","3465","2677","651"
"1.37979","3465","2677","651"
"1.55226","3465","2677","651"
"1.72474","3465","2677","651"
"1.89721","3465","2677","651"
"2.06969","3465","2677","651"
"2.24216","3465","2677","651"
"2.41463","3465","2677","651"
"2.58711","3465","2677","651"
"2.75958","3465","2677","651"
"2.93206","3465","2677","651"
"3.10453","3465","2677","651"
"3.277","3465","2677","651"
"3.44948","3465","2677","651"
"3.62195","3465","2677","651"
"3.79443","3465","2677","651"
"3.9669","3465","2677","651"
"4.13937","3465","2677","651"
"4.31185","3465","2677","651"
"4.48432","3465","2677","651"
"4.65679","3465","2677","651"
"4.82927","3465","2677","651"
"5.00174","3465","2677","651"
"5.17422","3465","2677","651"
"5.34669","3465","2677","651"
"5.51916","3465","2677","651"
"5.69164","3465","2677","651"
"5.86411","3465","2677","651"
"6.03659","3465","2677","651"
"6.20906","3465","2677","651"
"6.38153","3465","2677","651"
"6.55401","3465","2677","651"
"6.72648","3465","2677","651"
"6.89895","3465","2677","651"
"7.07143","3465","2677","651"
"7.2439","3465","2677","651"
"7.41638","3465","2677","651"
"7.58885","3465","2677","651"
"7.76132","3465","2677","651"
"7.9338","3465","2677","651"
"8.10627","3465","2677","651"
"8.27875","3465","2677","651"
"8.45122","3465","2677","651"
"8.62369","3465","2677","651"
"8.79617","3465","2677","651"
"8.96864","3465","2677","651"
"9.14111","3465","2677","651"
"9.31359","3465","2677","651"
"9.48606","3465","2677","651"
"9.65854","3465","2677","651"
"9.83101","3465","2677","651"
"10.00348","3465","2677","651"
"10.17596","3465","2677","651"
"10.34843","3465","2677","651"
"10.52091","3465","2677","651"
"10.69338","3465","2677","651"
"10.86585","3465","2677","651"
"11.03833","3465","2677","651"
"11.2108","3465","2677","651"
"11.38328","3465","2677","651"
"11.55575","3465","2677","651"
"11.72822","3465","2677","651"
"11.9007","3465","2677","651"
"12.07317","3465","2677","651"
"12.24564","3465","2677","651"
"12.41812","3465","2677","651"
"12.59059","3465","2677","651"
"12.76307","3465","2677","651"
"12.93554","3465","2677","651"
"13.10801","3465","2677","651"
"13.28049","3465","2677","651"
"13.45296","3465","2677","651"
"13.62544","3465","2677","651"
"13.79791","3465","2677","651"
"13.97038","3465","2677","651"
"14.14286","3465","2677","651"
"14.31533","3465","2677","651"
"14.4878","3465","2677","651"
"14.66028","3465","2677","651"
"14.83275","3465","2677","651"
"15.00523","3465","2677","651"
"15.1777","3465","2677","651"
"15.35017","3465","2677","651"
"15.52265","3465","2677","651"
"15.69512","3465","2677","651"
"15.8676","3465","2677","651"
"16.04007","3465","2677","651"
"16.21254","3465","2677","651"
"16.38502","3465","2677","651"
"16.55749","3465","2677","651"
"16.72997","3465","2677","651"
"16.90244","3465","2677","651"
"17.07491","3465","2677","651"
"17.24739","3465","2677","651"
"17.41986","3465","2677","651"
"17.59233","3465","2677","651"
"17.76481","3465","2677","651"
"17.93728","3465","2677","651"
"18.10976","3465","2677","651"
"18.28223","3465","2677","651"
"18.4547","3465","2677","651"
"18.62718","3465","2677","651"
"18.79965","3465","2677","651"
"18.97213","3465","2677","651"
"19.1446","3465","2677","651"
"19.31707","3465","2677","651"
"19.48955","3465","2677","651"
"19.66202","3465","2677","651"
"19.83449","3465","2677","651"
"20.00697","3465","2677","651"
"20.17944","3465","2677","651"
"20.35192","3465","2677","651"
"20.52439","3465","2677","651"
"20.69686","3465","2677","651"
"20.86934","3465","2677","651"
"21.04181","3465","2677","651"
"21.21429","3465","2677","651"
"21.38676","3465","2677","651"
"21.55923","3465","2677","651"
"21.73171","3465","2677","651"
"21.90418","3465","2677","651"
"22.07666","3465","2677","651"
"22.24913","3465","2677","651"
"22.4216","3465","2677","651"
"22.59408","3465","2677","651"
"22.76655","3465","2677","651"
"22.93902","3465","2677","651"
"23.1115","3465","2677","651"
"23.28397","3465","2677","651"
"23.45645","3465","2677","651"
"23.62892","3465","2677","651"
"23.80139","3465","2677","651"
"23.97387","3465","2677","651"
"24.14634","3465","2677","651"
"24.31882","3465","2677","651"
"24.49129","3465","2677","651"
"24.66376","3465","2677","651"
"24.83624","3465","2677","651"
"25.00871","3465","2677","651"
"25.18118","3465","2677","651"
"25.35366","3465","2677","651"
"25.52613","3465","2677","651"
"25.69861","3465","2677","651"
"25.87108","3465","2677","651"
"26.04355","3465","2677","651"
"26.21603","3465","2677","651"
"26.3885","3465","2677","651"
"26.56098","3465","2677","651"
"26.73345","3465","2677","651"
"26.90592","3465","2677","651"
"27.0784","3465","2677","651"
"27.25087","3465","2677","651"
"27.42334","3465","2677","651"
"27.59582","3465","2677","651"
"27.76829","3465","2677","651"
"27.94077","3465","2677","651"
"28.11324","3465","2677","651"
"28.28571","3465","2677","651"
"28.45819","3465","2677","651"
"28.63066","3465","2677","651"
"28.80314","3465","2677","651"
"28.97561","3465","2677","651"
"29.14808","3465","2677","651"
"29.32056","3465","2677","651"
"29.49303","3465","2677","651"
"29.66551","3465","2677","651"
"29.83798","3465","2677","651"
"30.01045","3465","2677","651"
"30.18293","3465","2677","651"
"30.3554","3465","2677","651"
"30.52787","3465","2677","651"
"30.70035","3465","2677","651"
"30.87282","3465","2677","651"
"31.0453","3465","2677","651"
"31.21777","3465","2677","651"
"31.39024","3465","2677","651"
"31.56272","3465","2677","651"
"31.73519","3465","2677","651"
"31.90767","3465","2677","651"
"32.08014","3465","2677","651"
"32.25261","3465","2677","651"
"32.42509","3465","2677","651"
"32.59756","3465","2677","651"
"32.77003","3465","2677","651"
"32.94251","3465","2677","651"
"33.11498","3465","2677","651"
"33.28746","3465","2677","651"
"33.45993","3465","2677","651"
"33.6324","3465","2677","651"
"33.80488","3465","2677","651"
"33.97735","3465","2677","651"
"34.14983","3465","2677","651"
"34.3223","3465","2677","651"
"34.49477","3465","2677","651"
"34.66725","3465","2677","651"
"34.83972","3465","2677","651"
"35.0122","3465","2677","651"
"35.18467","3465","2677","651"
"35.35714","3465","2677","651"
"35.52962","3465","2677","651"
"35.70209","3465","2677","651"
"35.87456","3465","2677","651"
"36.04704","3465","2677","651"
"36.21951","3465","2677","651"
"36.39199","3465","2677","651"
"36.56446","3465","2677","651"
"36.73693","3465","2677","651"
"36.90941","3465","2677","651"
"37.08188","3465","2677","651"
"37.25436","3465","2677","651"
"37.42683","3465","2677","651"
"37.5993","3465","2677","651"
"37.77178","3465","2677","651"
"37.94425","3465","2677","651"
"38.11672","3465","2677","651"
"38.2892","3465","2677","651"
"38.46167","3465","2677","651"
"38.63415","3465","2677","651"
"38.80662","3465","2677","651"
"38.97909","3465","2677","651"
"39.15157","3465","2677","651"
"39.32404","3465","2677","651"
"39.49652","3465","2677","651"
"39.66899","3465","2677","651"
"39.84146","3465","2677","651"
"40.01394","3465","2677","651"
"40.18641","3465","2677","651"
"40.35889","3465","2677","651"
"40.53136","3465","2677","651"
"40.70383","3465","2677","651"
"40.87631","3465","2677","651"
"41.04878","3465","2677","651"
"41.22125","3465","2677","651"
"41.39373","3465","2677","651"
"41.5662","3465","2677","651"
"41.73868","3465","2677","651"
"41.91115","3465","2677","651"
"42.08362","3465","2677","651"
"42.2561","3465","2677","651"
"42.42857","3465","2677","651"
"42.60105","3465","2677","651"
"42.77352","3465","2677","651"
"42.94599","3465","2677","651"
"43.11847","3465","2677","651"
"43.29094","3465","2677","651"
"43.46341","3465","2677","651"
"43.63589","3465","2677","651"
"43.80836","3465","2677","651"
"43.98084","3465","2677","651"
"44.15331","3465","2677","651"
"44.32578","3465","2677","651"
"44.49826","3465","2677","651"
"44.67073","3465","2677","651"
"44.84321","3465","2677","651"
"45.01568","3465","2677","651"
"45.18815","3465","2677","651"
"45.36063","3465","2677","651"
"45.5331","3465","2677","651"
"45.70557","3465","2677","651"
"45.87805","3465","2677","651"
"46.05052","3465","2677","651"
"46.223","3465","2677","651"
"46.39547","3465","2677","651"
"46.56794","3465","2677","651"
"46.74042","3465","2677","651"
"46.91289","3465","2677","651"
"47.08537","3465","2677","651"
"47.25784","3465","2677","651"
"47.43031","3465","2677","651"
"47.60279","3465","2677","651"
"47.77526","3465","2677","651"
"47.94774","3465","2677","651"
"48.12021","3465","2677","651"
"48.29268","3465","2677","651"
"48.46516","3465","2677","651"
"48.63763","3465","2677","651"
"48.8101","3465","2677","651"
"48.98258","3465","2677","651"
"49.15505","3465","2677","651"
"49.32753","3465","2677","651"
"49.5","3465","2677","651"
"49.67247","3465","2677","651"
"49.84495","3465","2677","651"
"50.01742","3465","2677","651"
"50.1899","3465","2677","651"
"50.36237","3465","2677","651"
"50.53484","3465","2677","651"
"50.70732","3465","2677","651"
"50.87979","3465","2677","651"
"51.05226","3465","2677","651"
"51.22474","3465","2677","651"
"51.39721","3465","2677","651"
"51.56969","3465","2677","651"
"51.74216","3465","2677","651"
"51.91463","3465","2677","651"
"52.08711","3465","2677","651"
"52.25958","3465","2677","651"
"52.43206","3465","2677","651"
