Timer,AX,AY,AZ,GX,GY,GZ
"1009","1","4","-1","4","-2","1"
"1017","2","6","-1","0","-1","0"
"1029","1","2","-1","3","-1","0"
"1037","2","5","-1","-2","1","0"
"1046","3","4","-1","-1","2","0"
"1058","1","4","-1","-1","1","-2"
"1066","2","4","-1","1","-2","0"
"1078","2","3","-1","1","-2","2"
"1087","3","6","-1","1","0","0"
"1099","2","4","-1","1","0","1"
"1107","2","4","-1","2","-1","-3"
"1119","2","4","-1","1","-4","-1"
"1128","3","3","-1","4","1","-2"
"1136","2","5","-1","2","-1","3"
"1148","3","3","-1","2","0","0"
"1156","0","6","-1","2","-2","-1"
"1169","0","4","-1","1","-1","-2"
"1177","1","3","-1","3","3","1"
"1189","3","4","-1","2","-1","2"
"1198","3","5","-1","3","0","1"
"1209","1","6","-1","5","0","0"
"1218","0","4","-1","1","-1","-1"
"1230","3","4","-1","0","-1","0"
"1238","0","4","-1","2","0","-1"
"1246","3","6","-1","2","0","-3"
"1259","1","4","-1","3","-2","0"
"1267","2","5","-1","-3","-2","-1"
"1279","0","6","-1","-1","1","-2"
"1287","4","3","-1","0","1","3"
"1300","1","3","-1","2","0","-1"
"1308","1","5","-1","-2","2","1"
"1320","0","6","-1","1","1","-2"
"1328","2","5","-1","0","-1","0"
"1337","1","6","-1","3","-1","3"
"1349","3","3","-1","2","1","1"
"1357","0","3","-1","0","0","0"
"1369","4","3","-1","0","-1","1"
"1378","1","5","-1","-1","2","3"
"1390","3","4","-1","-1","0","1"
"1398","0","6","-1","-2","-2","1"
"1410","1","4","-1","1","1","0"
"1418","1","5","-1","3","-1","0"
"1431","3","6","-1","1","-4","0"
"1439","2","3","-1","2","0","2"
"1447","2","4","-1","-1","-1","0"
"1459","3","5","-1","-2","0","1"
"1468","0","4","-1","-1","2","2"
"1480","2","3","-1","1","0","1"
"1488","0","4","-1","-1","1","-3"
"1500","3","4","-1","1","1","-2"
"1509","1","4","-1","2","-1","-1"
"1520","2","5","-1","-2","-1","0"
"1529","1","4","-1","-4","1","2"
"1537","1","4","-1","2","-1","0"
"1550","3","3","-1","1","1","1"
"1558","1","5","-1","0","-2","0"
"1570","3","5","-1","2","-1","-1"
"1578","1","6","-1","1","1","1"
"1590","1","6","-1","-1","0","0"
"1599","3","4","-1","0","1","0"
"1611","1","5","-1","1","3","1"
"1619","1","4","-1","3","-2","0"
"1631","0","6","-1","2","0","-2"
"1640","1","5","-1","-1","1","1"
"1648","2","4","-1","1","-2","1"
"1660","1","2","-1","1","-1","2"
"1669","2","7","-1","-3","0","-2"
"1681","0","5","-1","3","1","2"
"1689","2","5","-1","-1","1","-1"
"1701","0","5","-1","-4","0","0"
"1709","0","3","-1","-4","1","-1"
"1721","2","6","-1","-1","2","2"
"1730","2","4","-1","-1","0","0"
"1738","3","4","-1","-3","4","-2"
"1750","1","6","-1","2","2","0"
"1758","1","6","-1","-1","1","-2"
"1771","3","4","-1","0","0","1"
"1779","2","4","-1","2","0","-2"
"1791","2","6","-1","0","-1","-1"
"1800","0","5","-1","0","0","1"
"1811","1","6","-1","1","0","0"
"1820","1","3","-1","0","1","-2"
"1832","1","4","-1","1","-1","-1"
"1840","1","4","-1","1","-1","-1"
"1849","0","2","-1","-1","0","1"
"1861","2","5","-1","2","-1","0"
"1869","2","4","-1","-3","0","0"
"1881","0","3","-1","-4","2","1"
"1890","1","4","-1","-4","2","1"
"1902","0","3","-1","3","-2","1"
"1910","0","5","-1","0","-2","0"
"1922","3","5","-1","-1","-2","1"
"1931","3","6","-1","-3","-1","2"
"1938","3","6","-1","-3","-1","2"
"1951","1","3","-1","3","-1","3"
"1959","0","5","-1","2","0","4"
"1971","0","4","-1","2","1","5"
"1980","1","6","-1","0","2","6"
"1988","1","6","-1","0","2","6"
"2000","0","5","-1","0","0","4"
"2008","1","5","-1","0","1","4"
"2020","0","4","-1","2","0","3"
"2029","2","3","-1","1","-1","1"
"2041","3","6","-1","1","-1","1"
"2049","2","4","-1","0","-2","1"
"2062","3","6","-1","-1","0","1"
"2070","1","3","-1","-2","0","0"
"2082","3","4","-1","1","1","-1"
"2090","3","4","-1","1","1","-1"
"2102","1","5","-1","2","-1","-1"
"2111","1","5","-1","0","0","0"
"2119","1","5","-1","2","1","2"
"2131","3","2","-1","5","1","0"
"2139","3","2","-1","5","1","0"
