Timer,X,Y,Z
"971","3820","8401","5490"
"971","3820","8401","5490"
"971","3820","8401","5490"
"1033","3752","8357","5433"
"1033","3752","8357","5433"
"1033","3752","8357","5433"
"1033","3752","8357","5433"
"1033","3752","8357","5433"
"1033","3752","8357","5433"
"1090","3862","8428","5542"
"1090","3862","8428","5542"
"1090","3862","8428","5542"
"1090","3862","8428","5542"
"1090","3862","8428","5542"
"1090","3862","8428","5542"
"1152","3890","8453","5611"
"1152","3890","8453","5611"
"1152","3890","8453","5611"
"1152","3890","8453","5611"
"1152","3890","8453","5611"
"1152","3890","8453","5611"
"1213","3781","8361","5476"
"1213","3781","8361","5476"
"1213","3781","8361","5476"
"1213","3781","8361","5476"
"1213","3781","8361","5476"
"1213","3781","8361","5476"
"1270","3930","8484","5565"
"1270","3930","8484","5565"
"1270","3930","8484","5565"
"1270","3930","8484","5565"
"1270","3930","8484","5565"
"1270","3930","8484","5565"
"1332","3621","8271","5275"
"1332","3621","8271","5275"
"1332","3621","8271","5275"
"1332","3621","8271","5275"
"1332","3621","8271","5275"
"1332","3621","8271","5275"
"1393","3889","8421","5583"
"1393","3889","8421","5583"
"1393","3889","8421","5583"
"1393","3889","8421","5583"
"1393","3889","8421","5583"
"1393","3889","8421","5583"
"1450","3780","8353","5493"
"1450","3780","8353","5493"
"1450","3780","8353","5493"
"1450","3780","8353","5493"
"1450","3780","8353","5493"
"1508","3207","8476","432"
"1508","3207","8476","432"
"1508","3207","8476","432"
"1508","3207","8476","432"
"1508","3207","8476","432"
"1508","3207","8476","432"
"1508","3207","8476","432"
"1569","3702","8316","5370"
"1569","3702","8316","5370"
"1569","3702","8316","5370"
"1569","3702","8316","5370"
"1569","3702","8316","5370"
"1569","3702","8316","5370"
"1631","3906","8472","5551"
"1631","3906","8472","5551"
"1631","3906","8472","5551"
"1631","3906","8472","5551"
"1631","3906","8472","5551"
"1631","3906","8472","5551"
"1692","3888","8429","5592"
"1692","3888","8429","5592"
"1692","3888","8429","5592"
"1692","3888","8429","5592"
"1692","3888","8429","5592"
"1692","3888","8429","5592"
"1749","3717","8325","5407"
"1749","3717","8325","5407"
"1749","3717","8325","5407"
"1749","3717","8325","5407"
"1749","3717","8325","5407"
"1749","3717","8325","5407"
"1811","3798","8378","5476"
"1811","3798","8378","5476"
"1811","3798","8378","5476"
"1811","3798","8378","5476"
"1811","3798","8378","5476"
"1811","3798","8378","5476"
"1872","3758","8343","5402"
"1872","3758","8343","5402"
"1872","3758","8343","5402"
"1872","3758","8343","5402"
"1872","3758","8343","5402"
"1872","3758","8343","5402"
"1930","3878","8453","5543"
"1930","3878","8453","5543"
"1930","3878","8453","5543"
"1930","3878","8453","5543"
"1930","3878","8453","5543"
"1930","3878","8453","5543"
"1991","3803","8388","5505"
"1991","3803","8388","5505"
"1991","3803","8388","5505"
"1991","3803","8388","5505"
"1991","3803","8388","5505"
"1991","3803","8388","5505"
"2052","3930","8453","5569"
"2052","3930","8453","5569"
"2052","3930","8453","5569"
"2052","3930","8453","5569"
"2052","3930","8453","5569"
"2052","3930","8453","5569"
"2110","3863","8432","5587"
"2110","3863","8432","5587"
"2110","3863","8432","5587"
"2110","3863","8432","5587"
"2110","3863","8432","5587"
"2110","3863","8432","5587"
"2171","3594","8839","-145"
"2171","3594","8839","-145"
"2171","3594","8839","-145"
"2171","3594","8839","-145"
"2171","3594","8839","-145"
"2229","3709","8330","5393"
"2229","3709","8330","5393"
"2229","3709","8330","5393"
"2229","3709","8330","5393"
"2229","3709","8330","5393"
"2229","3709","8330","5393"
"2290","3739","8335","5408"
"2290","3739","8335","5408"
"2290","3739","8335","5408"
"2290","3739","8335","5408"
"2290","3739","8335","5408"
"2290","3739","8335","5408"
"2290","3739","8335","5408"
"2352","3826","8394","5555"
"2352","3826","8394","5555"
"2352","3826","8394","5555"
"2352","3826","8394","5555"
"2352","3826","8394","5555"
"2409","3806","8430","5502"
"2409","3806","8430","5502"
"2409","3806","8430","5502"
"2409","3806","8430","5502"
"2409","3806","8430","5502"
"2409","3806","8430","5502"
"2470","3756","8341","5445"
"2470","3756","8341","5445"
"2470","3756","8341","5445"
