Timer,AX,AY,AZ,GX,GY,GZ
"1006","-3","0","-29","-2","-3","-2"
"1006","-3","0","-29","0","1","-1"
"1019","-6","0","-28","0","1","-1"
"1019","-6","0","-28","1","-1","-1"
"1027","-3","-1","-31","1","-1","-1"
"1027","-3","-1","-31","1","-1","-2"
"1039","-3","-2","-28","1","-1","-2"
"1039","-3","-2","-28","0","0","-2"
"1047","-3","-1","-28","0","0","-2"
"1047","-3","-1","-28","-3","1","-1"
"1055","-3","0","-31","-3","1","-1"
"1059","-3","0","-31","-1","0","0"
"1068","-3","0","-27","-1","0","0"
"1068","-3","0","-27","0","-1","-2"
"1076","-4","0","-32","0","-1","-2"
"1080","-4","0","-32","0","-2","-2"
"1088","-3","1","-30","0","-2","-2"
"1089","-3","1","-30","-1","0","0"
"1096","-5","-1","-28","-1","0","0"
"1100","-5","-1","-28","-3","-1","0"
"1109","-3","-1","-29","-3","-1","0"
"1109","-3","-1","-29","-3","-1","0"
"1117","-2","0","-29","-3","-1","0"
"1117","-2","0","-29","0","1","-3"
"1129","-5","0","-30","0","1","-3"
"1129","-5","0","-30","0","-1","-2"
"1137","-4","1","-29","0","-1","-2"
"1137","-4","1","-29","2","0","-3"
"1150","-3","0","-30","2","0","-3"
"1150","-3","0","-30","1","1","-1"
"1158","-4","0","-31","1","1","-1"
"1158","-4","0","-31","-2","0","1"
"1166","-3","0","-28","-2","0","1"
"1170","-3","0","-28","-1","-3","-3"
"1178","-4","0","-31","-1","-3","-3"
"1179","-4","0","-31","3","0","-1"
"1187","-2","-1","-31","3","0","-1"
"1191","-2","-1","-31","-4","0","-2"
"1199","-4","0","-29","-4","0","-2"
"1199","-4","0","-29","-1","-1","0"
"1207","-4","0","-29","-1","-1","0"
"1207","-4","0","-29","-1","-1","0"
"1219","-4","1","-29","-1","-1","0"
"1219","-4","1","-29","2","-1","0"
"1227","-4","0","-30","2","-1","0"
"1228","-4","0","-30","1","-1","-2"
"1240","-4","0","-28","1","-1","-2"
"1240","-4","0","-28","-1","1","-3"
"1248","-4","0","-30","-1","1","-3"
"1248","-4","0","-30","-1","-1","-2"
"1256","-2","1","-31","-1","-1","-2"
"1260","-2","1","-31","1","0","-2"
"1269","-3","-1","-31","1","0","-2"
"1269","-3","-1","-31","-4","0","0"
"1277","-3","-3","-30","-4","0","0"
"1281","-3","-3","-30","2","2","0"
"1289","-4","0","-31","2","2","0"
"1289","-4","0","-31","1","-1","1"
"1297","-3","0","-31","1","-1","1"
"1298","-3","0","-31","0","-1","-1"
"1305","-3","0","-31","0","-1","-1"
"1306","-3","0","-31","0","-1","-1"
"1318","-4","1","-28","0","-1","-1"
"1318","-4","1","-28","-1","0","-1"
"1330","-4","0","-32","-1","0","-1"
"1330","-4","0","-32","-3","2","2"
"1338","-2","1","-29","-3","2","2"
"1338","-2","1","-29","-1","1","1"
"1350","-5","-1","-30","-1","1","1"
"1350","-5","-1","-30","-2","-1","-2"
"1359","-4","-2","-28","-2","-1","-2"
"1359","-4","-2","-28","-2","-1","-2"
"1367","-4","-2","-27","-2","-1","-2"
"1371","-4","-2","-27","1","-1","1"
"1379","-5","0","-32","1","-1","1"
"1379","-5","0","-32","0","-2","-2"
"1387","-3","0","-33","0","-2","-2"
"1391","-3","0","-33","0","-3","-1"
"1399","-4","1","-29","0","-3","-1"
"1399","-4","1","-29","0","2","0"
"1407","-4","1","-29","0","2","0"
"1407","-4","1","-29","0","2","0"
"1420","-2","0","-30","0","2","0"
"1420","-2","0","-30","3","2","2"
"1428","-5","1","-32","3","2","2"
"1428","-5","1","-32","0","1","0"
"1437","-4","0","-31","0","1","0"
"1440","-4","0","-31","-2","0","1"
"1449","-5","0","-29","-2","0","1"
"1449","-5","0","-29","-2","0","1"
"1457","-5","0","-29","-2","0","1"
"1457","-5","0","-29","-3","-2","0"
"1469","-2","-1","-28","-3","-2","0"
"1469","-2","-1","-28","0","0","0"
"1477","-2","0","-30","0","0","0"
"1481","-2","0","-30","-2","-1","1"
"1490","-4","-1","-29","-2","-1","1"
"1490","-4","-1","-29","-2","-1","1"
"1498","-4","0","-27","-2","-1","1"
"1498","-4","0","-27","1","-2","-1"
"1506","-4","0","-27","1","-2","-1"
"1506","-4","0","-27","1","-2","-1"
"1518","-4","-2","-30","1","-2","-1"
"1518","-4","-2","-30","0","-1","0"
"1530","-4","-1","-30","0","-1","0"
"1530","-4","-1","-30","-1","-2","2"
