Timer,X,Y,Z
"982","-22","1829","560"
"982","-22","1829","560"
"982","-22","1829","560"
"982","-22","1829","560"
"982","-22","1829","560"
"982","-22","1829","560"
"982","-22","1829","560"
"982","-22","1829","560"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1036","-85","1776","540"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1097","-2","1810","566"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1159","-14","1854","572"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1220","-46","1820","587"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1281","-6","1829","544"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1343","-1","1834","596"
"1404","-35","1820","586"
"1404","-35","1820","586"
"1404","-35","1820","586"
"1404","-35","1820","586"
"1404","-35","1820","586"
"1404","-35","1820","586"
"1404","-35","1820","586"
