Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0
0,001;-0,00126;0,03798;-0,27594;;0,00000;0,00002;-0,00014;;0,00000;0,00000;0,00000;;1001;-0,128128065;3,871843646;-28,12810534
0,005;-0,00126;0,03798;-0,27594;;-0,00001;0,00017;-0,00124;;0,00000;0,00000;0,00000;;1005;-0,128128114;3,871865486;-28,12812297
0,013;-0,01857;0,00342;-0,22409;;-0,00008;0,00034;-0,00324;;0,00000;0,00000;-0,00002;;1013;-1,892592566;0,348799415;-22,84352044
0,014;-0,01284;0,01479;-0,24115;;-0,00010;0,00035;-0,00347;;0,00000;0,00000;-0,00002;;1014;-1,308688148;1,507612759;-24,5817397
0,022;-0,01149;0,06933;-0,24522;;-0,00020;0,00068;-0,00542;;0,00000;0,00001;-0,00006;;1022;-1,170781483;7,067139236;-24,99743171
0,022;-0,01117;0,05294;-0,24620;;-0,00020;0,00068;-0,00542;;0,00000;0,00001;-0,00006;;1022;-1,138204137;5,396986039;-25,09686518
0,034;0,04082;0,08357;-0,26371;;-0,00002;0,00150;-0,00848;;0,00000;0,00002;-0,00014;;1034;4,160800775;8,519074814;-26,88144698
0,034;0,02367;0,07128;-0,25808;;-0,00002;0,00150;-0,00848;;0,00000;0,00002;-0,00014;;1034;2,412586201;7,265887705;-26,30832423
0,042;-0,03229;0,01652;-0,23947;;-0,00005;0,00185;-0,01047;;0,00000;0,00003;-0,00022;;1042;-3,291704169;1,683730536;-24,41043454
0,042;-0,01608;0,03285;-0,24482;;-0,00005;0,00185;-0,01047;;0,00000;0,00003;-0,00022;;1042;-1,639230315;3,348461968;-24,95645369
0,054;0,00505;0,03675;-0,24610;;-0,00012;0,00227;-0,01342;;0,00000;0,00006;-0,00036;;1054;0,51490377;3,746670669;-25,08706309
0,054;0,00023;0,03769;-0,24641;;-0,00012;0,00227;-0,01342;;0,00000;0,00006;-0,00036;;1054;0,023775481;3,841923372;-25,11830525
0,062;-0,00090;0,05519;-0,24648;;-0,00012;0,00264;-0,01539;;-0,00001;0,00008;-0,00048;;1062;-0,092243895;5,625505133;-25,12577847
0,062;-0,00117;0,04956;-0,24650;;-0,00012;0,00264;-0,01539;;-0,00001;0,00008;-0,00048;;1062;-0,119651185;5,052143185;-25,12756608
0,071;0,01607;0,03094;-0,24651;;-0,00006;0,00300;-0,01761;;-0,00001;0,00010;-0,00063;;1071;1,637644096;3,154196274;-25,12799369
0,075;0,01033;0,03630;-0,24651;;0,00000;0,00314;-0,01859;;-0,00001;0,00012;-0,00070;;1075;1,052770464;3,700201738;-25,12809597
0,083;0,00897;0,03758;-0,24651;;0,00007;0,00343;-0,02056;;-0,00001;0,00014;-0,00085;;1083;0,914605598;3,830807866;-25,12812044
0,083;0,00865;0,03789;-0,24651;;0,00007;0,00343;-0,02056;;-0,00001;0,00014;-0,00085;;1083;0,881966872;3,86204924;-25,12812629
0,091;-0,02603;0,08978;-0,26378;;0,00000;0,00394;-0,02260;;-0,00001;0,00017;-0,00103;;1091;-2,653282811;9,151913362;-26,88892472
0,095;-0,01460;0,07276;-0,25810;;-0,00008;0,00427;-0,02365;;-0,00001;0,00019;-0,00112;;1095;-1,488415855;7,417264566;-26,31011293
0,103;0,07461;0,10324;-0,34311;;0,00016;0,00497;-0,02605;;-0,00001;0,00022;-0,00132;;1103;7,605609569;10,52392549;-34,97564459
0,104;0,04664;0,09091;-0,31440;;0,00022;0,00507;-0,02638;;-0,00001;0,00023;-0,00135;;1104;4,753893796;9,267048001;-32,04846549
0,112;-0,02918;-0,01568;-0,23843;;0,00029;0,00537;-0,02859;;0,00000;0,00027;-0,00156;;1112;-2,974846692;-1,598383011;-24,30508743
0,112;-0,00785;0,01768;-0,25950;;0,00029;0,00537;-0,02859;;0,00000;0,00027;-0,00156;;1112;-0,800609269;1,802573632;-26,45284841
0,124;-0,02012;0,09476;-0,23000;;0,00013;0,00605;-0,03153;;0,00000;0,00034;-0,00193;;1124;-2,050758254;9,659280682;-23,44500515
0,124;-0,01321;0,07395;-0,24256;;0,00013;0,00605;-0,03153;;0,00000;0,00034;-0,00193;;1124;-1,346081307;7,538628335;-24,72552012
0,132;-0,01157;0,10352;-0,28011;;0,00003;0,00676;-0,03362;;0,00000;0,00039;-0,00219;;1132;-1,17961527;10,55295606;-28,55341716
0,132;-0,01119;0,09098;-0,26947;;0,00003;0,00676;-0,03362;;0,00000;0,00039;-0,00219;;1132;-1,14029095;9,273992201;-27,4690615
0,144;0,02351;0,00161;-0,23238;;0,00010;0,00731;-0,03663;;0,00000;0,00048;-0,00261;;1144;2,396538073;0,164075093;-23,68808634
0,144;0,01209;0,02928;-0,24313;;0,00010;0,00731;-0,03663;;0,00000;0,00048;-0,00261;;1144;1,232044205;2,984955874;-24,78366586
0,153;-0,02522;-0,01592;-0,26297;;0,00004;0,00737;-0,03891;;0,00000;0,00054;-0,00295;;1153;-2,570583943;-1,622672161;-26,80652876
0,153;-0,01441;0,00270;-0,25791;;0,00004;0,00737;-0,03891;;0,00000;0,00054;-0,00295;;1153;-1,468879878;0,275169533;-26,29040357
0,161;-0,02916;0,07625;-0,27397;;-0,00013;0,00769;-0,04104;;0,00000;0,00060;-0,00327;;1161;-2,972393725;7,772327025;-27,92774193
0,165;-0,02283;0,05460;-0,26800;;-0,00024;0,00795;-0,04212;;0,00000;0,00063;-0,00343;;1165;-2,327569232;5,565669356;-27,31939812
0,173;0,01327;0,06669;-0,26658;;-0,00028;0,00843;-0,04426;;0,00000;0,00070;-0,00378;;1173;1,352297271;6,798627321;-27,17388048
0,175;0,00217;0,05978;-0,26623;;-0,00026;0,00856;-0,04479;;0,00000;0,00072;-0,00387;;1175;0,221593187;6,093554527;-27,13907223
0,181;-0,00045;-0,01097;-0,21433;;-0,00025;0,00871;-0,04623;;0,00000;0,00077;-0,00414;;1181;-0,045513362;-1,118289103;-21,8483549
0,185;-0,00107;0,01135;-0,23135;;-0,00026;0,00871;-0,04713;;0,00000;0,00080;-0,00433;;1185;-0,108612018;1,156616489;-23,5827996
0,194;-0,00121;0,06850;-0,28724;;-0,00027;0,00907;-0,04946;;-0,00001;0,00088;-0,00476;;1194;-0,123517832;6,983171754;-29,28007502
