Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0
0,006;-0,01107;0,05760;-0,27594;;-0,00003;0,00017;-0,00083;;0,00000;0,00000;0,00000;;1006;-1,128128128;5,871871872;-28,12812813
0,007;-0,01107;0,05760;-0,27594;;-0,00004;0,00023;-0,00110;;0,00000;0,00000;0,00000;;1007;-1,128128128;5,871871872;-28,12812813
0,015;-0,00126;0,03798;-0,26613;;-0,00009;0,00061;-0,00327;;0,00000;0,00000;-0,00002;;1015;-0,128128128;3,871871872;-27,12812813
0,015;-0,00126;0,03798;-0,26613;;-0,00009;0,00061;-0,00327;;0,00000;0,00000;-0,00002;;1015;-0,128128128;3,871871872;-27,12812813
0,027;-0,01107;0,02817;-0,25632;;-0,00017;0,00101;-0,00641;;0,00000;0,00001;-0,00008;;1027;-1,128128128;2,871871872;-26,12812813
0,027;-0,01107;0,02817;-0,25632;;-0,00017;0,00101;-0,00641;;0,00000;0,00001;-0,00008;;1027;-1,128128128;2,871871872;-26,12812813
0,035;-0,00126;0,04779;-0,25632;;-0,00022;0,00131;-0,00846;;0,00000;0,00002;-0,00014;;1035;-0,128128128;4,871871872;-26,12812813
0,035;-0,00126;0,04779;-0,25632;;-0,00022;0,00131;-0,00846;;0,00000;0,00002;-0,00014;;1035;-0,128128128;4,871871872;-26,12812813
0,043;-0,01107;0,07722;-0,26613;;-0,00027;0,00181;-0,01055;;-0,00001;0,00004;-0,00021;;1043;-1,128128128;7,871871872;-27,12812813
0,047;-0,01107;0,07722;-0,26613;;-0,00031;0,00212;-0,01161;;-0,00001;0,00004;-0,00026;;1047;-1,128128128;7,871871872;-27,12812813
0,055;0,00855;0,03798;-0,27594;;-0,00032;0,00258;-0,01378;;-0,00001;0,00006;-0,00036;;1055;0,871871872;3,871871872;-28,12812813
0,056;0,00855;0,03798;-0,27594;;-0,00031;0,00262;-0,01406;;-0,00001;0,00006;-0,00037;;1056;0,871871872;3,871871872;-28,12812813
