Timer,X,Y,Z
"973","3367","9027","4741"
"973","3367","9027","4741"
"973","3367","9027","4741"
"973","3367","9027","4741"
"973","3367","9027","4741"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1027","2851","8953","1863"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1088","3367","9031","4701"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1150","2833","8964","1861"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1203","2843","8960","1850"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1256","2881","8982","1870"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
"1309","2872","8986","1857"
