Timer,X,Y,Z
"973","-556","1572","3511"
"973","-556","1572","3511"
"973","-556","1572","3511"
"1034","-652","1604","3451"
"1034","-652","1604","3451"
"1034","-652","1604","3451"
"1034","-652","1604","3451"
"1034","-652","1604","3451"
"1034","-652","1604","3451"
"1095","-667","1629","3433"
"1095","-667","1629","3433"
"1095","-667","1629","3433"
"1095","-667","1629","3433"
"1095","-667","1629","3433"
"1095","-667","1629","3433"
"1157","-589","1619","3548"
"1157","-589","1619","3548"
"1157","-589","1619","3548"
"1157","-589","1619","3548"
"1157","-589","1619","3548"
"1157","-589","1619","3548"
"1157","-589","1619","3548"
"1218","-587","1627","3491"
"1218","-587","1627","3491"
"1218","-587","1627","3491"
"1218","-587","1627","3491"
"1218","-587","1627","3491"
"1218","-587","1627","3491"
"1280","-635","1620","3509"
"1280","-635","1620","3509"
"1280","-635","1620","3509"
"1280","-635","1620","3509"
"1280","-635","1620","3509"
"1280","-635","1620","3509"
"1341","-1000","1903","1477"
"1341","-1000","1903","1477"
"1341","-1000","1903","1477"
"1341","-1000","1903","1477"
"1341","-1000","1903","1477"
"1341","-1000","1903","1477"
"1407","-603","1581","3493"
"1407","-603","1581","3493"
"1407","-603","1581","3493"
"1407","-603","1581","3493"
"1407","-603","1581","3493"
"1407","-603","1581","3493"
"1407","-603","1581","3493"
"1468","-636","1590","3486"
"1468","-636","1590","3486"
"1468","-636","1590","3486"
"1468","-636","1590","3486"
"1468","-636","1590","3486"
"1468","-636","1590","3486"
"1533","-634","1646","3480"
"1533","-634","1646","3480"
"1533","-634","1646","3480"
"1533","-634","1646","3480"
"1533","-634","1646","3480"
"1533","-634","1646","3480"
"1595","-628","1660","3517"
"1595","-628","1660","3517"
"1595","-628","1660","3517"
"1595","-628","1660","3517"
"1595","-628","1660","3517"
"1595","-628","1660","3517"
"1656","-667","1597","3497"
"1656","-667","1597","3497"
"1656","-667","1597","3497"
"1656","-667","1597","3497"
"1656","-667","1597","3497"
"1656","-667","1597","3497"
"1656","-667","1597","3497"
"1718","-650","1660","3389"
"1718","-650","1660","3389"
"1718","-650","1660","3389"
"1718","-650","1660","3389"
"1718","-650","1660","3389"
