Timer,X,Y,Z
"923","8749","7578","131"
"923","8749","7578","131"
"923","8749","7578","131"
"923","8749","7578","131"
"923","8749","7578","131"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1026","8745","7603","95"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1079","8755","7561","199"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1181","9059","8190","-276"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1284","8754","7570","190"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1337","8703","7593","121"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1394","8783","7585","174"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1448","8747","7546","213"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1546","8768","7639","110"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1689","8737","7587","138"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1746","8728","7631","98"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1800","8774","7568","162"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1853","8737","7672","43"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1906","8733","7631","85"
"1964","8716","7604","97"
"1964","8716","7604","97"
"1964","8716","7604","97"
"1964","8716","7604","97"
"1964","8716","7604","97"
"1964","8716","7604","97"
"1964","8716","7604","97"
"1964","8716","7604","97"
"1964","8716","7604","97"
"1964","8716","7604","97"
"2017","8711","7557","186"
"2017","8711","7557","186"
"2017","8711","7557","186"
"2017","8711","7557","186"
"2017","8711","7557","186"
"2017","8711","7557","186"
"2017","8711","7557","186"
"2017","8711","7557","186"
"2017","8711","7557","186"
"2017","8711","7557","186"
