Timer,X,Y,Z
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"956","3363","8979","4835"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
"1017","2912","8966","1857"
