Timer,AX,AY,AZ,GX,GY,GZ
"1011","-1.44","4.56","-24.44","1.034","1.908","1.005"
"1012","-1.44","4.56","-24.44","-0.966","-2.092","0.005"
"1020","-2.44","3.56","-22.44","-0.966","-2.092","0.005"
"1020","-2.44","3.56","-22.44","3.034","-1.092","-0.995"
"1032","-1.44","2.56","-25.44","3.034","-1.092","-0.995"
"1032","-1.44","2.56","-25.44","-1.966","2.908","-0.995"
"1040","-2.44","7.56","-22.44","-1.966","2.908","-0.995"
"1040","-2.44","7.56","-22.44","-0.966","1.908","1.005"
"1048","-3.44","9.56","-25.44","-0.966","1.908","1.005"
"1053","-3.44","9.56","-25.44","1.034","-0.092","1.005"
"1061","-5.44","6.56","-31.44","1.034","-0.092","1.005"
"1061","-5.44","6.56","-31.44","-3.966","0.908","-0.995"
"1069","3.56","-0.44","-18.44","-3.966","0.908","-0.995"
"1073","3.56","-0.44","-18.44","-1.966","-2.092","1.005"
"1081","4.56","4.56","-19.44","-1.966","-2.092","1.005"
"1081","4.56","4.56","-19.44","-4.966","-2.092","0.005"
"1089","-1.44","11.56","-24.44","-4.966","-2.092","0.005"
"1089","-1.44","11.56","-24.44","1.034","-0.092","0.005"
"1101","4.56","-0.44","-24.44","1.034","-0.092","0.005"
"1101","4.56","-0.44","-24.44","-2.966","-0.092","2.005"
"1110","8.56","4.56","-20.44","-2.966","-0.092","2.005"
"1110","8.56","4.56","-20.44","-1.966","-1.092","-0.995"
"1118","5.56","7.56","-22.44","-1.966","-1.092","-0.995"
"1122","5.56","7.56","-22.44","2.034","-0.092","0.005"
"1130","4.56","-1.44","-24.44","2.034","-0.092","0.005"
"1130","4.56","-1.44","-24.44","-0.966","-0.092","-0.995"
"1138","7.56","4.56","-20.44","-0.966","-0.092","-0.995"
"1142","7.56","4.56","-20.44","-1.966","-0.092","1.005"
"1153","-5.44","10.56","-28.44","-1.966","-0.092","1.005"
"1153","-5.44","10.56","-28.44","2.034","-1.092","-0.995"
"1159","-12.44","0.56","-30.44","2.034","-1.092","-0.995"
"1163","-12.44","0.56","-30.44","0.034","2.908","1.005"
"1171","4.56","7.56","-17.44","0.034","2.908","1.005"
"1171","4.56","7.56","-17.44","1.034","-1.092","0.005"
"1180","4.56","3.56","-20.44","1.034","-1.092","0.005"
"1180","4.56","3.56","-20.44","0.034","-0.092","3.005"
"1192","-7.44","10.56","-33.44","0.034","-0.092","3.005"
"1192","-7.44","10.56","-33.44","0.034","0.908","2.005"
"1200","0.56","-1.44","-16.44","0.034","0.908","2.005"
"1200","0.56","-1.44","-16.44","0.034","-3.092","1.005"
"1208","1.56","16.56","-20.44","0.034","-3.092","1.005"
"1212","1.56","16.56","-20.44","2.034","-2.092","-0.995"
"1221","-8.44","13.56","-36.44","2.034","-2.092","-0.995"
"1221","-8.44","13.56","-36.44","4.034","0.908","0.005"
"1229","9.56","2.56","-20.44","4.034","0.908","0.005"
"1233","9.56","2.56","-20.44","-2.966","-1.092","-0.995"
"1241","2.56","10.56","-22.44","-2.966","-1.092","-0.995"
"1241","2.56","10.56","-22.44","2.034","1.908","0.005"
"1249","-2.44","-0.44","-24.44","2.034","1.908","0.005"
"1249","-2.44","-0.44","-24.44","0.034","-1.092","2.005"
