Timer,AX,AY,AZ,GX,GY,GZ
"1002","10.56","3.56","-24.44","2.034","-1.092","1.005"
"1010","9.56","4.56","-22.44","2.034","-1.092","1.005"
"1010","9.56","4.56","-22.44","-0.966","0.908","0.005"
"1019","4.56","4.56","-25.44","-0.966","0.908","0.005"
"1019","4.56","4.56","-25.44","2.034","0.908","0.005"
"1027","4.56","4.56","-25.44","2.034","0.908","0.005"
"1027","4.56","4.56","-25.44","-1.966","2.908","-1.995"
"1039","4.56","8.56","-23.44","-1.966","2.908","-1.995"
"1039","4.56","8.56","-23.44","2.034","0.908","1.005"
"1051","1.56","5.56","-27.44","2.034","0.908","1.005"
"1051","1.56","5.56","-27.44","1.034","-0.092","0.005"
"1060","4.56","4.56","-26.44","1.034","-0.092","0.005"
"1060","4.56","4.56","-26.44","0.034","-1.092","0.005"
"1068","4.56","4.56","-24.44","0.034","-1.092","0.005"
"1072","4.56","4.56","-24.44","-1.966","0.908","2.005"
"1076","4.56","4.56","-24.44","-1.966","0.908","2.005"
"1076","4.56","4.56","-24.44","-1.966","-2.092","1.005"
"1088","5.56","6.56","-25.44","-1.966","-2.092","1.005"
"1092","5.56","6.56","-25.44","-0.966","-1.092","1.005"
"1100","5.56","9.56","-27.44","-0.966","-1.092","1.005"
"1100","5.56","9.56","-27.44","2.034","-3.092","0.005"
"1109","6.56","4.56","-27.44","2.034","-3.092","0.005"
"1109","6.56","4.56","-27.44","0.034","-1.092","0.005"
"1121","5.56","4.56","-23.44","0.034","-1.092","0.005"
"1121","5.56","4.56","-23.44","-4.966","-2.092","2.005"
"1125","5.56","4.56","-23.44","-4.966","-2.092","2.005"
"1129","5.56","4.56","-23.44","-2.966","0.908","2.005"
"1141","11.56","6.56","-23.44","-2.966","0.908","2.005"
"1141","11.56","6.56","-23.44","-0.966","-3.092","1.005"
"1150","12.56","12.56","-24.44","-0.966","-3.092","1.005"
"1150","12.56","12.56","-24.44","3.034","-2.092","3.005"
"1158","12.56","12.56","-24.44","3.034","-2.092","3.005"
"1162","12.56","12.56","-24.44","0.034","-2.092","0.005"
"1170","4.56","-4.44","-27.44","0.034","-2.092","0.005"
"1170","4.56","-4.44","-27.44","0.034","1.908","0.005"
"1178","4.56","-4.44","-27.44","0.034","1.908","0.005"
"1178","4.56","-4.44","-27.44","-1.966","2.908","-0.995"
"1191","6.56","9.56","-26.44","-1.966","2.908","-0.995"
"1191","6.56","9.56","-26.44","0.034","2.908","1.005"
"1199","4.56","3.56","-24.44","0.034","2.908","1.005"
"1199","4.56","3.56","-24.44","3.034","0.908","1.005"
"1211","-0.44","4.56","-23.44","3.034","0.908","1.005"
"1211","-0.44","4.56","-23.44","1.034","0.908","2.005"
"1219","-7.44","4.56","-28.44","1.034","0.908","2.005"
"1219","-7.44","4.56","-28.44","-0.966","0.908","-0.995"
"1227","-7.44","4.56","-28.44","-0.966","0.908","-0.995"
"1227","-7.44","4.56","-28.44","0.034","1.908","-0.995"
"1240","4.56","29.56","-29.44","0.034","1.908","-0.995"
"1240","4.56","29.56","-29.44","1.034","-0.092","-0.995"
"1252","2.56","24.56","-27.44","1.034","-0.092","-0.995"
"1252","2.56","24.56","-27.44","6.034","-2.092","-0.995"
"1256","2.56","24.56","-27.44","6.034","-2.092","-0.995"
"1260","2.56","24.56","-27.44","2.034","-4.092","2.005"
"1268","1.56","3.56","-27.44","2.034","-4.092","2.005"
"1272","1.56","3.56","-27.44","-8.966","-3.092","1.005"
"1277","1.56","3.56","-27.44","-8.966","-3.092","1.005"
"1277","1.56","3.56","-27.44","-2.966","-2.092","-0.995"
"1289","10.56","8.56","-23.44","-2.966","-2.092","-0.995"
"1293","10.56","8.56","-23.44","-3.966","-3.092","0.005"
"1301","16.56","-2.44","-23.44","-3.966","-3.092","0.005"
"1301","16.56","-2.44","-23.44","-0.966","-5.092","-0.995"
"1309","21.56","-4.44","-24.44","-0.966","-5.092","-0.995"
"1309","21.56","-4.44","-24.44","-2.966","-5.092","-1.995"
"1322","20.56","-4.44","-20.44","-2.966","-5.092","-1.995"
"1322","20.56","-4.44","-20.44","-1.966","-2.092","-2.995"
"1326","20.56","-4.44","-20.44","-1.966","-2.092","-2.995"
"1330","20.56","-4.44","-20.44","-2.966","-3.092","-0.995"
"1342","15.56","-5.44","-22.44","-2.966","-3.092","-0.995"
"1342","15.56","-5.44","-22.44","-2.966","-0.092","-0.995"
"1351","16.56","-2.44","-25.44","-2.966","-0.092","-0.995"
"1351","16.56","-2.44","-25.44","-2.966","0.908","1.005"
"1359","16.56","-2.44","-25.44","-2.966","0.908","1.005"
"1359","16.56","-2.44","-25.44","0.034","2.908","2.005"
"1371","12.56","4.56","-21.44","0.034","2.908","2.005"
"1371","12.56","4.56","-21.44","1.034","1.908","3.005"
"1379","12.56","4.56","-21.44","1.034","1.908","3.005"
"1379","12.56","4.56","-21.44","2.034","3.908","1.005"
"1391","3.56","3.56","-23.44","2.034","3.908","1.005"
"1392","3.56","3.56","-23.44","3.034","4.908","2.005"
"1400","3.56","3.56","-23.44","3.034","4.908","2.005"
"1400","3.56","3.56","-23.44","2.034","7.908","2.005"
"1412","-1.44","14.56","-30.44","2.034","7.908","2.005"
"1412","-1.44","14.56","-30.44","9.034","4.908","4.005"
"1420","-6.44","22.56","-29.44","9.034","4.908","4.005"
"1420","-6.44","22.56","-29.44","6.034","3.908","-1.995"
"1428","-6.44","22.56","-29.44","6.034","3.908","-1.995"
"1428","-6.44","22.56","-29.44","4.034","4.908","0.005"
"1441","-6.44","14.56","-28.44","4.034","4.908","0.005"
"1441","-6.44","14.56","-28.44","1.034","2.908","1.005"
"1449","-0.44","13.56","-27.44","1.034","2.908","1.005"
"1453","-0.44","13.56","-27.44","-0.966","2.908","1.005"
"1457","-2.44","6.56","-29.44","-0.966","2.908","1.005"
"1457","-2.44","6.56","-29.44","-0.966","0.908","-0.995"
"1469","1.56","7.56","-26.44","-0.966","0.908","-0.995"
"1473","1.56","7.56","-26.44","-3.966","0.908","0.005"
"1478","1.56","7.56","-26.44","-3.966","0.908","0.005"
"1478","1.56","7.56","-26.44","-1.966","-0.092","2.005"
"1490","4.56","3.56","-29.44","-1.966","-0.092","2.005"
"1490","4.56","3.56","-29.44","-3.966","-2.092","-0.995"
"1498","7.56","3.56","-25.44","-3.966","-2.092","-0.995"
"1502","7.56","3.56","-25.44","-5.966","-1.092","-0.995"
"1511","10.56","-4.44","-22.44","-5.966","-1.092","-0.995"
"1511","10.56","-4.44","-22.44","-0.966","-4.092","1.005"
"1519","15.56","-1.44","-23.44","-0.966","-4.092","1.005"
"1522","15.56","-1.44","-23.44","-2.966","-1.092","-0.995"
"1527","12.56","-3.44","-22.44","-2.966","-1.092","-0.995"
"1527","12.56","-3.44","-22.44","4.034","-0.092","3.005"
"1539","13.56","-2.44","-22.44","4.034","-0.092","3.005"
"1539","13.56","-2.44","-22.44","1.034","-0.092","0.005"
"1547","13.56","6.56","-26.44","1.034","-0.092","0.005"
"1547","13.56","6.56","-26.44","3.034","0.908","3.005"
"1555","12.56","4.56","-27.44","3.034","0.908","3.005"
"1556","12.56","4.56","-27.44","0.034","0.908","1.005"
"1568","9.56","3.56","-27.44","0.034","0.908","1.005"
"1568","9.56","3.56","-27.44","0.034","-0.092","0.005"
"1576","8.56","4.56","-24.44","0.034","-0.092","0.005"
"1576","8.56","4.56","-24.44","0.034","-0.092","1.005"
"1588","9.56","8.56","-23.44","0.034","-0.092","1.005"
"1588","9.56","8.56","-23.44","3.034","0.908","0.005"
"1596","5.56","13.56","-26.44","3.034","0.908","0.005"
"1596","5.56","13.56","-26.44","2.034","2.908","0.005"
"1609","3.56","11.56","-27.44","2.034","2.908","0.005"
"1609","3.56","11.56","-27.44","0.034","3.908","-0.995"
"1617","0.56","6.56","-27.44","0.034","3.908","-0.995"
"1617","0.56","6.56","-27.44","-0.966","2.908","-1.995"
"1625","4.56","4.56","-19.44","-0.966","2.908","-1.995"
"1625","4.56","4.56","-19.44","-0.966","4.908","0.005"
"1637","-9.44","4.56","-19.44","-0.966","4.908","0.005"
"1638","-9.44","4.56","-19.44","-1.966","-1.092","-0.995"
"1645","-30.44","0.56","-41.44","-1.966","-1.092","-0.995"
"1646","-30.44","0.56","-41.44","0.034","-2.092","-0.995"
"1654","-28.44","18.56","-38.44","0.034","-2.092","-0.995"
"1658","-28.44","18.56","-38.44","3.034","-3.092","3.005"
"1666","-20.44","21.56","-30.44","3.034","-3.092","3.005"
"1666","-20.44","21.56","-30.44","3.034","-8.092","1.005"
"1674","9.56","19.56","-20.44","3.034","-8.092","1.005"
"1678","9.56","19.56","-20.44","-4.966","-11.092","3.005"
"1691","30.56","31.56","-17.44","-4.966","-11.092","3.005"
"1691","30.56","31.56","-17.44","-0.966","-15.092","5.005"
"1699","40.56","12.56","-23.44","-0.966","-15.092","5.005"
"1699","40.56","12.56","-23.44","-4.966","-15.092","5.005"
"1711","54.56","-25.44","-16.44","-4.966","-15.092","5.005"
"1711","54.56","-25.44","-16.44","-15.966","-13.092","2.005"
"1719","77.56","-17.44","-4.44","-15.966","-13.092","2.005"
"1719","77.56","-17.44","-4.44","-8.966","-6.092","5.005"
"1727","76.56","-6.44","-4.44","-8.966","-6.092","5.005"
"1728","76.56","-6.44","-4.44","7.034","-0.092","0.005"
"1740","44.56","-7.44","-16.44","7.034","-0.092","0.005"
"1740","44.56","-7.44","-16.44","5.034","10.908","-0.995"
"1748","0.56","-13.44","-47.44","5.034","10.908","-0.995"
"1752","0.56","-13.44","-47.44","6.034","17.908","-0.995"
"1756","30.56","-19.44","-20.44","6.034","17.908","-0.995"
"1756","30.56","-19.44","-20.44","7.034","11.908","-0.995"
