Timer,AX,AY,AZ,GX,GY,GZ
"1001","9.598","4.598","-22.402","2.044","-0.003","-0.172"
"1012","9.598","9.598","-24.402","2.044","-0.003","-0.172"
"1012","9.598","9.598","-24.402","3.044","-3.003","0.828"
"1020","8.598","8.598","-20.402","3.044","-3.003","0.828"
"1020","8.598","8.598","-20.402","3.044","1.997","0.828"
"1028","7.598","5.598","-21.402","3.044","1.997","0.828"
"1032","7.598","5.598","-21.402","0.044","-0.003","-0.172"
"1040","4.598","2.598","-25.402","0.044","-0.003","-0.172"
"1040","4.598","2.598","-25.402","4.044","-0.003","1.828"
"1049","7.598","7.598","-22.402","4.044","-0.003","1.828"
"1053","7.598","7.598","-22.402","4.044","-1.003","-1.172"
"1061","8.598","8.598","-25.402","4.044","-1.003","-1.172"
"1062","8.598","8.598","-25.402","-1.956","-0.003","-1.172"
"1069","6.598","3.598","-24.402","-1.956","-0.003","-1.172"
"1069","6.598","3.598","-24.402","-2.956","1.997","1.828"
"1081","7.598","2.598","-22.402","-2.956","1.997","1.828"
"1082","7.598","2.598","-22.402","1.044","1.997","1.828"
"1090","6.598","11.598","-25.402","1.044","1.997","1.828"
"1090","6.598","11.598","-25.402","0.044","-0.003","-1.172"
"1102","5.598","5.598","-24.402","0.044","-0.003","-1.172"
"1102","5.598","5.598","-24.402","-2.956","-0.003","-2.172"
"1110","8.598","1.598","-22.402","-2.956","-0.003","-2.172"
"1110","8.598","1.598","-22.402","-2.956","0.997","2.828"
"1118","10.598","9.598","-23.402","-2.956","0.997","2.828"
"1122","10.598","9.598","-23.402","2.044","-1.003","0.828"
"1131","9.598","9.598","-23.402","2.044","-1.003","0.828"
"1131","9.598","9.598","-23.402","2.044","-0.003","0.828"
"1139","11.598","3.598","-22.402","2.044","-0.003","0.828"
"1143","11.598","3.598","-22.402","-4.956","1.997","0.828"
"1151","8.598","0.598","-22.402","-4.956","1.997","0.828"
"1151","8.598","0.598","-22.402","1.044","-2.003","-1.172"
"1159","6.598","10.598","-24.402","1.044","-2.003","-1.172"
"1163","6.598","10.598","-24.402","2.044","-1.003","-0.172"
"1171","9.598","8.598","-24.402","2.044","-1.003","-0.172"
"1172","9.598","8.598","-24.402","-0.956","0.997","0.828"
"1180","9.598","3.598","-23.402","-0.956","0.997","0.828"
"1180","9.598","3.598","-23.402","-1.956","-1.003","-1.172"
"1192","7.598","8.598","-26.402","-1.956","-1.003","-1.172"
"1192","7.598","8.598","-26.402","3.044","2.997","1.828"
"1200","6.598","10.598","-25.402","3.044","2.997","1.828"
"1200","6.598","10.598","-25.402","3.044","-0.003","-2.172"
"1212","8.598","7.598","-23.402","3.044","-0.003","-2.172"
"1213","8.598","7.598","-23.402","0.044","-0.003","-1.172"
"1221","5.598","5.598","-22.402","0.044","-0.003","-1.172"
"1221","5.598","5.598","-22.402","-1.956","2.997","0.828"
"1229","7.598","5.598","-23.402","-1.956","2.997","0.828"
"1233","7.598","5.598","-23.402","1.044","-1.003","0.828"
"1241","7.598","7.598","-24.402","1.044","-1.003","0.828"
"1241","7.598","7.598","-24.402","-1.956","1.997","0.828"
"1249","7.598","6.598","-23.402","-1.956","1.997","0.828"
"1250","7.598","6.598","-23.402","0.044","0.997","-1.172"
"1262","7.598","9.598","-26.402","0.044","0.997","-1.172"
"1262","7.598","9.598","-26.402","0.044","0.997","0.828"
"1270","9.598","6.598","-25.402","0.044","0.997","0.828"
"1270","9.598","6.598","-25.402","-2.956","-0.003","0.828"
"1282","10.598","2.598","-23.402","-2.956","-0.003","0.828"
"1282","10.598","2.598","-23.402","-0.956","-1.003","-0.172"
"1290","8.598","10.598","-23.402","-0.956","-1.003","-0.172"
"1290","8.598","10.598","-23.402","3.044","1.997","0.828"
"1302","10.598","9.598","-22.402","3.044","1.997","0.828"
"1303","10.598","9.598","-22.402","-0.956","-2.003","0.828"
"1311","8.598","4.598","-22.402","-0.956","-2.003","0.828"
"1311","8.598","4.598","-22.402","-1.956","-1.003","-2.172"
"1319","8.598","1.598","-22.402","-1.956","-1.003","-2.172"
"1323","8.598","1.598","-22.402","2.044","0.997","1.828"
"1331","9.598","11.598","-24.402","2.044","0.997","1.828"
"1331","9.598","11.598","-24.402","2.044","-0.003","-0.172"
"1339","6.598","8.598","-25.402","2.044","-0.003","-0.172"
"1343","6.598","8.598","-25.402","1.044","-3.003","-2.172"
"1352","6.598","4.598","-23.402","1.044","-3.003","-2.172"
"1352","6.598","4.598","-23.402","-2.956","-3.003","-1.172"
"1360","7.598","8.598","-23.402","-2.956","-3.003","-1.172"
"1360","7.598","8.598","-23.402","-1.956","-2.003","-0.172"
"1372","5.598","8.598","-24.402","-1.956","-2.003","-0.172"
"1372","5.598","8.598","-24.402","1.044","-1.003","-2.172"
"1380","9.598","8.598","-23.402","1.044","-1.003","-2.172"
"1381","9.598","8.598","-23.402","0.044","1.997","-1.172"
"1393","9.598","7.598","-22.402","0.044","1.997","-1.172"
"1393","9.598","7.598","-22.402","3.044","2.997","0.828"
"1401","9.598","8.598","-22.402","3.044","2.997","0.828"
"1401","9.598","8.598","-22.402","0.044","0.997","0.828"
"1409","7.598","7.598","-25.402","0.044","0.997","0.828"
"1413","7.598","7.598","-25.402","0.044","0.997","0.828"
"1421","8.598","4.598","-20.402","0.044","0.997","0.828"
"1422","8.598","4.598","-20.402","1.044","0.997","-0.172"
"1430","8.598","9.598","-25.402","1.044","0.997","-0.172"
"1434","8.598","9.598","-25.402","2.044","-1.003","1.828"
"1442","7.598","7.598","-27.402","2.044","-1.003","1.828"
"1442","7.598","7.598","-27.402","1.044","-0.003","0.828"
"1450","7.598","3.598","-25.402","1.044","-0.003","0.828"
"1450","7.598","3.598","-25.402","-2.956","0.997","-1.172"
"1462","7.598","8.598","-26.402","-2.956","0.997","-1.172"
"1463","7.598","8.598","-26.402","2.044","1.997","-0.172"
"1471","9.598","7.598","-24.402","2.044","1.997","-0.172"
"1471","9.598","7.598","-24.402","1.044","-2.003","0.828"
"1483","9.598","4.598","-21.402","1.044","-2.003","0.828"
"1483","9.598","4.598","-21.402","-3.956","-4.003","0.828"
"1491","10.598","2.598","-25.402","-3.956","-4.003","0.828"
"1491","10.598","2.598","-25.402","1.044","-0.003","0.828"
"1499","8.598","10.598","-26.402","1.044","-0.003","0.828"
"1503","8.598","10.598","-26.402","4.044","2.997","1.828"
"1512","8.598","8.598","-25.402","4.044","2.997","1.828"
"1512","8.598","8.598","-25.402","-1.956","0.997","-1.172"
"1520","9.598","4.598","-20.402","-1.956","0.997","-1.172"
"1524","9.598","4.598","-20.402","-3.956","-1.003","-0.172"
"1532","7.598","7.598","-23.402","-3.956","-1.003","-0.172"
"1532","7.598","7.598","-23.402","3.044","0.997","0.828"
"1540","7.598","14.598","-25.402","3.044","0.997","0.828"
"1540","7.598","14.598","-25.402","4.044","-0.003","-1.172"
"1553","7.598","8.598","-25.402","4.044","-0.003","-1.172"
"1553","7.598","8.598","-25.402","-1.956","1.997","0.828"
"1561","7.598","3.598","-21.402","-1.956","1.997","0.828"
"1561","7.598","3.598","-21.402","0.044","1.997","-1.172"
"1573","6.598","10.598","-25.402","0.044","1.997","-1.172"
"1573","6.598","10.598","-25.402","2.044","1.997","0.828"
"1581","4.598","10.598","-26.402","2.044","1.997","0.828"
"1581","4.598","10.598","-26.402","-1.956","2.997","-0.172"
"1593","2.598","6.598","-24.402","-1.956","2.997","-0.172"
"1593","2.598","6.598","-24.402","-3.956","3.997","0.828"
"1602","-3.402","5.598","-27.402","-3.956","3.997","0.828"
"1602","-3.402","5.598","-27.402","-1.956","1.997","-0.172"
"1610","-3.402","8.598","-25.402","-1.956","1.997","-0.172"
"1614","-3.402","8.598","-25.402","2.044","-1.003","-1.172"
"1622","-3.402","15.598","-26.402","2.044","-1.003","-1.172"
"1622","-3.402","15.598","-26.402","5.044","-3.003","1.828"
"1630","-10.402","8.598","-22.402","5.044","-3.003","1.828"
"1634","-10.402","8.598","-22.402","-1.956","-5.003","-1.172"
"1643","-21.402","1.598","-37.402","-1.956","-5.003","-1.172"
"1643","-21.402","1.598","-37.402","-7.956","-5.003","-0.172"
"1651","8.598","10.598","-42.402","-7.956","-5.003","-0.172"
"1651","8.598","10.598","-42.402","-0.956","-12.003","-0.172"
"1663","61.598","-5.402","0.598","-0.956","-12.003","-0.172"
"1663","61.598","-5.402","0.598","-3.956","-14.003","-0.172"
"1671","33.598","-2.402","-7.402","-3.956","-14.003","-0.172"
"1672","33.598","-2.402","-7.402","0.044","0.997","1.828"
"1683","4.598","10.598","-33.402","0.044","0.997","1.828"
"1684","4.598","10.598","-33.402","2.044","5.997","4.828"
"1692","1.598","-1.402","-42.402","2.044","5.997","4.828"
"1692","1.598","-1.402","-42.402","-3.956","-0.003","0.828"
"1700","71.598","6.598","-11.402","-3.956","-0.003","0.828"
"1704","71.598","6.598","-11.402","3.044","-7.003","-0.172"
"1712","64.598","29.598","-2.402","3.044","-7.003","-0.172"
"1713","64.598","29.598","-2.402","13.044","-0.003","-3.172"
"1720","62.598","14.598","2.598","13.044","-0.003","-3.172"
"1724","62.598","14.598","2.598","-7.956","11.997","-0.172"
"1733","34.598","-18.402","-27.402","-7.956","11.997","-0.172"
"1733","34.598","-18.402","-27.402","-12.956","12.997","-1.172"
"1741","50.598","-12.402","-40.402","-12.956","12.997","-1.172"
"1745","50.598","-12.402","-40.402","6.044","4.997","-3.172"
"1753","115.598","16.598","43.598","6.044","4.997","-3.172"
"1753","115.598","16.598","43.598","22.044","8.997","-4.172"
"1761","5.598","75.598","-12.402","22.044","8.997","-4.172"
"1762","5.598","75.598","-12.402","22.044","35.997","-0.172"
"1770","5.598","75.598","-12.402","22.044","35.997","-0.172"
"1770","5.598","75.598","-12.402","22.044","35.997","-0.172"
"1782","-157.402","-44.402","-140.402","22.044","35.997","-0.172"
"1782","-157.402","-44.402","-140.402","-40.956","37.997","-2.172"
"1794","-60.402","-63.402","1.598","-40.956","37.997","-2.172"
"1794","-60.402","-63.402","1.598","72.044","12.997","-10.172"
"1802","-231.402","197.598","-154.402","72.044","12.997","-10.172"
"1803","-231.402","197.598","-154.402","65.044","17.997","-4.172"
"1810","14.598","26.598","13.598","65.044","17.997","-4.172"
"1815","14.598","26.598","13.598","-65.956","-35.003","-1.172"
"1819","14.598","26.598","13.598","-65.956","-35.003","-1.172"
"1819","14.598","26.598","13.598","-65.956","-35.003","-1.172"
"1831","-57.402","-95.402","-34.402","-65.956","-35.003","-1.172"
"1831","-57.402","-95.402","-34.402","-47.956","-25.003","-16.172"
"1843","88.598","105.598","24.598","-47.956","-25.003","-16.172"
"1844","88.598","105.598","24.598","45.044","-1.003","-15.172"
"1852","-57.402","130.598","-90.402","45.044","-1.003","-15.172"
"1852","-57.402","130.598","-90.402","1.044","15.997","-8.172"
"1864","81.598","-8.402","-7.402","1.044","15.997","-8.172"
"1864","81.598","-8.402","-7.402","-64.956","-9.003","-4.172"
"1872","-11.402","-7.402","7.598","-64.956","-9.003","-4.172"
"1872","-11.402","-7.402","7.598","-9.956","17.997","4.828"
"1884","-148.402","101.598","-141.402","-9.956","17.997","4.828"
"1884","-148.402","101.598","-141.402","33.044","21.997","-6.172"
"1893","1.598","-46.402","-70.402","33.044","21.997","-6.172"
"1893","1.598","-46.402","-70.402","-68.956","-31.003","-12.172"
"1901","70.598","-43.402","34.598","-68.956","-31.003","-12.172"
"1905","70.598","-43.402","34.598","-6.956","-18.003","-3.172"
"1913","13.598","165.598","-95.402","-6.956","-18.003","-3.172"
"1913","13.598","165.598","-95.402","101.044","-0.003","-14.172"
"1921","13.598","165.598","-95.402","101.044","-0.003","-14.172"
"1921","13.598","165.598","-95.402","101.044","-0.003","-14.172"
"1929","139.598","39.598","4.598","101.044","-0.003","-14.172"
"1930","139.598","39.598","4.598","-40.956","-24.003","-8.172"
"1942","-13.402","107.598","-69.402","-40.956","-24.003","-8.172"
"1946","-13.402","107.598","-69.402","68.044","12.997","-4.172"
"1954","72.598","21.598","11.598","68.044","12.997","-4.172"
"1954","72.598","21.598","11.598","-11.956","-5.003","-6.172"
"1962","-3.402","-44.402","-6.402","-11.956","-5.003","-6.172"
"1962","-3.402","-44.402","-6.402","-20.956","21.997","5.828"
"1970","-3.402","-44.402","-6.402","-20.956","21.997","5.828"
"1971","-3.402","-44.402","-6.402","-20.956","21.997","5.828"
"1979","-41.402","66.598","-33.402","-20.956","21.997","5.828"
"1982","-41.402","66.598","-33.402","27.044","5.997","-2.172"
"1995","-38.402","-13.402","-42.402","27.044","5.997","-2.172"
"1995","-38.402","-13.402","-42.402","4.044","1.997","-10.172"
"2003","-27.402","33.598","-21.402","4.044","1.997","-10.172"
"2003","-27.402","33.598","-21.402","10.044","-22.003","-4.172"
"2011","-87.402","86.598","-122.402","10.044","-22.003","-4.172"
"2015","-87.402","86.598","-122.402","10.044","-22.003","-4.172"
"2019","-87.402","86.598","-122.402","10.044","-22.003","-4.172"
"2023","-87.402","86.598","-122.402","27.044","-16.003","-7.172"
"2028","75.598","95.598","-42.402","27.044","-16.003","-7.172"
"2032","75.598","95.598","-42.402","-12.956","-55.003","-0.172"
"2044","20.598","-5.402","-80.402","-12.956","-55.003","-0.172"
"2044","20.598","-5.402","-80.402","-40.956","-49.003","-6.172"
"2052","133.598","9.598","-36.402","-40.956","-49.003","-6.172"
"2052","133.598","9.598","-36.402","-13.956","12.997","0.828"
"2064","90.598","-91.402","20.598","-13.956","12.997","0.828"
"2065","90.598","-91.402","20.598","-14.956","-1.003","6.828"
"2069","90.598","-91.402","20.598","-14.956","-1.003","6.828"
"2073","90.598","-91.402","20.598","-27.956","5.997","-8.172"
"2081","-57.402","-1.402","-78.402","-27.956","5.997","-8.172"
"2081","-57.402","-1.402","-78.402","27.044","36.997","-6.172"
"2093","-120.402","-29.402","-47.402","27.044","36.997","-6.172"
"2093","-120.402","-29.402","-47.402","29.044","27.997","-1.172"
"2101","-209.402","40.598","-160.402","29.044","27.997","-1.172"
"2105","-209.402","40.598","-160.402","-3.956","20.997","-10.172"
"2114","-4.402","85.598","-96.402","-3.956","20.997","-10.172"
"2114","-4.402","85.598","-96.402","14.044","-0.003","-0.172"
"2122","-4.402","85.598","-96.402","14.044","-0.003","-0.172"
"2122","-4.402","85.598","-96.402","27.044","-50.003","-0.172"
"2130","200.598","57.598","39.598","27.044","-50.003","-0.172"
"2130","200.598","57.598","39.598","8.044","-86.003","-11.172"
"2142","104.598","-25.402","16.598","8.044","-86.003","-11.172"
"2143","104.598","-25.402","16.598","-19.956","-46.003","2.828"
"2155","-35.402","-42.402","-30.402","-19.956","-46.003","2.828"
"2155","-35.402","-42.402","-30.402","-22.956","19.997","24.828"
"2163","-122.402","-31.402","-145.402","-22.956","19.997","24.828"
"2163","-122.402","-31.402","-145.402","-7.956","35.997","18.828"
"2171","-122.402","-31.402","-145.402","-7.956","35.997","18.828"
"2171","-122.402","-31.402","-145.402","11.044","0.997","10.828"
"2179","353.598","80.598","91.598","11.044","0.997","10.828"
"2183","353.598","80.598","91.598","43.044","-61.003","-0.172"
"2192","-84.402","49.598","-30.402","43.044","-61.003","-0.172"
"2195","-84.402","49.598","-30.402","27.044","5.997","-10.172"
"2204","-308.402","1.598","-213.402","27.044","5.997","-10.172"
"2204","-308.402","1.598","-213.402","-30.956","86.997","28.828"
"2212","417.598","-168.402","133.598","-30.956","86.997","28.828"
"2216","417.598","-168.402","133.598","-80.956","19.997","28.828"
"2220","417.598","-168.402","133.598","-80.956","19.997","28.828"
"2224","417.598","-168.402","133.598","0.044","-90.003","-10.172"
"2228","323.598","55.598","218.598","0.044","-90.003","-10.172"
"2232","323.598","55.598","218.598","136.044","-2.003","-4.172"
"2245","337.598","-245.402","132.598","136.044","-2.003","-4.172"
"2245","337.598","-245.402","132.598","21.044","82.997","33.828"
"2253","220.598","-254.402","199.598","21.044","82.997","33.828"
"2257","220.598","-254.402","199.598","-147.956","-54.003","15.828"
"2265","-30.402","187.598","-206.402","-147.956","-54.003","15.828"
"2265","-30.402","187.598","-206.402","4.044","-20.003","-11.172"
"2269","-30.402","187.598","-206.402","4.044","-20.003","-11.172"
"2273","-30.402","187.598","-206.402","135.044","41.997","12.828"
"2281","38.598","-231.402","119.598","135.044","41.997","12.828"
"2282","38.598","-231.402","119.598","-78.956","-4.003","2.828"
"2294","222.598","284.598","-45.402","-78.956","-4.003","2.828"
"2294","222.598","284.598","-45.402","-21.956","25.997","2.828"
"2302","126.598","179.598","-28.402","-21.956","25.997","2.828"
"2306","126.598","179.598","-28.402","153.044","-23.003","-2.172"
"2314","16.598","-77.402","-55.402","153.044","-23.003","-2.172"
"2315","16.598","-77.402","-55.402","-65.956","8.997","0.828"
"2322","16.598","-77.402","-55.402","-65.956","8.997","0.828"
"2323","16.598","-77.402","-55.402","-69.956","28.997","15.828"
"2331","-18.402","54.598","-104.402","-69.956","28.997","15.828"
"2331","-18.402","54.598","-104.402","44.044","21.997","12.828"
"2343","83.598","11.598","-73.402","44.044","21.997","12.828"
"2343","83.598","11.598","-73.402","0.044","-8.003","-2.172"
"2355","-48.402","-3.402","-86.402","0.044","-8.003","-2.172"
"2355","-48.402","-3.402","-86.402","3.044","-4.003","18.828"
"2364","69.598","-92.402","5.598","3.044","-4.003","18.828"
"2364","69.598","-92.402","5.598","3.044","15.997","15.828"
"2372","69.598","-92.402","5.598","3.044","15.997","15.828"
"2372","69.598","-92.402","5.598","0.044","-24.003","3.828"
"2380","153.598","-27.402","40.598","0.044","-24.003","3.828"
"2380","153.598","-27.402","40.598","52.044","-16.003","9.828"
"2392","153.598","-143.402","26.598","52.044","-16.003","9.828"
"2396","153.598","-143.402","26.598","-2.956","4.997","16.828"
"2404","6.598","-46.402","-31.402","-2.956","4.997","16.828"
"2405","6.598","-46.402","-31.402","-27.956","-3.003","18.828"
"2413","71.598","153.598","-55.402","-27.956","-3.003","18.828"
"2417","71.598","153.598","-55.402","69.044","12.997","24.828"
"2421","71.598","153.598","-55.402","69.044","12.997","24.828"
"2421","71.598","153.598","-55.402","75.044","-3.003","18.828"
"2429","94.598","-3.402","-6.402","75.044","-3.003","18.828"
"2429","94.598","-3.402","-6.402","-54.956","8.997","28.828"
"2446","28.598","66.598","-20.402","-54.956","8.997","28.828"
"2446","28.598","66.598","-20.402","-51.956","12.997","33.828"
"2454","69.598","166.598","-18.402","-51.956","12.997","33.828"
"2454","69.598","166.598","-18.402","66.044","2.997","19.828"
"2466","26.598","77.598","-76.402","66.044","2.997","19.828"
"2466","26.598","77.598","-76.402","81.044","2.997","13.828"
"2470","26.598","77.598","-76.402","81.044","2.997","13.828"
"2474","26.598","77.598","-76.402","-27.956","6.997","23.828"
"2478","80.598","-38.402","9.598","-27.956","6.997","23.828"
"2482","80.598","-38.402","9.598","-33.956","4.997","25.828"
"2495","53.598","119.598","-45.402","-33.956","4.997","25.828"
"2495","53.598","119.598","-45.402","44.044","-2.003","21.828"
"2503","96.598","13.598","10.598","44.044","-2.003","21.828"
"2503","96.598","13.598","10.598","16.044","1.997","29.828"
"2515","58.598","-80.402","-6.402","16.044","1.997","29.828"
"2515","58.598","-80.402","-6.402","-57.956","1.997","34.828"
"2523","58.598","-80.402","-6.402","-57.956","1.997","34.828"
"2523","58.598","-80.402","-6.402","-33.956","3.997","31.828"
"2531","46.598","-24.402","-33.402","-33.956","3.997","31.828"
"2532","46.598","-24.402","-33.402","17.044","7.997","27.828"
"2544","61.598","-1.402","3.598","17.044","7.997","27.828"
"2544","61.598","-1.402","3.598","24.044","1.997","22.828"
"2556","12.598","5.598","-14.402","24.044","1.997","22.828"
