Timer,AX,AY,AZ,GX,GY,GZ
"1006","0.776","-5.224","-29.224","-3.781","0.88","-0.156"
"1006","0.776","-5.224","-29.224","1.219","-0.12","0.844"
"1014","-7.224","8.776","-37.224","1.219","-0.12","0.844"
"1014","-7.224","8.776","-37.224","5.219","-0.12","0.844"
"1026","-0.224","0.776","-27.224","5.219","-0.12","0.844"
"1026","-0.224","0.776","-27.224","-1.781","-0.12","-1.156"
"1035","-0.224","-8.224","-26.224","-1.781","-0.12","-1.156"
"1035","-0.224","-8.224","-26.224","-4.781","3.88","-0.156"
"1042","-2.224","0.776","-32.224","-4.781","3.88","-0.156"
"1047","-2.224","0.776","-32.224","2.219","3.88","1.844"
"1055","-5.224","2.776","-41.224","2.219","3.88","1.844"
"1055","-5.224","2.776","-41.224","3.219","-0.12","2.844"
"1063","-0.224","1.776","-23.224","3.219","-0.12","2.844"
"1067","-0.224","1.776","-23.224","0.219","-1.12","-0.156"
"1075","3.776","-3.224","-27.224","0.219","-1.12","-0.156"
"1076","3.776","-3.224","-27.224","0.219","-2.12","-0.156"
"1084","-5.224","-0.224","-31.224","0.219","-2.12","-0.156"
"1084","-5.224","-0.224","-31.224","0.219","1.88","-0.156"
"1096","1.776","-1.224","-25.224","0.219","1.88","-0.156"
"1096","1.776","-1.224","-25.224","-1.781","2.88","0.844"
"1104","2.776","-1.224","-27.224","-1.781","2.88","0.844"
"1104","2.776","-1.224","-27.224","3.219","-0.12","1.844"
"1116","-1.224","-0.224","-31.224","3.219","-0.12","1.844"
"1116","-1.224","-0.224","-31.224","3.219","-0.12","-1.156"
"1125","-7.224","-1.224","-32.224","3.219","-0.12","-1.156"
"1125","-7.224","-1.224","-32.224","0.219","-0.12","0.844"
"1133","-1.224","-5.224","-26.224","0.219","-0.12","0.844"
"1137","-1.224","-5.224","-26.224","0.219","-0.12","-1.156"
"1145","-0.224","-1.224","-33.224","0.219","-0.12","-1.156"
"1145","-0.224","-1.224","-33.224","1.219","0.88","0.844"
"1153","-3.224","-1.224","-31.224","1.219","0.88","0.844"
"1157","-3.224","-1.224","-31.224","0.219","1.88","-0.156"
"1166","-6.224","-1.224","-29.224","0.219","1.88","-0.156"
"1166","-6.224","-1.224","-29.224","-2.781","-0.12","0.844"
"1174","-12.224","-3.224","-35.224","-2.781","-0.12","0.844"
"1174","-12.224","-3.224","-35.224","0.219","-0.12","0.844"
"1186","7.776","3.776","-29.224","0.219","-0.12","0.844"
"1186","7.776","3.776","-29.224","3.219","-1.12","2.844"
"1194","-6.224","-5.224","-34.224","3.219","-1.12","2.844"
"1194","-6.224","-5.224","-34.224","-2.781","1.88","0.844"
"1206","-4.224","-3.224","-38.224","-2.781","1.88","0.844"
