Timer,X,Y,Z
"979","3702","8293","5333"
"979","3702","8293","5333"
"979","3702","8293","5333"
"979","3702","8293","5333"
"1040","3713","8319","5324"
"1040","3713","8319","5324"
"1040","3713","8319","5324"
"1040","3713","8319","5324"
"1040","3713","8319","5324"
"1040","3713","8319","5324"
"1101","3950","8485","5642"
"1101","3950","8485","5642"
"1101","3950","8485","5642"
"1101","3950","8485","5642"
"1101","3950","8485","5642"
"1101","3950","8485","5642"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1159","3833","8436","5531"
"1274","4178","9015","786"
"1274","4178","9015","786"
"1274","4178","9015","786"
"1274","4178","9015","786"
"1274","4178","9015","786"
"1274","4178","9015","786"
"1335","3764","8384","5425"
"1335","3764","8384","5425"
"1335","3764","8384","5425"
"1335","3764","8384","5425"
"1335","3764","8384","5425"
"1335","3764","8384","5425"
"1396","3884","8456","5570"
"1396","3884","8456","5570"
"1396","3884","8456","5570"
"1396","3884","8456","5570"
"1396","3884","8456","5570"
"1396","3884","8456","5570"
"1454","3848","8401","5494"
"1454","3848","8401","5494"
"1454","3848","8401","5494"
"1454","3848","8401","5494"
"1454","3848","8401","5494"
"1454","3848","8401","5494"
"1515","3714","8341","5418"
"1515","3714","8341","5418"
"1515","3714","8341","5418"
"1515","3714","8341","5418"
"1515","3714","8341","5418"
"1515","3714","8341","5418"
"1577","3820","8382","5536"
"1577","3820","8382","5536"
"1577","3820","8382","5536"
"1577","3820","8382","5536"
"1577","3820","8382","5536"
"1577","3820","8382","5536"
"1638","3828","8381","5520"
"1638","3828","8381","5520"
"1638","3828","8381","5520"
"1638","3828","8381","5520"
"1638","3828","8381","5520"
"1638","3828","8381","5520"
"1699","3929","8476","5560"
"1699","3929","8476","5560"
"1699","3929","8476","5560"
"1699","3929","8476","5560"
"1699","3929","8476","5560"
"1699","3929","8476","5560"
"1699","3929","8476","5560"
"1761","3880","8446","5568"
"1761","3880","8446","5568"
"1761","3880","8446","5568"
"1761","3880","8446","5568"
"1761","3880","8446","5568"
"1818","3683","8310","5347"
"1818","3683","8310","5347"
"1818","3683","8310","5347"
"1818","3683","8310","5347"
"1818","3683","8310","5347"
"1818","3683","8310","5347"
"1880","3712","8341","5385"
"1880","3712","8341","5385"
"1880","3712","8341","5385"
"1880","3712","8341","5385"
"1880","3712","8341","5385"
"1880","3712","8341","5385"
"1880","3712","8341","5385"
"1941","3191","8470","391"
"1941","3191","8470","391"
"1941","3191","8470","391"
"1941","3191","8470","391"
"1941","3191","8470","391"
"1941","3191","8470","391"
"2003","3833","8361","5556"
"2003","3833","8361","5556"
"2003","3833","8361","5556"
"2003","3833","8361","5556"
"2003","3833","8361","5556"
"2003","3833","8361","5556"
"2064","3854","8422","5515"
"2064","3854","8422","5515"
"2064","3854","8422","5515"
"2064","3854","8422","5515"
"2064","3854","8422","5515"
"2064","3854","8422","5515"
"2121","3851","8419","5494"
"2121","3851","8419","5494"
"2121","3851","8419","5494"
"2121","3851","8419","5494"
"2121","3851","8419","5494"
"2121","3851","8419","5494"
"2183","3267","8512","252"
"2183","3267","8512","252"
"2183","3267","8512","252"
"2183","3267","8512","252"
"2183","3267","8512","252"
"2183","3267","8512","252"
"2244","3678","8298","5183"
"2244","3678","8298","5183"
"2244","3678","8298","5183"
"2244","3678","8298","5183"
"2244","3678","8298","5183"
"2302","3804","8442","5494"
"2302","3804","8442","5494"
"2302","3804","8442","5494"
"2302","3804","8442","5494"
"2302","3804","8442","5494"
"2302","3804","8442","5494"
"2302","3804","8442","5494"
"2363","3774","8350","5500"
"2363","3774","8350","5500"
"2363","3774","8350","5500"
"2363","3774","8350","5500"
"2363","3774","8350","5500"
"2363","3774","8350","5500"
"2424","3890","8435","5536"
"2424","3890","8435","5536"
"2424","3890","8435","5536"
"2424","3890","8435","5536"
"2424","3890","8435","5536"
"2482","3813","8357","5552"
"2482","3813","8357","5552"
"2482","3813","8357","5552"
"2482","3813","8357","5552"
"2482","3813","8357","5552"
"2482","3813","8357","5552"
"2482","3813","8357","5552"
"2543","3811","8385","5507"
"2543","3811","8385","5507"
"2543","3811","8385","5507"
"2543","3811","8385","5507"
"2543","3811","8385","5507"
"2543","3811","8385","5507"
"2604","3908","8423","5547"
"2604","3908","8423","5547"
"2604","3908","8423","5547"
"2604","3908","8423","5547"
"2604","3908","8423","5547"
"2662","3898","8477","5597"
"2662","3898","8477","5597"
"2662","3898","8477","5597"
"2662","3898","8477","5597"
"2662","3898","8477","5597"
"2662","3898","8477","5597"
"2662","3898","8477","5597"
"2723","3929","8433","5603"
"2723","3929","8433","5603"
"2723","3929","8433","5603"
"2723","3929","8433","5603"
"2723","3929","8433","5603"
"2723","3929","8433","5603"
"2785","3943","8471","5571"
"2785","3943","8471","5571"
"2785","3943","8471","5571"
"2785","3943","8471","5571"
"2785","3943","8471","5571"
"2785","3943","8471","5571"
"2842","3870","8421","5526"
"2842","3870","8421","5526"
"2842","3870","8421","5526"
"2842","3870","8421","5526"
"2842","3870","8421","5526"
"2904","3798","8349","5492"
"2904","3798","8349","5492"
"2904","3798","8349","5492"
"2904","3798","8349","5492"
"2904","3798","8349","5492"
"2904","3798","8349","5492"
"2904","3798","8349","5492"
"2965","3875","8424","5529"
"2965","3875","8424","5529"
"2965","3875","8424","5529"
"2965","3875","8424","5529"
