Timer,AX,AY,AZ,GX,GY,GZ
"4","3","12.2","-34","-23.7","0.4","-0.4"
"4","3.1","9.7","-33.6","-30.8","-0.2","-1"
"12","3.2","7.2","-33.2","-36.3","-1.3","-1.7"
"12","3.2","3.6","-32.7","-41.8","-2.4","-2.4"
"25","3.2","0","-32.2","-44.7","-3.7","-3.1"
"25","2.9","-2.5","-31.8","-47.6","-5","-3.8"
"33","2.6","-5","-31.4","-47.1","-5.9","-4.2"
"33","3.5","-6.9","-30.5","-46.6","-6.8","-4.6"
"45","4.4","-8.8","-29.6","-43.2","-8.6","-5.2"
"45","5.4","-8.9","-29.1","-39.8","-10.4","-5.8"
"53","6.4","-9","-28.6","-33.7","-11.7","-6.2"
"53","7.7","-7.6","-28.3","-27.6","-13","-6.6"
"61","9","-6.2","-28","-20.3","-13.2","-7"
"65","10.2","-3","-28.1","-13","-13.4","-7.4"
"74","11.4","0.2","-28.2","-6.6","-12.7","-7.4"
"74","11.9","3","-28.8","-0.2","-12","-7.4"
"86","12.4","5.8","-29.4","3.5","-10.5","-7.3"
"86","12.7","8","-30","7.2","-9","-7.2"
"94","13","10.2","-30.6","7.8","-6.5","-6.2"
"94","12.7","11","-30.7","8.4","-4","-5.2"
"102","12.4","11.8","-30.8","5.9","-1.5","-4.1"
"102","11.3","11.4","-31.4","3.4","1","-3"
"115","10.2","11","-32","-0.7","3.5","-1.6"
"115","9.3","9.8","-31.9","-4.8","6","-0.2"
"123","8.4","8.6","-31.8","-9.2","7.2","0.8"
"123","7.9","7.5","-31.8","-13.6","8.4","1.8"
"135","7.4","6.4","-31.8","-16.8","8.6","2.3"
"135","7","5.2","-31.4","-20","8.8","2.8"
"143","6.6","4","-31","-22.5","7.8","2.5"
"144","6.7","3.5","-31","-25","6.8","2.2"
"151","6.8","3","-31","-26","5.4","1.7"
"156","7.4","2","-30.3","-27","4","1.2"
"164","8","1","-29.6","-27","2.6","0.4"
"164","8.3","0.6","-29.6","-27","1.2","-0.4"
"172","8.6","0.2","-29.6","-26.1","0.9","-1.1"
"172","8.6","0.5","-29.4","-25.2","0.6","-1.8"
"184","8.6","0.8","-29.2","-24.3","0.8","-2"
"184","8.9","1.6","-29.3","-23.4","1","-2.2"
"192","9.2","2.4","-29.4","-22","1.5","-1.6"
"193","9.4","3.2","-29.3","-20.6","2","-1"
"205","9.6","4","-29.2","-20.1","2.5","-0.4"
"205","9.2","5.8","-29.8","-19.6","3","0.2"
"213","8.8","7.6","-30.4","-19.7","3.8","0.8"
"213","8.6","8.5","-30.6","-19.8","4.6","1.4"
"221","8.4","9.4","-30.8","-20.8","5","1.7"
"225","8.4","8.5","-31.2","-21.8","5.4","2"
"234","8.4","7.6","-31.6","-23.3","5.4","2"
"234","8.1","5.2","-31.6","-24.8","5.4","2"
"242","7.8","2.8","-31.6","-26","4.6","0.9"
"246","7.5","-0.3","-31.3","-27.2","3.8","-0.2"
"254","7.2","-3.4","-31","-25.5","2.6","-1.4"
"254","7.3","-7.2","-30","-23.8","1.4","-2.6"
"262","7.4","-11","-29","-19","0","-3.8"
"262","7.6","-13.1","-28.4","-14.2","-1.4","-5"
"274","7.8","-15.2","-27.8","-6.6","-2.5","-5.6"
"275","8.1","-15.1","-27.3","1","-3.6","-6.2"
"283","8.4","-15","-26.8","10.3","-4.4","-6.8"
"283","9.3","-12.3","-26.5","19.6","-5.2","-7.4"
"295","10.2","-9.6","-26.2","28.9","-4.7","-6.8"
"295","10.5","-5.7","-27.1","38.2","-4.2","-6.2"
"303","10.8","-1.8","-28","44.1","-2.6","-5"
"303","10.4","2.2","-29.4","50","-1","-3.8"
"311","10","6.2","-30.8","51.6","0.9","-2.3"
"315","9.3","8.8","-31.5","53.2","2.8","-0.8"
"324","8.6","11.4","-32.2","50.6","4.1","0.9"
"324","7.5","11.9","-32.2","48","5.4","2.6"
"332","6.4","12.4","-32.2","43","6.2","4.2"
"336","4.7","11.8","-32.6","38","7","5.8"
"344","3","11.2","-33","33.1","7.2","6.6"
"344","2.1","9.6","-32.3","28.2","7.4","7.4"
"352","1.2","8","-31.6","25.1","6.8","7.5"
"352","0.9","6.8","-31","22","6.2","7.6"
"364","0.6","5.6","-30.4","21","5.2","6.9"
"365","1.1","5.8","-30.3","20","4.2","6.2"
"373","1.6","6","-30.2","21.3","3.2","5.1"
"373","2.6","7.9","-30.6","22.6","2.2","4"
"385","3.6","9.8","-31","24.3","1.3","3.1"
"385","4.9","12","-31.2","26","0.4","2.2"
"393","6.2","14.2","-31.4","25.3","0","1.4"
"393","7","15.9","-31.8","24.6","-0.4","0.6"
"401","7.8","17.6","-32.2","20.5","-0.5","0.2"
"405","8.1","18.6","-32.4","16.4","-0.6","-0.2"
"414","8.4","19.6","-32.6","9.1","-0.7","-0.2"
"414","8","18.5","-32.6","1.8","-0.8","-0.2"
"422","7.6","17.4","-32.6","-7.9","-0.5","0"
"426","7","14.1","-32.5","-17.6","-0.2","0.2"
"434","6.4","10.8","-32.4","-27.8","0.3","0.1"
"434","5.3","7.3","-32.1","-38","0.8","0"
"442","4.2","3.8","-31.8","-45.5","0.4","-0.4"
"443","4.1","1","-31.8","-53","0","-0.8"
"455","4","-1.8","-31.8","-56","-0.7","-0.9"
"455","4.5","-4.1","-31","-59","-1.4","-1"
"463","5","-6.4","-30.2","-58.1","-2.8","-1.6"
"463","5.9","-8.1","-29.6","-57.2","-4.2","-2.2"
"475","6.8","-9.8","-29","-52.5","-5.4","-3.1"
"475","7.5","-10.1","-28.4","-47.8","-6.6","-4"
"483","8.2","-10.4","-27.8","-40.2","-7.2","-4.7"
"483","8.8","-10.2","-27.6","-32.6","-7.8","-5.4"
"495","9.4","-10","-27.4","-24.2","-7.1","-5.5"
"495","9.4","-8.9","-27.3","-15.8","-6.4","-5.6"
"504","9.4","-7.8","-27.2","-8","-5.3","-5.8"
"504","9.2","-6.1","-28.2","-0.2","-4.2","-6"
"512","9","-4.4","-29.2","6.6","-2.3","-5.3"
"516","8.3","-2.4","-29.9","13.4","-0.4","-4.6"
"524","7.6","-0.4","-30.6","18.4","0.6","-4.1"
"524","7.3","1.7","-31.5","23.4","1.6","-3.6"
"532","7","3.8","-32.4","26","2.1","-3.2"
"532","7","4.9","-32.9","28.6","2.6","-2.8"
"545","7","6","-33.4","29.1","2.1","-2.5"
"545","6.8","6.2","-33.3","29.6","1.6","-2.2"
"553","6.6","6.4","-33.2","28.8","1.2","-2.2"
"553","6.3","6.4","-32.9","28","0.8","-2.2"
"561","6","6.4","-32.6","26.8","-0.1","-2.7"
"565","5.7","6.3","-32.6","25.6","-1","-3.2"
"573","5.4","6.2","-32.6","24.1","-1.4","-3.8"
"573","5.4","6.1","-32.2","22.6","-1.8","-4.4"
"582","5.4","6","-31.8","21.4","-2.2","-4.6"
"586","5.5","6.2","-31.5","20.2","-2.6","-4.8"
"594","5.6","6.4","-31.2","19.2","-2.5","-5"
"594","6","6.6","-31","18.2","-2.4","-5.2"
"602","6.4","6.8","-30.8","17.1","-2.8","-5.5"
"606","7","6.7","-30.4","16","-3.2","-5.8"
"614","7.6","6.6","-30","14.7","-3.4","-5.4"
"614","7.6","6.6","-29.9","13.4","-3.6","-5"
"622","7.6","6.6","-29.8","11.7","-3","-4"
"623","7.3","6.4","-29.9","10","-2.4","-3"
"635","7","6.2","-30","8","-1.8","-2.3"
"635","6.5","5.7","-30.1","6","-1.2","-1.6"
"643","6","5.2","-30.2","3.7","-0.8","-0.7"
"643","6","4.6","-30.3","1.4","-0.4","0.2"
"651","6","4","-30.4","-0.7","-0.2","1.4"
"655","5.4","3.5","-30.8","-2.8","0","2.6"
"663","4.8","3","-31.2","-4.3","0.6","3"
"663","5.4","2.1","-30.9","-5.8","1.2","3.4"
"672","6","1.2","-30.6","-6.7","1","2.9"
"676","6.2","0.7","-30.8","-7.6","0.8","2.4"
"684","6.4","0.2","-31","-7.5","0.1","1.6"
"684","6.4","0.2","-30.7","-7.4","-0.6","0.8"
"692","6.4","0.2","-30.4","-6","-1.5","-0.4"
"696","5.7","0.6","-30.4","-4.6","-2.4","-1.6"
"704","5","1","-30.4","-2.5","-2.8","-2.7"
"704","4.8","1.4","-30","-0.4","-3.2","-3.8"
"713","4.6","1.8","-29.6","0.7","-3.6","-4.6"
"713","4.1","2.6","-30.1","1.8","-4","-5.4"
"725","3.6","3.4","-30.6","2.6","-3.4","-5.1"
"725","3.3","3.4","-30.4","3.4","-2.8","-4.8"
"733","3","3.4","-30.2","3.5","-2","-4"
"733","3.3","3.2","-30.3","3.6","-1.2","-3.2"
"741","3.6","3","-30.4","3.5","-0.3","-2.3"
"745","4.2","2.6","-30.5","3.4","0.6","-1.4"
"754","4.8","2.2","-30.6","2.8","1.8","-0.7"
"754","5","1.9","-30.9","2.2","3","0"
"762","5.2","1.6","-31.2","2.9","3.7","0.8"
"766","5","1.5","-31","3.6","4.4","1.6"
"774","4.8","1.4","-30.8","4.7","3.9","1.8"
"774","5","1.8","-30.8","5.8","3.4","2"
"782","5.2","2.2","-30.8","7.1","3.3","2"
"782","4.9","2.4","-31.2","8.4","3.2","2"
"794","4.6","2.6","-31.6","9.2","2.8","2"
"795","4.4","2.7","-31.6","10","2.4","2"
"803","4.2","2.8","-31.6","10.5","1.7","2"
"803","4.2","3.1","-31.7","11","1","2"
"815","4.2","3.4","-31.8","11","0.5","1.6"
"815","4.5","3.4","-31.7","11","0","1.2"
"823","4.8","3.4","-31.6","11.2","0","1.1"
"823","4.9","3.4","-31.4","11.4","0","1"
"831","5","3.4","-31.2","11.5","-0.2","0.9"
"835","5","4.1","-31.1","11.6","-0.4","0.8"
"844","5","4.8","-31","11.6","-0.2","0.9"
"844","4.5","5.5","-31.4","11.6","0","1"
"852","4","6.2","-31.8","10.9","0.1","1.1"
"856","3.8","6.2","-31.8","10.2","0.2","1.2"
"864","3.6","6.2","-31.8","8.6","0.4","1.3"
"864","3.5","5.9","-31.8","7","0.6","1.4"
"872","3.4","5.6","-31.8","4.5","0.5","1.2"
"876","3.2","5.1","-31.8","2","0.4","1"
"885","3","4.6","-31.8","-0.4","0.2","0.5"
"885","2.9","3.8","-31.9","-2.8","0","0"
"893","2.8","3","-32","-4.9","0","-0.8"
"893","3","2.4","-31.9","-7","0","-1.6"
"905","3.2","1.8","-31.8","-7.9","-0.3","-2.5"
"905","3.4","1.5","-31.6","-8.8","-0.6","-3.4"
"913","3.6","1.2","-31.4","-8.6","-1","-3.9"
"913","3.7","1.1","-31","-8.4","-1.4","-4.4"
"922","3.8","1","-30.6","-7.4","-0.9","-4"
"926","3.4","1.3","-30.7","-6.4","-0.4","-3.6"
"934","3","1.6","-30.8","-5.1","0.3","-3"
"934","3","1.7","-30.8","-3.8","1","-2.4"
"942","3","1.8","-30.8","-2.2","1.3","-1.7"
"946","2.8","2","-30.7","-0.6","1.6","-1"
"954","2.6","2.2","-30.6","0.3","2.4","-0.3"
"954","2.7","2.5","-30.6","1.2","3.2","0.4"
"962","2.8","2.8","-30.6","2","3.7","1.1"
"962","2.4","3.2","-31.3","2.8","4.2","1.8"
"975","2","3.6","-32","2.5","3.9","1.7"
"975","2","4.2","-32.1","2.2","3.6","1.6"
"983","2","4.8","-32.2","1.5","3.1","1.1"
"983","2.2","5.4","-31.7","0.8","2.6","0.6"
"995","2.4","6","-31.2","-0.5","1.9","0.1"
"995","2.7","6.2","-31.1","-1.8","1.2","-0.4"
"1004","3","6.4","-31","-3.1","0.3","-0.8"
"1004","2.5","6.1","-30.8","-4.4","-0.6","-1.2"
"1012","2","5.8","-30.6","-6.2","-1","-2.1"
"1016","2.2","5.1","-29.9","-8","-1.4","-3"
"1024","2.4","4.4","-29.2","-8.8","-2.1","-3.5"
"1024","2.7","3.1","-28.9","-9.6","-2.8","-4"
"1032","3","1.8","-28.6","-10.1","-3","-4.1"
"1036","3.2","0.6","-28.3","-10.6","-3.2","-4.2"
"1044","3.4","-0.6","-28","-10.2","-3.2","-4.2"
"1044","3.5","-1.3","-27.7","-9.8","-3.2","-4.2"
"1053","3.6","-2","-27.4","-8.5","-2.8","-4"
"1053","4.1","-2.1","-27.6","-7.2","-2.4","-3.8"
"1065","4.6","-2.2","-27.8","-5","-1.8","-2.8"
"1065","4.4","-1.9","-28.5","-2.8","-1.2","-1.8"
"1073","4.2","-1.6","-29.2","-0.5","0.1","-1.5"
"1073","3.9","-0.5","-29.6","1.8","1.4","-1.2"
"1085","3.6","0.6","-30","3.9","1.9","-0.7"
"1085","3.3","1.7","-30.8","6","2.4","-0.2"
"1094","3","2.8","-31.6","7.4","2.5","0.3"
"1094","2.5","3.6","-32","8.8","2.6","0.8"
"1102","2","4.4","-32.4","9.3","2.6","1"
"1106","1.7","5.1","-32.2","9.8","2.6","1.2"
"1114","1.4","5.8","-32","9.5","2.3","0.7"
"1114","1.5","6.4","-31.9","9.2","2","0.2"
"1122","1.6","7","-31.8","8.4","1.1","0"
"1122","1.5","6.8","-31.9","7.6","0.2","-0.2"
"1135","1.4","6.6","-32","6.9","-0.3","-0.4"
"1135","1.2","6.3","-31.8","6.2","-0.8","-0.6"
