Timer,AX,AY,AZ,GX,GY,GZ
"1005","-2.07","-0.0699999999999998","-32.07","-0.857","2.026","0.891"
"1005","-2.07","-0.0699999999999998","-32.07","0.143","0.026","0.891"
"1013","-2.07","-3.07","-36.07","0.143","0.026","0.891"
"1014","-2.07","-3.07","-36.07","3.143","0.026","-1.109"
"1021","-2.07","-2.07","-29.07","3.143","0.026","-1.109"
"1025","-2.07","-2.07","-29.07","-2.857","0.026","-1.109"
"1034","-2.07","-2.07","-36.07","-2.857","0.026","-1.109"
"1034","-2.07","-2.07","-36.07","-1.857","0.026","-2.109"
"1042","-2.07","-2.07","-36.07","-1.857","0.026","-2.109"
"1042","-2.07","-2.07","-36.07","-2.857","3.026","-0.109"
"1054","-2.07","-2.07","-32.07","-2.857","3.026","-0.109"
"1054","-2.07","-2.07","-32.07","-2.857","4.026","-2.109"
"1062","-2.07","-2.07","-34.07","-2.857","4.026","-2.109"
"1062","-2.07","-2.07","-34.07","0.143","2.026","-0.109"
"1075","-1.07","-3.07","-33.07","0.143","2.026","-0.109"
"1075","-1.07","-3.07","-33.07","-1.857","2.026","0.891"
"1083","-1.07","-1.07","-33.07","-1.857","2.026","0.891"
"1083","-1.07","-1.07","-33.07","0.143","0.026","-0.109"
"1091","-1.07","-1.07","-33.07","0.143","0.026","-0.109"
"1091","-1.07","-1.07","-33.07","4.143","-0.974","-1.109"
"1103","-1.07","-2.07","-32.07","4.143","-0.974","-1.109"
"1104","-1.07","-2.07","-32.07","2.143","1.026","-2.109"
"1111","-2.07","-0.0699999999999998","-32.07","2.143","1.026","-2.109"
"1116","-2.07","-0.0699999999999998","-32.07","-0.857","-1.974","-1.109"
"1124","-2.07","-0.0699999999999998","-32.07","-0.857","-1.974","-1.109"
"1124","-2.07","-0.0699999999999998","-32.07","0.143","0.026","-0.109"
"1132","-1.07","-4.07","-32.07","0.143","0.026","-0.109"
"1136","-1.07","-4.07","-32.07","-0.857","1.026","-1.109"
"1140","-1.07","-4.07","-32.07","-0.857","1.026","-1.109"
