Timer,AX,AY,AZ,GX,GY,GZ,A
"2","1","2","0","1","2","0","359.9375"
"14","1","2","0","1","2","0","359.9375"
"14","1","2","0","1","2","0","359.9375"
"14","1","2","0","1","2","0","359.9375"
"22","1","2","0","1","2","0","359.9375"
"38","0","0","0","0","0","0","0.3125"
"43","0","0","0","0","0","0","0.3125"
"47","0","5","0","0","5","0","0.3125"
"47","0","5","0","0","5","0","0.3125"
"60","1","2","0","1","2","0","359.9375"
"60","1","2","0","1","2","0","359.9375"
"60","1","2","0","1","2","0","359.9375"
"63","-1","0","0","-1","0","0","359.9375"
"67","-1","0","0","-1","0","0","359.9375"
"67","-1","0","0","-1","0","0","359.9375"
"75","-1","0","0","-1","0","0","359.9375"
"82","2","-1","0","2","-1","0","359.9375"
"96","0","0","0","0","0","0","359.9375"
"96","0","0","0","0","0","0","359.9375"
"110","0","1","0","0","1","0","359.9375"
"110","0","1","0","0","1","0","359.9375"
"113","1","1","0","1","1","0","359.9375"
"115","1","1","0","1","1","0","359.9375"
"116","1","1","0","1","1","0","359.9375"
"137","1","1","0","1","1","0","359.9375"
"146","1","3","0","1","3","0","359.9375"
"148","2","1","0","2","1","0","359.9375"
"154","2","1","0","2","1","0","359.9375"
"166","0","1","0","0","1","0","359.9375"
"166","0","1","0","0","1","0","359.9375"
"166","0","1","0","0","1","0","359.9375"
"173","-1","0","0","-1","0","0","359.9375"
"174","-1","0","0","-1","0","0","359.9375"
"180","-1","2","0","-1","2","0","359.9375"
"182","-1","2","0","-1","2","0","359.9375"
"186","-1","2","0","-1","2","0","359.9375"
"200","4","0","0","4","0","0","359.9375"
"211","1","-1","0","1","-1","0","359.9375"
"211","1","-1","0","1","-1","0","359.9375"
"217","0","0","0","0","0","0","359.9375"
"217","0","0","0","0","0","0","359.9375"
"222","0","0","0","0","0","0","359.9375"
"235","0","0","0","0","0","0","359.9375"
"241","1","0","0","1","0","0","359.9375"
"243","1","0","0","1","0","0","359.9375"
"249","3","2","0","3","2","0","359.9375"
"251","3","2","0","3","2","0","359.9375"
"255","3","2","0","3","2","0","359.9375"
"264","3","2","0","3","2","0","359.9375"
"270","3","2","0","3","2","0","359.9375"
"272","3","2","0","3","2","0","359.9375"
"276","3","2","0","3","2","0","359.9375"
"284","3","2","0","3","2","0","359.9375"
"305","3","2","0","3","2","0","359.9375"
"305","3","2","0","3","2","0","359.9375"
"313","3","-1","0","3","-1","0","359.9375"
"313","3","-1","0","3","-1","0","359.9375"
"313","3","-1","0","3","-1","0","359.9375"
"313","3","-1","0","3","-1","0","359.9375"
"313","3","-1","0","3","-1","0","359.9375"
"321","3","-1","0","3","-1","0","359.9375"
"325","3","-1","0","3","-1","0","359.9375"
