Timer,X,Y,Z
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"37","3370","2284","1101"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"94","3318","2331","853"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"151","3556","2150","2488"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"204","3402","2275","1312"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
"259","3523","2116","2740"
