Timer,AX,AY,AZ,GX,GY,GZ,A
"30","2","0","1","2","0","1","0.4375"
"30","2","0","1","2","0","1","0.4375"
"37","0","-1","1","0","-1","1","0.4375"
"37","0","-1","1","0","-1","1","0.4375"
"43","0","2","1","0","2","1","0.4375"
"43","0","2","1","0","2","1","0.4375"
"49","0","0","1","0","0","1","0.4375"
"49","0","0","1","0","0","1","0.4375"
"57","0","-2","1","0","-2","1","0.4375"
"57","0","-2","1","0","-2","1","0.4375"
"63","1","0","1","1","0","1","0.4375"
"63","1","0","1","1","0","1","0.4375"
"71","2","-1","1","2","-1","1","0.4375"
"71","2","-1","1","2","-1","1","0.4375"
"79","2","0","1","2","0","1","0.4375"
"79","2","0","1","2","0","1","0.4375"
"87","-3","2","1","-3","2","1","0.4375"
"87","-3","2","1","-3","2","1","0.4375"
"95","-1","1","1","-1","1","1","0.4375"
"95","-1","1","1","-1","1","1","0.4375"
"102","0","1","1","0","1","1","0.4375"
"102","0","1","1","0","1","1","0.4375"
"110","0","1","1","0","1","1","0.4375"
"111","0","1","1","0","1","1","0.4375"
"117","2","-2","1","2","-2","1","0.4375"
"118","2","-2","1","2","-2","1","0.4375"
"124","2","0","1","2","0","1","0.4375"
"124","2","0","1","2","0","1","0.4375"
"130","-1","0","1","-1","0","1","0.4375"
"130","-1","0","1","-1","0","1","0.4375"
"137","-1","0","1","-1","0","1","0.4375"
"137","-1","0","1","-1","0","1","0.4375"
"144","-1","2","1","-1","2","1","0.4375"
"145","-1","2","1","-1","2","1","0.4375"
"151","1","-3","1","1","-3","1","0.4375"
"152","1","-3","1","1","-3","1","0.4375"
"157","1","2","1","1","2","1","0.4375"
"157","1","2","1","1","2","1","0.4375"
"163","2","2","1","2","2","1","0.4375"
"163","2","2","1","2","2","1","0.4375"
"169","1","-1","1","1","-1","1","0.4375"
"169","1","-1","1","1","-1","1","0.4375"
"175","1","-1","1","1","-1","1","0.4375"
"175","1","-1","1","1","-1","1","0.4375"
"181","0","2","1","0","2","1","0.4375"
"181","0","2","1","0","2","1","0.4375"
"187","-2","0","1","-2","0","1","0.4375"
"187","-2","0","1","-2","0","1","0.4375"
"193","-1","3","1","-1","3","1","0.4375"
"193","-1","3","1","-1","3","1","0.4375"
"199","-1","-2","1","-1","-2","1","0.4375"
"199","-1","-2","1","-1","-2","1","0.4375"
"205","0","1","1","0","1","1","0.4375"
"205","0","1","1","0","1","1","0.4375"
"210","1","0","1","1","0","1","0.4375"
"210","1","0","1","1","0","1","0.4375"
"216","1","0","1","1","0","1","0.4375"
"216","1","0","1","1","0","1","0.4375"
"222","-2","-2","1","-2","-2","1","0.4375"
"223","-2","-2","1","-2","-2","1","0.4375"
"228","3","-2","1","3","-2","1","0.4375"
"228","3","-2","1","3","-2","1","0.4375"
