Timer,X,Y,Z
"975","3310","3881","4257"
"975","3310","3881","4257"
"975","3310","3881","4257"
"975","3310","3881","4257"
"975","3310","3881","4257"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1033","3325","3880","4224"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1094","3359","3903","4256"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1155","3315","3921","4257"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1209","2893","4019","1262"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1270","3286","3895","4189"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1331","3311","3921","4270"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1389","3350","3918","4195"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1450","3286","3918","4198"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1512","3339","3904","4174"
"1569","3311","3893","4255"
"1569","3311","3893","4255"
"1569","3311","3893","4255"
"1569","3311","3893","4255"
"1569","3311","3893","4255"
"1569","3311","3893","4255"
