Timer,X,Y,Z
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
"5","3534","4683","1165"
