Timer,AX,AY,AZ,GX,GY,GZ,A
"15","-2","-9","-24","-2","1","1","263.25"
"15","-2","-9","-24","1","-1","1","263.25"
"23","0","-5","-24","1","-1","1","263.25"
"27","0","-5","-24","-1","-1","1","263.25"
"35","-2","-7","-23","-1","-1","1","263.25"
"36","-2","-7","-23","3","2","1","263.25"
"44","-1","-6","-28","3","2","1","263.25"
"47","-1","-6","-28","3","0","1","263.25"
"56","0","1","-27","3","0","1","263.25"
"56","0","1","-27","5","-3","1","263.25"
"64","2","-2","-23","5","-3","1","263.25"
"64","2","-2","-23","0","-4","1","263.25"
"72","-2","3","-24","0","-4","1","263.25"
"77","-2","3","-24","0","-1","1","263.25"
"85","-6","7","-28","0","-1","1","263.25"
"85","-6","7","-28","-2","-1","1","263.25"
"93","-1","6","-28","-2","-1","1","263.25"
"97","-1","6","-28","-3","-2","1","263.25"
"105","5","-1","-22","-3","-2","1","263.25"
"106","5","-1","-22","-1","-1","1","263.25"
"113","2","7","-21","-1","-1","1","263.25"
"117","2","7","-21","-2","0","1","263.25"
"126","0","2","-25","-2","0","1","263.25"
"126","0","2","-25","0","-1","1","263.25"
"134","0","-4","-27","0","-1","1","263.25"
"134","0","-4","-27","-2","0","1","263.25"
"146","5","-6","-25","-2","0","1","263.25"
"146","5","-6","-25","4","-2","1","263.25"
"155","5","-5","-27","4","-2","1","263.25"
"155","5","-5","-27","0","-2","1","263.25"
"163","7","-3","-18","0","-2","1","263.25"
"166","7","-3","-18","2","-2","1","263.25"
"175","-2","-4","-27","2","-2","1","263.25"
"175","-2","-4","-27","-4","1","1","263.25"
"183","-2","-8","-26","-4","1","1","263.25"
"187","-2","-8","-26","1","-1","1","263.25"
"195","0","-9","-22","1","-1","1","263.25"
"196","0","-9","-22","1","-1","1","263.25"
"204","-5","1","-28","1","-1","1","263.25"
"207","-5","1","-28","4","0","1","263.25"
"216","-4","1","-29","4","0","1","263.25"
"216","-4","1","-29","2","0","1","263.25"
"224","1","2","-23","2","0","1","263.25"
"224","1","2","-23","2","-3","1","263.25"
"236","5","0","-21","2","-3","1","263.25"
"237","5","0","-21","-4","-3","1","263.25"
"245","1","6","-21","-4","-3","1","263.25"
"245","1","6","-21","1","-2","1","263.25"
"253","-1","10","-27","1","-2","1","263.25"
"257","-1","10","-27","0","3","1","263.25"
"265","-8","1","-28","0","3","1","263.25"
"265","-8","1","-28","-1","1","1","263.25"
"273","0","2","-28","-1","1","1","263.25"
"277","0","2","-28","1","-2","1","263.25"
"286","12","7","-15","1","-2","1","263.25"
"286","12","7","-15","0","-6","1","263.25"
"294","16","-3","-12","0","-6","1","263.25"
"298","16","-3","-12","-4","-2","1","263.25"
"306","3","-19","-30","-4","-2","1","263.25"
"306","3","-19","-30","-5","2","1","263.25"
"314","5","-14","-28","-5","2","1","263.25"
"314","5","-14","-28","-1","2","1","263.25"
"326","11","-9","-18","-1","2","1","263.25"
"326","11","-9","-18","2","3","1","263.25"
"335","2","-4","-22","2","3","1","263.25"
"335","2","-4","-22","-1","5","1","263.25"
"343","-5","-13","-27","-1","5","1","263.25"
"347","-5","-13","-27","0","2","1","263.25"
"355","4","-11","-26","0","2","1","263.25"
"355","4","-11","-26","1","0","1","263.25"
"363","0","-5","-26","1","0","1","263.25"
"367","0","-5","-26","2","2","1","263.25"
"375","-7","0","-23","2","2","1","263.25"
