Timer,X,Y,Z
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"23","3523","2704","769"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"80","3575","2489","3618"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"142","3494","2689","757"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"203","3544","2470","3577"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"265","3526","2686","748"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"326","3486","2696","778"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"384","3512","2697","731"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"445","3515","2697","748"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
"507","3589","2470","3612"
