Timer,X,Y,Z
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
"51","3544","2667","754"
