Timer,AX,AY,AZ,GX,GY,GZ
"0","10","7","-24","1","3","1"
"0","10","7","-24","3","-2","-1"
"0","-4","-10","-40","3","-2","-1"
"0","-4","-10","-40","-1","1","2"
"0","-4","-10","-40","-1","1","2"
"0","-4","-10","-40","-2","1","1"
"0","3","12","-20","-2","1","1"
"0","3","12","-20","4","1","-2"
"0","-7","-4","-49","4","1","-2"
"1","-7","-4","-49","1","4","1"
"1","-7","-4","-49","1","4","1"
"1","-7","-4","-49","1","2","0"
"1","-9","-2","-26","1","2","0"
"1","-9","-2","-26","10","1","2"
"1","-3","-2","-26","10","1","2"
"1","-3","-2","-26","2","2","1"
"1","0","7","-41","2","2","1"
"1","0","7","-41","6","-1","1"
"1","3","7","-29","6","-1","1"
"1","3","7","-29","-1","3","-1"
"1","6","-6","-28","-1","3","-1"
"1","6","-6","-28","-1","2","0"
"1","-5","-13","-33","-1","2","0"
"2","-5","-13","-33","2","6","0"
"2","3","6","-40","2","6","0"
"2","3","6","-40","9","3","0"
"2","-11","-2","-35","9","3","0"
"2","-11","-2","-35","-1","6","0"
"2","9","-16","-27","-1","6","0"
"2","9","-16","-27","-2","0","0"
"2","-14","-3","-45","-2","0","0"
"2","-14","-3","-45","4","2","1"
"2","-12","17","-38","4","2","1"
"2","-12","17","-38","5","1","-1"
"2","5","24","-28","5","1","-1"
"2","5","24","-28","12","1","1"
"2","-13","2","-41","12","1","1"
"2","-13","2","-41","-3","6","1"
"3","8","-9","-15","-3","6","1"
"3","8","-9","-15","-5","2","-1"
"3","2","2","-37","-5","2","-1"
"3","2","2","-37","2","5","2"
"3","-1","-1","-35","2","5","2"
"3","-1","-1","-35","1","0","-2"
"3","-5","12","-26","1","0","-2"
"3","-5","12","-26","5","-1","0"
"3","-4","-3","-40","5","-1","0"
"3","-4","-3","-40","-1","1","0"
"3","15","1","-27","-1","1","0"
"3","15","1","-27","1","0","1"
"3","-15","3","-22","1","0","1"
"3","-15","3","-22","-2","6","3"
"3","-1","-1","-23","-2","6","3"
"3","-1","-1","-23","3","-1","1"
"3","-1","-1","-36","3","-1","1"
"4","-1","-1","-36","3","1","0"
"4","5","-9","-15","3","1","0"
"4","5","-9","-15","-4","0","-1"
"4","-6","-1","-24","-4","0","-1"
