Timer,AX,AY,AZ,GX,GY,GZ
"1006","-3","-6","-32","1","1","-1"
"1007","-3","-6","-32","0","1","3"
"1018","-1","-6","-32","0","1","3"
"1019","-1","-6","-32","-2","1","1"
"1027","-2","-9","-30","-2","1","1"
"1027","-2","-9","-30","2","-1","-2"
"1035","-2","-8","-28","2","-1","-2"
"1039","-2","-8","-28","2","1","2"
"1047","0","-7","-29","2","1","2"
"1047","0","-7","-29","2","1","2"
"1055","-3","-8","-32","2","1","2"
"1059","-3","-8","-32","3","1","2"
"1068","-3","-7","-29","3","1","2"
"1068","-3","-7","-29","-4","0","0"
"1076","-2","-6","-30","-4","0","0"
"1076","-2","-6","-30","-1","2","0"
"1088","-1","-7","-29","-1","2","0"
"1088","-1","-7","-29","-4","3","-2"
"1096","-4","-8","-28","-4","3","-2"
"1097","-4","-8","-28","-4","3","-2"
"1109","-2","-7","-30","-4","3","-2"
"1109","-2","-7","-30","-2","2","-2"
"1117","-1","-8","-32","-2","2","-2"
"1117","-1","-8","-32","-2","3","2"
"1125","-3","-5","-28","-2","3","2"
"1129","-3","-5","-28","-4","0","-2"
"1137","-1","-7","-28","-4","0","-2"
"1137","-1","-7","-28","1","2","-1"
"1146","-1","-7","-31","1","2","-1"
"1149","-1","-7","-31","1","2","-1"
"1158","-1","-6","-30","1","2","-1"
"1158","-1","-6","-30","2","-2","1"
"1166","-2","-8","-30","2","-2","1"
"1166","-2","-8","-30","0","1","-1"
"1178","0","-7","-29","0","1","-1"
"1178","0","-7","-29","-1","0","1"
"1187","0","-6","-30","-1","0","1"
"1187","0","-6","-30","-1","1","2"
"1195","-1","-9","-31","-1","1","2"
"1199","-1","-9","-31","-1","1","2"
"1207","-4","-8","-30","-1","1","2"
"1207","-4","-8","-30","-3","2","0"
"1215","-1","-6","-28","-3","2","0"
"1219","-1","-6","-28","1","0","0"
"1228","-3","-7","-32","1","0","0"
"1228","-3","-7","-32","-2","1","2"
"1236","-2","-7","-28","-2","1","2"
"1236","-2","-7","-28","1","1","0"
"1248","-3","-7","-31","1","1","0"
"1248","-3","-7","-31","1","1","0"
"1256","-1","-5","-31","1","1","0"
"1256","-1","-5","-31","3","0","1"
"1268","-2","-7","-32","3","0","1"
"1268","-2","-7","-32","-1","0","1"
"1277","-1","-8","-28","-1","0","1"
"1277","-1","-8","-28","2","-2","0"
"1285","-2","-6","-30","2","-2","0"
"1289","-2","-6","-30","1","-2","0"
