Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0
0,003;-0,02088;0,02817;-0,25632;;-0,00003;0,00004;-0,00038;;0,00000;0,00000;0,00000;;1003;-2,128128128;2,871871872;-26,12812813
0,005;-0,02088;0,02817;-0,25632;;-0,00007;0,00010;-0,00090;;0,00000;0,00000;0,00000;;1005;-2,128128128;2,871871872;-26,12812813
0,012;-0,02088;0,02817;-0,25632;;-0,00022;0,00030;-0,00269;;0,00000;0,00000;-0,00001;;1012;-2,128128128;2,871871872;-26,12812813
0,012;-0,02088;0,02817;-0,25632;;-0,00022;0,00030;-0,00269;;0,00000;0,00000;-0,00001;;1012;-2,128128128;2,871871872;-26,12812813
0,024;-0,00126;0,04779;-0,22689;;-0,00035;0,00075;-0,00559;;0,00000;0,00001;-0,00006;;1024;-0,128128128;4,871871872;-23,12812813
0,024;-0,00126;0,04779;-0,22689;;-0,00035;0,00075;-0,00559;;0,00000;0,00001;-0,00006;;1024;-0,128128128;4,871871872;-23,12812813
0,036;-0,01107;0,04779;-0,25632;;-0,00043;0,00133;-0,00849;;-0,00001;0,00002;-0,00015;;1036;-1,128128128;4,871871872;-26,12812813
0,036;-0,01107;0,04779;-0,25632;;-0,00043;0,00133;-0,00849;;-0,00001;0,00002;-0,00015;;1036;-1,128128128;4,871871872;-26,12812813
0,044;-0,02088;0,03798;-0,21708;;-0,00055;0,00167;-0,01038;;-0,00001;0,00003;-0,00022;;1044;-2,128128128;3,871871872;-22,12812813
0,044;-0,02088;0,03798;-0,21708;;-0,00055;0,00167;-0,01038;;-0,00001;0,00003;-0,00022;;1044;-2,128128128;3,871871872;-22,12812813
0,052;-0,01107;0,03798;-0,26613;;-0,00068;0,00197;-0,01232;;-0,00002;0,00005;-0,00031;;1052;-1,128128128;3,871871872;-27,12812813
0,057;-0,01107;0,03798;-0,26613;;-0,00074;0,00216;-0,01365;;-0,00002;0,00006;-0,00038;;1057;-1,128128128;3,871871872;-27,12812813
0,065;-0,01107;0,03798;-0,26613;;-0,00083;0,00247;-0,01578;;-0,00003;0,00008;-0,00050;;1065;-1,128128128;3,871871872;-27,12812813
0,065;-0,01107;0,03798;-0,26613;;-0,00083;0,00247;-0,01578;;-0,00003;0,00008;-0,00050;;1065;-1,128128128;3,871871872;-27,12812813
0,073;-0,01107;0,04779;-0,24651;;-0,00091;0,00281;-0,01783;;-0,00003;0,00010;-0,00063;;1073;-1,128128128;4,871871872;-25,12812813
0,077;-0,01107;0,04779;-0,24651;;-0,00096;0,00300;-0,01881;;-0,00004;0,00011;-0,00071;;1077;-1,128128128;4,871871872;-25,12812813
0,085;0,00855;0,03798;-0,26613;;-0,00097;0,00334;-0,02086;;-0,00005;0,00013;-0,00086;;1085;0,871871872;3,871871872;-27,12812813
0,085;0,00855;0,03798;-0,26613;;-0,00097;0,00334;-0,02086;;-0,00005;0,00013;-0,00086;;1085;0,871871872;3,871871872;-27,12812813
0,093;-0,01107;0,04779;-0,28575;;-0,00098;0,00369;-0,02307;;-0,00005;0,00016;-0,00104;;1093;-1,128128128;4,871871872;-29,12812813
