Timer,AX,AY,AZ,GX,GY,GZ
"1004","-2,07","-3,07","-34,07","1,143","-0,974","-0,109"
"1012","-2,07","-0,0699999999999998","-34,07","1,143","-0,974","-0,109"
"1012","-2,07","-0,0699999999999998","-34,07","3,143","3,026","-0,109"
"1020","-2,07","-1,07","-35,07","3,143","3,026","-0,109"
"1021","-2,07","-1,07","-35,07","-0,857","1,026","-0,109"
"1033","-1,07","-3,07","-32,07","-0,857","1,026","-0,109"
"1033","-1,07","-3,07","-32,07","-0,857","0,026","-1,109"
"1041","-1,07","-0,0699999999999998","-30,07","-0,857","0,026","-1,109"
"1041","-1,07","-0,0699999999999998","-30,07","0,143","-1,974","0,891"
"1053","-2,07","-0,0699999999999998","-38,07","0,143","-1,974","0,891"
"1053","-2,07","-0,0699999999999998","-38,07","-0,857","-0,974","-0,109"
"1061","-1,07","-3,07","-33,07","-0,857","-0,974","-0,109"
"1062","-1,07","-3,07","-33,07","3,143","0,026","-0,109"
"1069","-1,07","-3,07","-32,07","3,143","0,026","-0,109"
"1073","-1,07","-3,07","-32,07","1,143","-0,974","-2,109"
"1082","-1,07","1,93","-33,07","1,143","-0,974","-2,109"
"1082","-1,07","1,93","-33,07","0,143","1,026","-2,109"
"1090","-2,07","-1,07","-32,07","0,143","1,026","-2,109"
"1094","-2,07","-1,07","-32,07","-1,857","2,026","-0,109"
"1102","-2,07","-5,07","-34,07","-1,857","2,026","-0,109"
"1102","-2,07","-5,07","-34,07","-2,857","1,026","1,891"
"1111","-2,07","-0,0699999999999998","-32,07","-2,857","1,026","1,891"
"1111","-2,07","-0,0699999999999998","-32,07","-1,857","0,026","-2,109"
"1123","-1,07","-0,0699999999999998","-34,07","-1,857","0,026","-2,109"
"1123","-1,07","-0,0699999999999998","-34,07","0,143","1,026","-0,109"
"1131","-1,07","-2,07","-31,07","0,143","1,026","-0,109"
"1131","-1,07","-2,07","-31,07","-1,857","-0,974","-0,109"
"1139","-1,07","-2,07","-31,07","-1,857","-0,974","-0,109"
"1143","-1,07","-2,07","-31,07","3,143","-0,974","-0,109"
"1151","-2,07","-1,07","-35,07","3,143","-0,974","-0,109"
"1152","-2,07","-1,07","-35,07","0,143","2,026","-0,109"
"1160","-2,07","-2,07","-35,07","0,143","2,026","-0,109"
"1164","-2,07","-2,07","-35,07","1,143","0,026","0,891"
"1172","-1,07","-2,07","-34,07","1,143","0,026","0,891"
"1172","-1,07","-2,07","-34,07","-0,857","1,026","-0,109"
"1180","-2,07","-1,07","-33,07","-0,857","1,026","-0,109"
"1184","-2,07","-1,07","-33,07","-0,857","0,026","-1,109"
"1192","-2,07","-2,07","-32,07","-0,857","0,026","-1,109"
"1193","-2,07","-2,07","-32,07","-0,857","1,026","-1,109"
"1201","-2,07","-2,07","-35,07","-0,857","1,026","-1,109"
"1201","-2,07","-2,07","-35,07","-0,857","0,026","-2,109"
"1213","-3,07","-2,07","-32,07","-0,857","0,026","-2,109"
"1213","-3,07","-2,07","-32,07","0,143","0,026","-0,109"
"1221","-2,07","-0,0699999999999998","-34,07","0,143","0,026","-0,109"
"1221","-2,07","-0,0699999999999998","-34,07","-2,857","-0,974","-1,109"
"1229","-1,07","-1,07","-33,07","-2,857","-0,974","-1,109"
"1233","-1,07","-1,07","-33,07","-1,857","-1,974","-0,109"
"1242","-2,07","-6,07","-32,07","-1,857","-1,974","-0,109"
"1242","-2,07","-6,07","-32,07","1,143","-1,974","-2,109"
"1250","-2,07","-0,0699999999999998","-34,07","1,143","-1,974","-2,109"
"1254","-2,07","-0,0699999999999998","-34,07","3,143","1,026","0,891"
"1262","-1,07","-2,07","-33,07","3,143","1,026","0,891"
"1262","-1,07","-2,07","-33,07","1,143","0,026","1,891"
"1270","-2,07","-3,07","-31,07","1,143","0,026","1,891"
"1270","-2,07","-3,07","-31,07","-1,857","1,026","-0,109"
"1283","-3,07","1,93","-31,07","-1,857","1,026","-0,109"
"1283","-3,07","1,93","-31,07","3,143","-0,974","1,891"
"1291","-2,07","-0,0699999999999998","-31,07","3,143","-0,974","1,891"
"1291","-2,07","-0,0699999999999998","-31,07","1,143","1,026","-1,109"
"1303","-0,0699999999999998","-1,07","-37,07","1,143","1,026","-1,109"
"1303","-0,0699999999999998","-1,07","-37,07","0,143","1,026","0,891"
"1311","-2,07","-2,07","-33,07","0,143","1,026","0,891"
"1311","-2,07","-2,07","-33,07","-0,857","2,026","-1,109"
"1319","-2,07","0,93","-31,07","-0,857","2,026","-1,109"
"1324","-2,07","0,93","-31,07","0,143","2,026","0,891"
"1332","-2,07","-2,07","-35,07","0,143","2,026","0,891"
"1332","-2,07","-2,07","-35,07","0,143","1,026","-1,109"
"1340","-2,07","-2,07","-31,07","0,143","1,026","-1,109"
"1344","-2,07","-2,07","-31,07","-1,857","0,026","-1,109"
"1352","-2,07","-1,07","-33,07","-1,857","0,026","-1,109"
"1352","-2,07","-1,07","-33,07","-1,857","-0,974","-0,109"
"1360","-2,07","-0,0699999999999998","-33,07","-1,857","-0,974","-0,109"
"1361","-2,07","-0,0699999999999998","-33,07","0,143","-1,974","-1,109"
"1373","-3,07","-2,07","-33,07","0,143","-1,974","-1,109"
"1373","-3,07","-2,07","-33,07","-2,857","0,026","0,891"
"1381","-2,07","-1,07","-31,07","-2,857","0,026","0,891"
"1381","-2,07","-1,07","-31,07","-0,857","-0,974","-0,109"
"1393","-0,0699999999999998","2,93","-35,07","-0,857","-0,974","-0,109"
"1393","-0,0699999999999998","2,93","-35,07","-3,857","2,026","-2,109"
