Timer,AX,AY,AZ,GX,GY,GZ,A
"90","0","2","1","0","2","1","358.6875"
"96","-1","-1","1","-1","-1","1","358.6875"
"96","-1","-1","1","-1","-1","1","358.6875"
"102","-1","1","1","-1","1","1","358.6875"
"102","-1","1","1","-1","1","1","358.6875"
"108","-2","-1","1","-2","-1","1","358.6875"
"109","-2","-1","1","-2","-1","1","358.6875"
"116","-3","-2","1","-3","-2","1","358.6875"
"116","-3","-2","1","-3","-2","1","358.6875"
"122","1","-1","1","1","-1","1","358.6875"
"122","1","-1","1","1","-1","1","358.6875"
"128","2","-1","1","2","-1","1","358.6875"
"128","2","-1","1","2","-1","1","358.6875"
"134","-1","1","1","-1","1","1","358.6875"
"134","-1","1","1","-1","1","1","358.6875"
"140","2","-2","1","2","-2","1","358.6875"
"140","2","-2","1","2","-2","1","358.6875"
"146","2","1","1","2","1","1","358.6875"
"146","2","1","1","2","1","1","358.6875"
"152","-3","0","1","-3","0","1","358.6875"
"152","-3","0","1","-3","0","1","358.6875"
"158","-5","-2","1","-5","-2","1","358.6875"
"158","-5","-2","1","-5","-2","1","358.6875"
"164","-1","1","1","-1","1","1","358.6875"
"164","-1","1","1","-1","1","1","358.6875"
"170","-2","0","1","-2","0","1","358.6875"
"170","-2","0","1","-2","0","1","358.6875"
"177","-3","0","1","-3","0","1","358.6875"
"177","-3","0","1","-3","0","1","358.6875"
"183","-1","-1","1","-1","-1","1","358.6875"
"183","-1","-1","1","-1","-1","1","358.6875"
"189","-3","-1","1","-3","-1","1","358.6875"
"189","-3","-1","1","-3","-1","1","358.6875"
"195","-4","0","1","-4","0","1","358.6875"
"195","-4","0","1","-4","0","1","358.6875"
"201","-5","-1","1","-5","-1","1","358.6875"
"201","-5","-1","1","-5","-1","1","358.6875"
"208","1","0","1","1","0","1","358.6875"
"208","1","0","1","1","0","1","358.6875"
"214","0","2","1","0","2","1","358.6875"
"214","0","2","1","0","2","1","358.6875"
"220","-1","2","1","-1","2","1","358.6875"
"220","-1","2","1","-1","2","1","358.6875"
"226","0","-2","1","0","-2","1","358.6875"
"226","0","-2","1","0","-2","1","358.6875"
"232","0","-2","1","0","-2","1","358.6875"
"232","0","-2","1","0","-2","1","358.6875"
"237","-3","2","1","-3","2","1","358.6875"
"237","-3","2","1","-3","2","1","358.6875"
"243","2","1","1","2","1","1","358.6875"
"244","2","1","1","2","1","1","358.6875"
"249","-2","-2","1","-2","-2","1","358.6875"
"249","-2","-2","1","-2","-2","1","358.6875"
"255","-1","0","1","-1","0","1","358.6875"
"256","-1","0","1","-1","0","1","358.6875"
"262","-2","1","1","-2","1","1","358.6875"
"263","-2","1","1","-2","1","1","358.6875"
"269","3","0","1","3","0","1","358.6875"
"269","3","0","1","3","0","1","358.6875"
"276","3","1","1","3","1","1","358.6875"
"276","3","1","1","3","1","1","358.6875"
"283","0","0","1","0","0","1","358.6875"
"283","0","0","1","0","0","1","358.6875"
"291","0","-4","1","0","-4","1","358.6875"
"291","0","-4","1","0","-4","1","358.6875"
"298","1","-2","1","1","-2","1","358.6875"
"298","1","-2","1","1","-2","1","358.6875"
"304","0","1","1","0","1","1","358.6875"
"304","0","1","1","0","1","1","358.6875"
"311","-2","0","1","-2","0","1","358.6875"
"311","-2","0","1","-2","0","1","358.6875"
"317","-2","-1","1","-2","-1","1","358.6875"
"317","-2","-1","1","-2","-1","1","358.6875"
"323","-1","2","1","-1","2","1","358.6875"
"323","-1","2","1","-1","2","1","358.6875"
"329","2","-1","1","2","-1","1","358.6875"
"329","2","-1","1","2","-1","1","358.6875"
"335","-5","-1","1","-5","-1","1","358.6875"
"335","-5","-1","1","-5","-1","1","358.6875"
"341","-3","-2","1","-3","-2","1","358.6875"
"341","-3","-2","1","-3","-2","1","358.6875"
"347","-3","-3","1","-3","-3","1","358.6875"
"347","-3","-3","1","-3","-3","1","358.6875"
"353","-1","-2","1","-1","-2","1","358.6875"
"353","-1","-2","1","-1","-2","1","358.6875"
"359","1","0","1","1","0","1","358.6875"
"359","1","0","1","1","0","1","358.6875"
"365","2","0","1","2","0","1","358.6875"
"365","2","0","1","2","0","1","358.6875"
"371","1","-2","1","1","-2","1","358.6875"
"371","1","-2","1","1","-2","1","358.6875"
"377","1","-1","1","1","-1","1","358.6875"
"377","1","-1","1","1","-1","1","358.6875"
"383","0","-1","1","0","-1","1","358.6875"
"383","0","-1","1","0","-1","1","358.6875"
"390","-2","0","1","-2","0","1","358.6875"
"390","-2","0","1","-2","0","1","358.6875"
"396","0","0","1","0","0","1","358.6875"
"397","0","0","1","0","0","1","358.6875"
"403","-1","1","1","-1","1","1","358.6875"
"403","-1","1","1","-1","1","1","358.6875"
"410","1","-1","1","1","-1","1","358.6875"
"410","1","-1","1","1","-1","1","358.6875"
"417","1","3","1","1","3","1","358.6875"
"417","1","3","1","1","3","1","358.6875"
"425","0","1","1","0","1","1","358.6875"
"425","0","1","1","0","1","1","358.6875"
"432","-1","0","1","-1","0","1","358.6875"
"432","-1","0","1","-1","0","1","358.6875"
"438","-4","0","1","-4","0","1","358.6875"
"438","-4","0","1","-4","0","1","358.6875"
"444","-3","2","1","-3","2","1","358.6875"
"444","-3","2","1","-3","2","1","358.6875"
"450","-1","1","1","-1","1","1","358.6875"
"450","-1","1","1","-1","1","1","358.6875"
"456","0","-1","1","0","-1","1","358.6875"
"456","0","-1","1","0","-1","1","358.6875"
"463","-2","2","1","-2","2","1","358.6875"
"463","-2","2","1","-2","2","1","358.6875"
"470","-4","2","1","-4","2","1","358.6875"
"470","-4","2","1","-4","2","1","358.6875"
"476","-4","3","1","-4","3","1","358.6875"
"476","-4","3","1","-4","3","1","358.6875"
"486","-3","1","1","-3","1","1","358.6875"
"486","-3","1","1","-3","1","1","358.6875"
"494","-3","2","1","-3","2","1","358.6875"
"494","-3","2","1","-3","2","1","358.6875"
"502","-4","0","1","-4","0","1","358.6875"
"502","-4","0","1","-4","0","1","358.6875"
"510","3","0","1","3","0","1","358.6875"
"510","3","0","1","3","0","1","358.6875"
"516","-2","2","1","-2","2","1","358.6875"
"516","-2","2","1","-2","2","1","358.6875"
"523","0","1","1","0","1","1","358.6875"
"523","0","1","1","0","1","1","358.6875"
"529","2","1","1","2","1","1","358.6875"
"530","2","1","1","2","1","1","358.6875"
"535","-1","0","1","-1","0","1","358.6875"
"535","-1","0","1","-1","0","1","358.6875"
"541","0","0","1","0","0","1","358.6875"
"542","0","0","1","0","0","1","358.6875"
"548","1","2","1","1","2","1","358.6875"
"548","1","2","1","1","2","1","358.6875"
"553","2","0","1","2","0","1","358.6875"
"553","2","0","1","2","0","1","358.6875"
"560","3","-1","1","3","-1","1","358.6875"
"560","3","-1","1","3","-1","1","358.6875"
"566","1","1","1","1","1","1","358.6875"
"566","1","1","1","1","1","1","358.6875"
"572","-2","0","1","-2","0","1","358.6875"
"572","-2","0","1","-2","0","1","358.6875"
"579","1","2","1","1","2","1","358.6875"
"579","1","2","1","1","2","1","358.6875"
"584","0","1","1","0","1","1","358.6875"
"585","0","1","1","0","1","1","358.6875"
"590","1","0","1","1","0","1","358.6875"
"591","1","0","1","1","0","1","358.6875"
"597","0","2","1","0","2","1","358.6875"
"597","0","2","1","0","2","1","358.6875"
"602","1","0","1","1","0","1","358.6875"
"602","1","0","1","1","0","1","358.6875"
"609","1","1","1","1","1","1","358.6875"
"609","1","1","1","1","1","1","358.6875"
"615","1","1","1","1","1","1","358.6875"
"615","1","1","1","1","1","1","358.6875"
"620","-2","0","1","-2","0","1","358.6875"
"620","-2","0","1","-2","0","1","358.6875"
"626","2","2","1","2","2","1","358.6875"
"627","2","2","1","2","2","1","358.6875"
"632","0","0","1","0","0","1","358.6875"
"632","0","0","1","0","0","1","358.6875"
"638","0","-1","1","0","-1","1","358.6875"
"638","0","-1","1","0","-1","1","358.6875"
"644","1","1","1","1","1","1","358.6875"
"644","1","1","1","1","1","1","358.6875"
"650","-2","1","1","-2","1","1","358.6875"
"650","-2","1","1","-2","1","1","358.6875"
"656","0","1","1","0","1","1","358.6875"
"656","0","1","1","0","1","1","358.6875"
"662","-1","1","1","-1","1","1","358.6875"
"662","-1","1","1","-1","1","1","358.6875"
"668","-5","1","1","-5","1","1","358.6875"
"668","-5","1","1","-5","1","1","358.6875"
"674","-1","2","1","-1","2","1","358.6875"
"674","-1","2","1","-1","2","1","358.6875"
"681","0","-1","1","0","-1","1","358.6875"
"681","0","-1","1","0","-1","1","358.6875"
"687","0","2","1","0","2","1","358.6875"
"687","0","2","1","0","2","1","358.6875"
"695","0","3","1","0","3","1","358.6875"
"695","0","3","1","0","3","1","358.6875"
"701","-5","0","1","-5","0","1","358.6875"
"701","-5","0","1","-5","0","1","358.6875"
"710","1","2","1","1","2","1","358.6875"
"710","1","2","1","1","2","1","358.6875"
"717","-2","0","1","-2","0","1","358.6875"
"718","-2","0","1","-2","0","1","358.6875"
"724","0","-1","1","0","-1","1","358.6875"
"725","0","-1","1","0","-1","1","358.6875"
"731","2","0","1","2","0","1","358.6875"
"731","2","0","1","2","0","1","358.6875"
"737","-1","1","1","-1","1","1","358.6875"
"737","-1","1","1","-1","1","1","358.6875"
"743","1","1","1","1","1","1","358.6875"
"743","1","1","1","1","1","1","358.6875"
"749","2","-1","1","2","-1","1","358.6875"
"749","2","-1","1","2","-1","1","358.6875"
"757","-1","-1","1","-1","-1","1","358.6875"
"757","-1","-1","1","-1","-1","1","358.6875"
"764","2","-1","1","2","-1","1","358.6875"
"764","2","-1","1","2","-1","1","358.6875"
"771","1","-3","1","1","-3","1","358.6875"
"772","1","-3","1","1","-3","1","358.6875"
"778","0","-3","1","0","-3","1","358.6875"
"778","0","-3","1","0","-3","1","358.6875"
"784","-3","2","1","-3","2","1","358.6875"
"784","-3","2","1","-3","2","1","358.6875"
"790","0","0","1","0","0","1","358.6875"
"790","0","0","1","0","0","1","358.6875"
"796","-1","-1","1","-1","-1","1","358.6875"
"796","-1","-1","1","-1","-1","1","358.6875"
"801","-3","1","1","-3","1","1","358.6875"
"802","-3","1","1","-3","1","1","358.6875"
"807","-2","0","1","-2","0","1","358.6875"
"807","-2","0","1","-2","0","1","358.6875"
"813","-5","2","1","-5","2","1","358.6875"
"813","-5","2","1","-5","2","1","358.6875"
"819","-5","1","1","-5","1","1","358.6875"
"819","-5","1","1","-5","1","1","358.6875"
"825","-3","0","1","-3","0","1","358.6875"
"825","-3","0","1","-3","0","1","358.6875"
"832","-3","1","1","-3","1","1","358.6875"
"832","-3","1","1","-3","1","1","358.6875"
"837","-2","2","1","-2","2","1","358.6875"
"837","-2","2","1","-2","2","1","358.6875"
"844","-1","0","1","-1","0","1","358.6875"
"844","-1","0","1","-1","0","1","358.6875"
"849","0","-2","1","0","-2","1","358.6875"
"850","0","-2","1","0","-2","1","358.6875"
"856","0","-2","1","0","-2","1","358.6875"
"856","0","-2","1","0","-2","1","358.6875"
"862","0","1","1","0","1","1","358.6875"
"862","0","1","1","0","1","1","358.6875"
"867","-1","0","1","-1","0","1","358.6875"
"867","-1","0","1","-1","0","1","358.6875"
"874","1","-1","1","1","-1","1","358.6875"
"874","1","-1","1","1","-1","1","358.6875"
"879","-1","2","1","-1","2","1","358.6875"
"880","-1","2","1","-1","2","1","358.6875"
"885","0","1","1","0","1","1","358.6875"
"885","0","1","1","0","1","1","358.6875"
"891","-1","1","1","-1","1","1","358.6875"
"891","-1","1","1","-1","1","1","358.6875"
"899","-1","0","1","-1","0","1","358.6875"
"899","-1","0","1","-1","0","1","358.6875"
"906","0","-1","1","0","-1","1","358.6875"
"906","0","-1","1","0","-1","1","358.6875"
"913","0","-2","1","0","-2","1","358.6875"
"913","0","-2","1","0","-2","1","358.6875"
"921","2","-1","1","2","-1","1","358.6875"
"921","2","-1","1","2","-1","1","358.6875"
"928","2","2","1","2","2","1","358.6875"
"928","2","2","1","2","2","1","358.6875"
"934","-1","1","1","-1","1","1","358.6875"
"934","-1","1","1","-1","1","1","358.6875"
"940","-1","1","1","-1","1","1","358.6875"
"940","-1","1","1","-1","1","1","358.6875"
"946","-2","1","1","-2","1","1","358.6875"
"946","-2","1","1","-2","1","1","358.6875"
"952","1","0","1","1","0","1","358.6875"
"952","1","0","1","1","0","1","358.6875"
"959","2","1","1","2","1","1","358.6875"
"959","2","1","1","2","1","1","358.6875"
"965","-2","0","1","-2","0","1","358.6875"
"965","-2","0","1","-2","0","1","358.6875"
"970","1","-1","1","1","-1","1","358.6875"
"970","1","-1","1","1","-1","1","358.6875"
"977","2","-2","1","2","-2","1","358.6875"
"977","2","-2","1","2","-2","1","358.6875"
"983","1","1","1","1","1","1","358.6875"
"983","1","1","1","1","1","1","358.6875"
"989","-2","2","1","-2","2","1","358.6875"
"989","-2","2","1","-2","2","1","358.6875"
"995","-1","-1","1","-1","-1","1","358.6875"
"995","-1","-1","1","-1","-1","1","358.6875"
"1001","-1","0","1","-1","0","1","358.6875"
"1001","-1","0","1","-1","0","1","358.6875"
"1008","2","1","1","2","1","1","358.6875"
"1008","2","1","1","2","1","1","358.6875"
"1015","0","1","1","0","1","1","358.6875"
"1015","0","1","1","0","1","1","358.6875"
"1021","0","-1","1","0","-1","1","358.6875"
"1021","0","-1","1","0","-1","1","358.6875"
"1028","-2","0","1","-2","0","1","358.6875"
"1028","-2","0","1","-2","0","1","358.6875"
"1033","1","1","1","1","1","1","358.6875"
"1033","1","1","1","1","1","1","358.6875"
"1039","-4","-1","1","-4","-1","1","358.6875"
"1040","-4","-1","1","-4","-1","1","358.6875"
"1046","-2","-1","1","-2","-1","1","358.6875"
"1046","-2","-1","1","-2","-1","1","358.6875"
"1051","-1","0","1","-1","0","1","358.6875"
