Timer,AX,AY,AZ,GX,GY,GZ,A
"32","-23","5","-20","4","-1","2","268.125"
"33","-23","5","-20","-7","3","1","268.0625"
"40","-38","-8","-33","-7","3","1","268.0625"
"41","-38","-8","-33","6","2","1","268.0625"
"49","-38","-8","-33","6","2","1","268.0625"
"49","-38","-8","-33","1","1","1","268.0625"
"61","-9","19","-18","1","1","1","268.0625"
"61","-9","19","-18","6","-6","1","268.0625"
"69","-10","-2","-22","6","-6","1","268.0625"
"73","-10","-2","-22","11","-8","2","268.0625"
"82","-15","16","-33","11","-8","2","268.0625"
"82","-15","16","-33","-2","-7","2","268"
"90","2","13","-27","-2","-7","2","268"
"94","2","13","-27","0","-3","3","268"
"98","2","13","-27","0","-3","3","268"
"98","2","13","-27","5","-7","2","268"
"106","11","-2","-19","5","-7","2","268"
"107","11","-2","-19","-3","-3","3","268"
"114","19","24","-13","-3","-3","3","268"
"118","19","24","-13","2","-5","3","267.9375"
"131","7","16","-25","2","-5","3","267.9375"
"131","7","16","-25","-1","2","2","267.9375"
"139","13","27","-34","-1","2","2","267.9375"
"143","13","27","-34","-6","2","2","267.9375"
"147","13","27","-34","-6","2","2","267.9375"
"151","13","27","-34","-2","2","2","267.9375"
"159","3","1","-31","-2","2","2","267.9375"
"163","3","1","-31","-9","0","1","267.875"
"172","47","13","-12","-9","0","1","267.875"
"172","47","13","-12","-2","2","1","267.875"
"180","41","1","-9","-2","2","1","267.875"
"184","41","1","-9","5","-5","1","267.875"
"192","16","15","-25","5","-5","1","267.875"
"193","16","15","-25","1","1","1","267.875"
"200","16","15","-25","1","1","1","267.875"
"201","16","15","-25","0","4","1","267.875"
"213","-1","15","-27","0","4","1","267.875"
"213","-1","15","-27","3","8","1","267.875"
"221","-15","23","-31","3","8","1","267.875"
"221","-15","23","-31","0","10","1","267.875"
"229","-17","9","-30","0","10","1","267.875"
"233","-17","9","-30","1","8","-1","267.9375"
"242","-23","-2","-32","1","8","-1","267.9375"
"242","-23","-2","-32","-4","9","-1","267.9375"
"250","-23","-2","-32","-4","9","-1","267.9375"
"250","-23","-2","-32","-6","6","-1","267.9375"
"262","7","-3","-21","-6","6","-1","267.9375"
"262","7","-3","-21","1","2","-1","267.9375"
"270","6","4","-28","1","2","-1","267.9375"
"274","6","4","-28","-2","-2","-1","267.9375"
"282","19","16","-24","-2","-2","-1","267.9375"
"283","19","16","-24","-3","-6","-1","267.9375"
"291","40","-8","-8","-3","-6","-1","267.9375"
"294","40","-8","-8","0","-5","-1","267.9375"
"299","40","-8","-8","0","-5","-1","267.9375"
"299","40","-8","-8","-9","-5","-1","268"
"311","32","-6","-15","-9","-5","-1","268"
"311","32","-6","-15","-8","4","-1","268"
"319","3","-5","-30","-8","4","-1","268"
"323","3","-5","-30","-4","7","-1","268"
"332","9","-8","-24","-4","7","-1","268"
"332","9","-8","-24","-2","11","-1","268"
"340","9","-8","-24","-2","11","-1","268"
"344","9","-8","-24","-3","7","-1","268"
"348","4","10","-20","-3","7","-1","268"
"352","4","10","-20","1","11","-1","268"
"360","3","1","-22","1","11","-1","268"
"364","3","1","-22","-4","10","-2","268.0625"
"372","2","14","-32","-4","10","-2","268.0625"
"373","2","14","-32","-2","4","-2","268.0625"
"381","2","14","-32","-2","4","-2","268.0625"
"381","2","14","-32","4","3","-2","268.0625"
"393","-3","16","-29","4","3","-2","268.0625"
"393","-3","16","-29","-2","3","-2","268.0625"
"397","-3","16","-29","-2","3","-2","268.0625"
"401","-3","16","-29","2","5","-2","268.125"
"405","13","5","-20","2","5","-2","268.125"
"409","13","5","-20","-2","1","-3","268.125"
"418","19","23","-15","-2","1","-3","268.125"
"418","19","23","-15","1","2","-3","268.125"
"430","-2","10","-25","1","2","-3","268.125"
"434","-2","10","-25","-4","7","-3","268.1875"
"438","11","8","-29","-4","7","-3","268.1875"
"442","11","8","-29","-13","4","-3","268.1875"
"446","25","18","-7","-13","4","-3","268.1875"
"450","25","18","-7","-4","3","-3","268.1875"
"454","-6","9","-25","-4","3","-3","268.1875"
"459","-6","9","-25","-11","11","-3","268.25"
"467","1","-8","-10","-11","11","-3","268.25"
"467","1","-8","-10","-11","6","-3","268.25"
"483","-21","-15","-29","-11","6","-3","268.25"
"483","-21","-15","-29","-1","6","-3","268.25"
"491","-27","14","-32","-1","6","-3","268.25"
"495","-27","14","-32","-13","11","-4","268.3125"
"500","-27","14","-32","-13","11","-4","268.3125"
"500","-27","14","-32","-3","8","-4","268.3125"
"508","-13","7","-21","-3","8","-4","268.3125"
"508","-13","7","-21","0","5","-4","268.375"
"516","-39","-25","-39","0","5","-4","268.375"
"520","-39","-25","-39","-11","6","-4","268.375"
"532","-22","-30","-31","-11","6","-4","268.375"
"532","-22","-30","-31","0","-2","-4","268.375"
"540","13","-14","-7","0","-2","-4","268.375"
"540","13","-14","-7","6","-7","-4","268.4375"
"544","-1","-19","-18","6","-7","-4","268.4375"
"549","-1","-19","-18","-4","-4","-4","268.4375"
"557","-12","3","-31","-4","-4","-4","268.4375"
"557","-12","3","-31","7","-3","-4","268.5"
"573","13","-21","-26","7","-3","-4","268.5"
"573","13","-21","-26","4","-5","-3","268.5"
"581","10","-20","-8","4","-5","-3","268.5"
"585","10","-20","-8","-10","3","-3","268.5"
"590","10","-20","-8","-10","3","-3","268.5"
"590","10","-20","-8","-7","6","-3","268.5625"
"598","2","19","-24","-7","6","-3","268.5625"
"598","2","19","-24","3","14","-2","268.5625"
"606","17","-38","-8","3","14","-2","268.5625"
"610","17","-38","-8","-12","11","-2","268.5625"
"618","-36","-26","-24","-12","11","-2","268.5625"
"618","-36","-26","-24","-10","16","-1","268.5625"
"631","-3","-36","-9","-10","16","-1","268.5625"
"635","-3","-36","-9","7","13","-1","268.5625"
"643","-53","-24","-44","7","13","-1","268.5625"
"643","-53","-24","-44","-12","4","-1","268.5625"
"651","-53","-24","-44","-12","4","-1","268.5625"
"651","-53","-24","-44","-10","6","-1","268.625"
"663","-7","-45","-9","-10","6","-1","268.625"
"664","-7","-45","-9","-5","0","-1","268.625"
"672","-22","6","-31","-5","0","-1","268.625"
"675","-22","6","-31","-3","-4","-1","268.625"
"684","-8","-13","-23","-3","-4","-1","268.625"
"684","-8","-13","-23","9","-9","-1","268.625"
"688","-8","-13","-23","9","-9","-1","268.625"
"692","-8","-13","-23","0","-5","-1","268.625"
"696","-19","-37","-26","0","-5","-1","268.625"
"700","-19","-37","-26","-3","-3","-1","268.625"
"712","3","-1","-19","-3","-3","-1","268.625"
"712","3","-1","-19","14","-5","1","268.5625"
"720","3","-1","-19","14","-5","1","268.5625"
"721","3","-1","-19","-3","-1","1","268.5625"
"733","-1","32","-29","-3","-1","1","268.5625"
"733","-1","32","-29","-2","0","1","268.5625"
"741","7","0","-13","-2","0","1","268.5625"
"745","7","0","-13","8","-1","1","268.5625"
"749","7","0","-13","8","-1","1","268.5625"
"749","7","0","-13","-5","1","1","268.5625"
"757","5","4","-15","-5","1","1","268.5625"
"757","5","4","-15","1","0","1","268.5625"
"765","6","18","-19","1","0","1","268.5625"
"769","6","18","-19","4","-1","1","268.5625"
"778","0","0","-26","4","-1","1","268.5625"
"778","0","0","-26","-4","2","1","268.5625"
"786","-1","9","-32","-4","2","1","268.5625"
"790","-1","9","-32","-1","-3","1","268.5625"
"798","-1","15","-26","-1","-3","1","268.5625"
