Timer,X,Y,Z
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
"55","3321","9914","550"
