Timer,AX,AY,AZ,GX,GY,GZ,A
"53","1","-2","-22","-2","-2","-1","265.6875"
"53","0","-2","-21","-2","-2","-1","265.6875"
"53","0","-2","-21","0","1","-1","265.6875"
"53","-1","1","-29","0","1","-1","265.6875"
"53","-1","1","-29","0","0","-1","265.6875"
"53","-11","4","-23","0","0","-1","265.6875"
"53","-11","4","-23","3","0","-1","265.6875"
"53","1","-2","-20","3","0","-1","265.6875"
"53","1","-2","-20","1","-1","-1","265.6875"
"53","1","-2","-20","1","-1","-1","265.6875"
"54","1","-2","-20","1","-1","-1","265.6875"
"54","-9","1","-28","1","-1","-1","265.6875"
"54","-9","1","-28","0","3","-1","265.6875"
"54","7","1","-19","0","3","-1","265.6875"
"54","7","1","-19","0","1","-1","265.6875"
"54","-1","8","-36","0","1","-1","265.6875"
"54","-1","8","-36","0","1","-1","265.6875"
"54","-4","-1","-23","0","1","-1","265.6875"
"54","-4","-1","-23","2","-1","-1","265.6875"
"54","-4","-1","-23","2","-1","-1","265.6875"
"55","-4","-1","-23","-1","-1","-1","265.6875"
"55","-2","1","-23","-1","-1","-1","265.6875"
"55","-2","1","-23","-1","3","-1","265.6875"
"55","-4","-2","-32","-1","3","-1","265.6875"
"55","-4","-2","-32","-1","1","-1","265.6875"
"55","0","1","-23","-1","1","-1","265.6875"
"55","0","1","-23","-1","1","-1","265.6875"
"55","6","-1","-23","-1","1","-1","265.6875"
"55","6","-1","-23","1","-1","-1","265.6875"
"55","6","-1","-23","1","-1","-1","265.6875"
"55","6","-1","-23","1","-1","-1","265.6875"
"55","-6","0","-26","1","-1","-1","265.6875"
"56","-6","0","-26","1","1","-1","265.6875"
"56","16","-5","-15","1","1","-1","265.6875"
"56","16","-5","-15","2","-1","-1","265.6875"
"56","-12","9","-38","2","-1","-1","265.6875"
"56","-12","9","-38","-2","-4","-1","265.6875"
"56","4","5","-18","-2","-4","-1","265.6875"
"56","4","5","-18","0","4","-1","265.6875"
"56","4","5","-18","0","4","-1","265.6875"
"56","4","5","-18","0","-2","-1","265.6875"
"56","-1","11","-29","0","-2","-1","265.6875"
"56","-1","11","-29","-2","0","-1","265.6875"
"56","2","1","-32","-2","0","-1","265.6875"
"57","2","1","-32","3","0","-1","265.6875"
"57","-6","1","-23","3","0","-1","265.6875"
"57","-6","1","-23","1","-1","-1","265.6875"
"57","0","-5","-21","1","-1","-1","265.6875"
