Timer,X,Y,Z
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"12","2958","2790","718"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"69","3000","2779","697"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"131","2966","2757","696"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"192","3022","2582","3698"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"249","2991","2770","726"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"311","2990","2767","717"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"372","2915","2828","894"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"430","2975","2784","718"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"491","3003","2555","3827"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"552","3039","2557","3746"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"610","2974","2795","708"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"671","2969","2778","752"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"732","2993","2765","668"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"790","3023","2521","3765"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"851","3030","2541","3788"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"912","3021","2534","3695"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"970","2984","2784","702"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1032","3015","2782","657"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1093","3037","2542","3761"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1150","2979","2769","720"
"1212","2965","2748","712"
"1212","2965","2748","712"
