Timer,X,Y,Z
"0","3413","2455","3766"
"0","3413","2455","3766"
"0","3413","2455","3766"
"0","3413","2455","3766"
"0","3413","2455","3766"
"0","3413","2455","3766"
"0","3413","2455","3766"
"0","3413","2455","3766"
"0","3413","2455","3766"
"0","3413","2455","3766"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"58","3363","2703","636"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"119","3354","2674","752"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"181","3359","2703","743"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"238","3352","2693","718"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"299","3354","2689","722"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"361","3352","2702","750"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"418","3387","2705","687"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"480","3368","2706","735"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"541","3371","2700","713"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"599","3386","2707","698"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"660","3344","2708","680"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"721","3369","2706","722"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"779","3398","2480","3744"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"840","3363","2692","729"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"901","3372","2703","669"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"959","3360","2722","612"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1020","3379","2734","609"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1082","3419","2497","3637"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1139","3330","2726","645"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1201","3358","2698","650"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1262","3372","2698","583"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1319","3427","2484","3805"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1381","3362","2712","646"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1438","3367","2713","662"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1499","3368","2711","669"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1561","3371","2715","660"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1618","3368","2734","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1680","3385","2718","665"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1741","3375","2704","660"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1799","3378","2703","699"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1860","3378","2712","685"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1921","3381","2726","679"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"1979","3391","2709","644"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2040","3405","2484","3777"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2102","3420","2470","3788"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2159","3382","2712","645"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2220","3368","2708","685"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2282","3386","2709","670"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2339","3426","2487","3813"
"2401","3389","2699","574"
