Timer,AX,AY,AZ,GX,GY,GZ,A
"18","76","117","-46","-170","-42","3","170.625"
"18","76","117","-46","91","-13","4","170.5625"
"18","125","63","-36","91","-13","4","170.5625"
"18","125","63","-36","93","-4","4","170.5625"
"18","145","-72","35","93","-4","4","170.5625"
"18","145","-72","35","-42","-6","3","170.5625"
"18","145","-72","35","-42","-6","3","170.5625"
"18","145","-72","35","-42","-6","3","170.5625"
"18","209","-162","100","-42","-6","3","170.5625"
"19","209","-162","100","-53","4","4","170.5"
"19","-29","-180","-87","-53","4","4","170.5"
"19","-29","-180","-87","-30","43","5","170.4375"
"19","-64","200","-188","-30","43","5","170.4375"
"19","-64","200","-188","79","24","5","170.4375"
"19","-66","-91","-77","79","24","5","170.4375"
"19","-66","-91","-77","25","-5","4","170.375"
"19","-66","-91","-77","25","-5","4","170.375"
"19","-66","-91","-77","25","-5","4","170.375"
"19","209","-450","353","25","-5","4","170.375"
"19","209","-450","353","-151","-33","2","170.375"
"20","547","608","19","-151","-33","2","170.375"
"20","547","608","19","193","62","7","170.3125"
"20","-40","244","-380","193","62","7","170.3125"
"20","-40","244","-380","132","69","6","170.25"
"20","-126","-1288","204","132","69","6","170.25"
"20","-126","-1288","204","-413","172","5","170.25"
"20","-126","-1288","204","-413","172","5","170.25"
"20","-126","-1288","204","-413","172","5","170.25"
"20","-62","-168","35","-413","172","5","170.25"
"20","-62","-168","35","-286","76","4","170.1875"
"20","233","272","-45","-286","76","4","170.1875"
"21","233","272","-45","272","50","2","170.125"
"21","-48","-375","130","272","50","2","170.125"
"21","-48","-375","130","-181","29","2","170.125"
"21","-201","-157","-61","-181","29","2","170.125"
"21","-201","-157","-61","-59","96","2","170.125"
"21","-201","-157","-61","-59","96","2","170.125"
"21","-201","-157","-61","-59","96","2","170.125"
"21","-152","51","-139","-59","96","2","170.125"
"21","-152","51","-139","89","77","3","170.125"
"21","-11","-30","9","89","77","3","170.125"
"22","-11","-30","9","22","-9","3","170.0625"
"22","125","-101","101","22","-9","3","170.0625"
"22","125","-101","101","-43","-67","4","170.0625"
"22","429","-149","146","-43","-67","4","170.0625"
"22","429","-149","146","-47","-98","5","170"
"22","429","-149","146","-47","-98","5","170"
"22","429","-149","146","-47","-98","5","170"
"22","222","54","88","-47","-98","5","170"
"22","222","54","88","4","-18","4","170"
"22","197","-380","105","4","-18","4","170"
"22","197","-380","105","-114","-5","3","169.9375"
"23","153","53","-30","-114","-5","3","169.9375"
"23","153","53","-30","-39","-25","2","169.9375"
"23","-76","147","-169","-39","-25","2","169.9375"
"23","-76","147","-169","144","-5","2","169.9375"
"23","-76","147","-169","144","-5","2","169.9375"
"23","-76","147","-169","144","-5","2","169.9375"
"23","239","-63","23","144","-5","2","169.9375"
"23","239","-63","23","31","7","1","169.875"
"23","110","-105","-36","31","7","1","169.875"
"23","110","-105","-36","-46","6","2","169.875"
"23","126","68","30","-46","6","2","169.875"
"24","126","68","30","83","50","1","169.875"
"24","-63","7","-117","83","50","1","169.875"
"24","-63","7","-117","69","55","1","169.875"
"24","-63","7","-117","69","55","1","169.875"
"24","-63","7","-117","69","55","1","169.875"
"24","76","-204","-22","69","55","1","169.875"
"24","76","-204","-22","-61","40","1","169.875"
"24","1","-36","-84","-61","40","1","169.875"
"24","1","-36","-84","46","45","1","169.875"
"24","-71","-63","-60","46","45","1","169.875"
"24","-71","-63","-60","34","41","1","169.8125"
"24","70","-94","24","34","41","1","169.8125"
"25","70","-94","24","-2","36","1","169.8125"
"25","158","-65","21","-2","36","1","169.8125"
"25","158","-65","21","-4","0","1","169.8125"
"25","69","-8","-47","-4","0","1","169.8125"
"25","69","-8","-47","23","17","1","169.8125"
"25","-1","-219","-44","23","17","1","169.8125"
"25","-1","-219","-44","-17","28","1","169.8125"
"25","7","-220","-44","-17","28","1","169.8125"
"25","7","-220","-44","-49","26","1","169.8125"
"25","31","-79","-39","-49","26","1","169.8125"
"25","31","-79","-39","28","15","1","169.8125"
"26","31","-79","-39","28","15","1","169.8125"
"26","31","-79","-39","28","15","1","169.8125"
"26","116","21","-29","28","15","1","169.8125"
"26","116","21","-29","32","-2","1","169.8125"
"26","145","-126","6","32","-2","1","169.8125"
"26","145","-126","6","-29","6","1","169.8125"
"26","0","-52","-16","-29","6","1","169.8125"
"26","0","-52","-16","-28","21","1","169.8125"
"26","-1","3","-41","-28","21","1","169.8125"
"26","-1","3","-41","25","29","2","169.8125"
"27","-1","3","-41","25","29","2","169.8125"
"27","-1","3","-41","25","29","2","169.8125"
"27","22","-64","-66","25","29","2","169.8125"
"27","22","-64","-66","-44","5","1","169.75"
"27","19","-96","4","-44","5","1","169.75"
"27","19","-96","4","-23","-1","1","169.75"
"27","49","-120","-4","-23","-1","1","169.75"
"27","49","-120","-4","13","7","1","169.75"
"27","49","-108","-36","13","7","1","169.75"
"27","49","-108","-36","-7","-3","1","169.75"
"28","-200","-137","-64","-7","-3","1","169.75"
"28","-200","-137","-64","-17","-11","1","169.75"
"28","-2","-400","8","-17","-11","1","169.75"
"28","-2","-400","8","-17","-11","1","169.75"
"28","52","-410","-95","-17","-11","1","169.75"
"28","52","-410","-95","-83","-75","-2","169.75"
"28","199","-88","-105","-83","-75","-2","169.75"
"28","199","-88","-105","82","-77","-2","169.8125"
"28","21","358","70","82","-77","-2","169.8125"
"29","21","358","70","207","-55","-3","169.8125"
"29","21","358","70","207","-55","-3","169.8125"
"29","21","358","70","207","-55","-3","169.8125"
"29","-29","302","-47","207","-55","-3","169.8125"
"29","-29","302","-47","-71","-69","-3","169.8125"
"29","303","-331","156","-71","-69","-3","169.8125"
"29","303","-331","156","-186","-87","1","169.8125"
"29","186","-224","137","-186","-87","1","169.8125"
"29","186","-224","137","-111","-62","2","169.8125"
"29","66","110","28","-111","-62","2","169.8125"
"29","66","110","28","37","-5","3","169.75"
"30","66","110","28","37","-5","3","169.75"
"30","66","110","28","37","-5","3","169.75"
"30","166","272","-7","37","-5","3","169.75"
"30","166","272","-7","106","1","3","169.75"
"30","190","-579","185","106","1","3","169.75"
"30","190","-579","185","-74","-4","3","169.75"
"30","37","-148","-29","-74","-4","3","169.75"
"30","37","-148","-29","-251","12","3","169.75"
"30","45","-20","-65","-251","12","3","169.75"
"30","45","-20","-65","182","49","3","169.75"
"30","45","-20","-65","182","49","3","169.75"
"31","45","-20","-65","182","49","3","169.75"
"31","37","-224","-108","182","49","3","169.75"
"31","37","-224","-108","-79","17","-2","169.75"
"31","93","-76","71","-79","17","-2","169.75"
"31","93","-76","71","-79","17","-2","169.8125"
"31","-57","-7","-60","-79","17","-2","169.8125"
"31","-57","-7","-60","70","26","-3","169.8125"
"31","-19","33","-105","70","26","-3","169.8125"
"31","-19","33","-105","56","42","-2","169.8125"
"31","-61","87","-142","56","42","-2","169.8125"
"32","-61","87","-142","56","42","-2","169.8125"
"32","125","-142","38","56","42","-2","169.8125"
"32","125","-142","38","-8","-14","-1","169.8125"
"32","160","-244","1","-8","-14","-1","169.8125"
"32","160","-244","1","-8","-14","-1","169.875"
"32","10","-101","-152","-8","-14","-1","169.875"
"32","10","-101","-152","-74","-25","-1","169.875"
"32","-266","-121","-171","-74","-25","-1","169.875"
"32","-266","-121","-171","-40","-4","-1","169.8125"
"32","-266","-121","-171","-40","-4","-1","169.8125"
"32","-266","-121","-171","60","25","1","169.8125"
"33","150","-788","301","60","25","1","169.8125"
"33","150","-788","301","-190","-117","-6","169.875"
"33","376","679","-130","-190","-117","-6","169.875"
"33","376","679","-130","-190","-117","-6","169.9375"
"33","-226","157","-440","-190","-117","-6","169.9375"
"33","-226","157","-440","542","44","-3","169.9375"
"33","2","-1572","181","542","44","-3","169.9375"
"33","2","-1572","181","542","44","-3","170"
"33","2","-1572","181","542","44","-3","170"
"33","2","-1572","181","-489","107","-7","170"
"34","163","-1248","347","-489","107","-7","170"
"34","163","-1248","347","551","66","-7","170"
"34","144","191","-98","551","66","-7","170"
"34","144","191","-98","551","66","-7","170"
"34","57","-707","166","551","66","-7","170"
"34","57","-707","166","448","21","-2","170.0625"
"34","-353","307","-286","448","21","-2","170.0625"
"34","-353","307","-286","-340","23","-6","170.0625"
"34","-353","307","-286","-340","23","-6","170.0625"
"35","-353","307","-286","-253","9","-4","170.0625"
"35","133","427","-56","-253","9","-4","170.0625"
"35","133","427","-56","62","-12","-3","170.125"
"35","114","-727","114","62","-12","-3","170.125"
"35","114","-727","114","62","-12","-3","170.1875"
"35","76","261","-23","62","-12","-3","170.1875"
"35","76","261","-23","-275","17","-5","170.1875"
"35","129","379","-28","-275","17","-5","170.1875"
"35","129","379","-28","-45","-30","-3","170.1875"
"36","129","379","-28","-45","-30","-3","170.1875"
"36","129","379","-28","264","-5","-2","170.1875"
"36","118","-94","-29","264","-5","-2","170.1875"
"36","118","-94","-29","30","-11","-5","170.25"
"36","74","102","-75","30","-11","-5","170.25"
"36","74","102","-75","-225","-6","-6","170.3125"
"37","-13","302","-154","-225","-6","-6","170.3125"
"37","-13","302","-154","-35","1","-4","170.3125"
"38","-19","-65","-90","-35","1","-4","170.3125"
"38","-19","-65","-90","202","29","-4","170.375"
"39","-19","-65","-90","202","29","-4","170.375"
"39","-19","-65","-90","30","17","-6","170.375"
"39","138","-145","48","30","17","-6","170.375"
"39","138","-145","48","57","-8","-4","170.375"
"39","209","83","-3","57","-8","-4","170.375"
"39","209","83","-3","57","-8","-4","170.4375"
"40","105","-404","77","57","-8","-4","170.4375"
"40","105","-404","77","122","0","-4","170.5"
"40","-55","105","-87","122","0","-4","170.5"
"40","-55","105","-87","-172","34","-4","170.5"
"40","-55","105","-87","-172","34","-4","170.5"
"41","-55","105","-87","-76","32","-3","170.5"
"41","43","233","-104","-76","32","-3","170.5"
"41","43","233","-104","-37","16","-5","170.5625"
"41","55","-211","0","-37","16","-5","170.5625"
"41","55","-211","0","-37","16","-5","170.625"
"41","106","150","22","-37","16","-5","170.625"
"41","106","150","22","-173","6","-6","170.625"
"42","23","83","-45","-173","6","-6","170.625"
"42","23","83","-45","93","27","-4","170.6875"
"42","23","83","-45","93","27","-4","170.6875"
"42","23","83","-45","129","26","-5","170.6875"
"42","75","-195","-55","129","26","-5","170.6875"
"42","75","-195","-55","-35","20","-4","170.6875"
"42","2","59","-76","-35","20","-4","170.6875"
"43","2","59","-76","-35","20","-4","170.75"
"43","30","-300","-13","-35","20","-4","170.75"
"43","30","-300","-13","71","25","-3","170.75"
"43","133","-152","11","71","25","-3","170.75"
"43","133","-152","11","-45","34","-3","170.8125"
"43","133","-152","11","-45","34","-3","170.8125"
"43","133","-152","11","-83","10","-3","170.8125"
"43","151","-35","-10","-83","10","-3","170.8125"
