Timer,X,Y,Z
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"12","3523","6688","1124"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"73","3519","6709","1104"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"130","3501","6719","1154"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"192","3442","6636","1597"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"253","3513","6679","1057"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"314","3514","6704","1079"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
"372","3516","6711","1053"
