Timer,X,Y,Z
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"53","3027","2513","3824"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"114","2990","2726","600"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"172","2977","2757","584"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"233","2961","2742","554"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"294","2958","2753","535"
"352","2966","2734","547"
